Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1977, 1982]	а  я	Q4053902	А — Я	P571	дата основания/создания/возникновения	0	0	1979-01-01	0	0	0
[1987, 1988]	а аббас	Q559774	Ходжа Ахмад Аббас	P570	дата смерти	0	0	1987-06-01	0	0	0
[1957, 1961]	а абрамов	Q4054890	Абрамов, Александр Григорьевич	P569	дата рождения	0	0	1959-02-20	0	0	0
[1957, 1961]	а абрамов	Q4054892	Абрамов, Александр Сергеевич	P569	дата рождения	0	0	1957-02-10	0	0	0
[1988, 1995]	а абрамов	Q4054928	Абрамов, Марк Александрович	P570	дата смерти	0	0	1994-01-25	0	0	0
[2001, 2003]	а абрамов	Q4054954	Абрамов, Юрий Андреевич	P570	дата смерти	0	0	2001-01-01	0	0	0
[1980, 1984]	а абрамов	Q468277	Фёдор Александрович Абрамов	P570	дата смерти	0	0	1983-05-14	0	0	0
[1998, 2008]	а абрамович	Q171428	Роман Аркадьевич Абрамович	P39	занимаемая должность	губернатор Чукотского автономного округа	0	0	2000-12-17	2008-07-03	0
[1972, 1975]	а абрикос	Q1971562	Андрей Львович Абрикосов	P570	дата смерти	0	0	1973-10-21	0	0	0
[1955, 1959]	а абрикос	Q188128	Алексей Алексеевич Абрикосов	P512	учёная степень	доктор физико-математических наук	0	0	0	0	1955-01-01
[1972, 1975]	а абрикос	Q188128	Алексей Алексеевич Абрикосов	P166	полученные награды	Премия Фрица Лондона	0	0	0	0	1972-01-01
[2003, 2004]	а адам	Q1971592	Баба Адаму	P54	член спортивной команды	Аль-Наср	0	0	2003-01-01	2004-01-01	0
[2003, 2004]	а адам	Q1971592	Баба Адаму	P54	член спортивной команды	Динамо (Минск)	0	0	2003-01-01	2003-01-01	0
[2000, 2005]	а акаев	Q489893	Аскар Акаевич Акаев	P166	полученные награды	honorary doctor of the Peking University	0	0	0	0	2002-01-01
[1975, 1980]	а александр	Q2833182	Пешехонов, Александр Анатольевич	P569	дата рождения	0	0	1979-03-13	0	0	0
[1990, 1997]	а александров	Q1958951	Борис Александрович Александров	P570	дата смерти	0	0	1994-06-17	0	0	0
[1947, 1951]	а александров	Q4061062	Александров, Александр Леонардович	P569	дата рождения	0	0	1947-06-26	0	0	0
[1962, 1964]	а александров	Q934314	Александров, Александр Данилович	P166	полученные награды	Заслуженный деятель науки и техники РСФСР	0	0	0	0	1963-01-01
[1935, 1936]	а александров	Q4061082	Александров, Андрей Фёдорович	P569	дата рождения	0	0	1935-05-30	0	0	0
[1990, 1997]	а александров	Q934314	Александров, Александр Данилович	P166	полученные награды	Золотая медаль имени Леонарда Эйлера	0	0	0	0	1991-01-01
[1990, 1997]	а александров	Q934314	Александров, Александр Данилович	P166	полученные награды	орден Трудового Красного Знамени	0	0	0	0	1990-01-01
[1947, 1951]	а александров	Q934314	Александров, Александр Данилович	P166	полученные награды	Мастер спорта СССР	0	0	0	0	1949-01-01
[1946, 1948]	а алексеев	Q4061600	Алексеев, Александр Юрьевич	P569	дата рождения	0	0	1946-08-20	0	0	0
[1976, 1981]	а алексей	Q4522950	Шепелёв, Алексей Александрович	P569	дата рождения	0	0	1978-02-23	0	0	0
[1988, 1989]	а амбарцумян	Q164396	Виктор Амазаспович Амбарцумян	P166	полученные награды	орден «Знак Почёта»	0	0	0	0	1988-12-23
[1995, 1999]	а анатолий	Q12120349	Мазараки Анатолий Антонович	P166	полученные награды	Нагрудный знак «Отличник образования Украины»	0	0	0	0	1996-01-01
[2001, 2005]	а анатолий	Q12120349	Мазараки Анатолий Антонович	P166	полученные награды	Q12138290	0	0	0	0	2002-01-01
[1995, 1999]	а анатолий	Q12120349	Мазараки Анатолий Антонович	P166	полученные награды	орден «За заслуги» ІІІ степени	0	0	0	0	1998-01-23
[1995, 1999]	а анатолий	Q12120349	Мазараки Анатолий Антонович	P166	полученные награды	Заслуженный деятель науки и техники Украины	0	0	0	0	1995-11-28
[1982, 1983]	а анатолий	Q12120349	Мазараки Анатолий Антонович	P166	полученные награды	медаль «В память 1500-летия Киева»	0	0	0	0	1982-05-10
[2001, 2005]	а анатолий	Q12120349	Мазараки Анатолий Антонович	P166	полученные награды	орден «За заслуги» І степени	0	0	0	0	2004-10-02
[1961, 1963]	а андерсон	Q247120	Нео	P569	дата рождения	0	0	1962-03-11	0	0	0
[1989, 1993]	а андреев	Q2642109	Александр Фёдорович Андреев	P39	занимаемая должность	вице-президент	Российская академия наук	0	1991-12-19	2013-06-01	0
[1930, 1932]	а андреев	Q4065454	Владимир Андреев	P569	дата рождения	0	0	1930-08-27	0	0	0
[1989, 1995]	а андреева	Q43928374	Валентина А. Андреева	P69	учебное заведение	Green Mountain College	0	0	1993-01-01	1998-01-01	0
[2001, 2005]	а андреева	Q43928374	Валентина А. Андреева	P69	учебное заведение	Университет Южной Калифорнии	0	0	2003-01-01	2008-01-01	0
[1961, 1963]	а анохин	Q4066845	Анохин, Алексей Никитич	P569	дата рождения	0	0	1961-08-07	0	0	0
[1959, 1964]	а антонов	Q312153	Алексей Иннокентьевич Антонов	P570	дата смерти	0	0	1962-06-16	0	0	0
[1967, 1970]	а арбуз	Q900359	Александр Ерминингельдович Арбузов	P570	дата смерти	0	0	1968-01-21	0	0	0
[1967, 1970]	а арбуз	Q56307458	Арбузов, Андрей Борисович	P569	дата рождения	0	0	1967-06-30	0	0	0
[1997, 2001]	а аристов	Q4069300	Аристов, Иван Александрович	P570	дата смерти	0	0	1997-11-17	0	0	0
[2008, 2009]	а архипов	Q4070776	Архипов, Алексей Алексеевич	P54	член спортивной команды	Витязь	0	0	2008-01-01	2009-01-01	0
[1961, 1965]	а афанасьев	Q2368353	Сергей Александрович Афанасьев	P166	полученные награды	орден Ленина	0	0	0	0	1961-06-17
[2000, 2003]	а афанасьев	Q2368353	Сергей Александрович Афанасьев	P570	дата смерти	0	0	2001-05-13	0	0	0
[1961, 1965]	а афанасьев	Q3088270	Афанасьев, Андрей Игоревич	P569	дата рождения	0	0	1964-05-15	0	0	0
[1961, 1965]	а афанасьев	Q463530	Татьяна Алексеевна Афанасьева	P570	дата смерти	0	0	1964-04-14	0	0	0
[1989, 1994]	а афанасьев	Q3088270	Афанасьев, Андрей Игоревич	P54	член спортивной команды	сборная России по футболу	0	0	1993-01-01	1995-01-01	0
[1989, 1994]	а афанасьев	Q3088270	Афанасьев, Андрей Игоревич	P54	член спортивной команды	Торпедо	0	0	1989-01-01	1994-01-01	0
[2000, 2003]	а афанасьев	Q3088270	Афанасьев, Андрей Игоревич	P54	член спортивной команды	Сатурн	0	0	1998-01-01	2001-01-01	0
[1975, 1977]	а афанасьев	Q2368353	Сергей Александрович Афанасьев	P166	полученные награды	Государственная премия СССР	0	0	0	0	1976-01-01
[1975, 1977]	а афанасьев	Q2368353	Сергей Александрович Афанасьев	P166	полученные награды	Герой Социалистического Труда	0	0	0	0	1975-02-14
[1975, 1977]	а афанасьев	Q2368353	Сергей Александрович Афанасьев	P166	полученные награды	медаль «Серп и Молот»	0	0	0	0	1975-02-14
[1975, 1977]	а афанасьев	Q2368353	Сергей Александрович Афанасьев	P166	полученные награды	орден Ленина	0	0	0	0	1975-02-14
