Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1992, 1997]	а абрамов	Q4054928	Абрамов, Марк Александрович	P570	дата смерти	0	0	1994-01-25	0	0	0
[1995, 1998]	а авдеенко	Q4055544	Авдеенко, Александр Остапович	P570	дата смерти	0	0	1996-06-16	0	0	0
[1992, 1995]	а азимов	Q34981	Айзек Азимов	P570	дата смерти	0	0	1992-04-06	0	0	0
[1992, 1995]	а азимов	Q34981	Айзек Азимов	P2032	окончание периода активности	0	0	1992-01-01	0	0	0
[1976, 1978]	а азимов	Q34981	Айзек Азимов	P166	полученные награды	премия «Небьюла» за лучшую короткую повесть	0	0	0	0	1976-01-01
[1976, 1978]	а азимов	Q34981	Айзек Азимов	P166	полученные награды	премия «Локус» за лучшую короткую повесть	0	0	0	0	1977-01-01
[1976, 1978]	а азимов	Q34981	Айзек Азимов	P166	полученные награды	премия Хьюго за лучшую короткую повесть	0	0	0	0	1977-01-01
[1983, 1988]	а азимов	Q34981	Айзек Азимов	P166	полученные награды	премия «Локус» за лучший научно-фантастический роман	0	0	0	0	1983-01-01
[1992, 1995]	а азимов	Q34981	Айзек Азимов	P166	полученные награды	премия Хьюго за лучшую короткую повесть	0	0	0	0	1992-01-01
[1983, 1988]	а азимов	Q34981	Айзек Азимов	P166	полученные награды	премия «Локус» за лучший рассказ	0	0	0	0	1987-01-01
[1983, 1988]	а азимов	Q34981	Айзек Азимов	P166	полученные награды	Мемориальная премия имени Деймона Найта «Гроссмейстер фантастики»	0	0	0	0	1987-01-01
[1983, 1988]	а азимов	Q34981	Айзек Азимов	P166	полученные награды	премия «Космос-2000»	0	0	0	0	1985-01-01
[1983, 1988]	а азимов	Q34981	Айзек Азимов	P166	полученные награды	Гуманист года	0	0	0	0	1984-01-01
[1983, 1988]	а азимов	Q34981	Айзек Азимов	P166	полученные награды	премия «Хьюго» за лучший роман	0	0	0	0	1983-01-01
[1990, 2004]	а акаев	Q489893	Аскар Акаевич Акаев	P39	занимаемая должность	Список президентав Кергизыйи	0	0	1990-10-27	2005-03-24	0
[1990, 2004]	а акаев	Q489893	Аскар Акаевич Акаев	P166	полученные награды	honorary doctor of the Peking University	0	0	0	0	2002-01-01
