Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1991, 1997]	а баркашов	Q2630546	Александр Петрович Баркашов	P140	отношение к религии	Русская православная старообрядческая церковь	0	0	1992-01-01	0	0
[1991, 1993]	а белов	Q4082228	Юрий Белов	P570	дата смерти	0	0	1991-12-31	0	0	0
[1966, 1974]	а богданов	Q4089215	Богданов, Андрей Олегович	P569	дата рождения	0	0	1970-12-23	0	0	0
[1995, 2001]	а булатов	Q4098786	Булатов, Сергей Александрович	P54	член спортивной команды	Факел	0	0	1999-01-01	2000-01-01	0
[1995, 2001]	а булатов	Q4098786	Булатов, Сергей Александрович	P54	член спортивной команды	Балтика	0	0	1994-01-01	1997-01-01	0
[1991, 1992]	а булатов	Q4098786	Булатов, Сергей Александрович	P54	член спортивной команды	Уралец НТ	0	0	1991-01-01	1991-01-01	0
[1995, 2001]	а булатов	Q4098786	Булатов, Сергей Александрович	P54	член спортивной команды	Крылья Советов	0	0	1997-01-01	1998-01-01	0
[1991, 1992]	а булатов	Q4098786	Булатов, Сергей Александрович	P54	член спортивной команды	Урал	0	0	1991-01-01	1992-01-01	0
[1994, 1999]	а быков	Q4100962	Надежда Быкова	P570	дата смерти	0	0	1997-01-01	0	0	0
[2000, 2002]	абаев в	Q2019660	Василий Иванович Абаев	P570	дата смерти	0	0	2001-03-12	0	0	0
[1999, 2003]	абаев и	Q2019660	Василий Иванович Абаев	P570	дата смерти	0	0	2001-03-12	0	0	0
[1993, 1999]	абазов р	Q4054222	Руслан Асланович Абазов	P569	дата рождения	0	0	1993-05-25	0	0	0
[1970, 1981]	абаканский вагоностроительный	Q4054241	Абаканвагонмаш	P571	дата основания/создания/возникновения	0	0	1977-01-01	0	0	0
[1992, 1993]	абаканский острог	Q875	Абакан	P131	административно-территориальная единица	Хакасская автономная область	0	0	1930-10-20	1992-05-15	0
[1992, 1993]	абаканский острог	Q875	Абакан	P131	административно-территориальная единица	Хакасия	0	0	1992-05-16	0	0
[1992, 1998]	абаканский педагогический	Q1059283	Хакасский государственный университет	P571	дата основания/создания/возникновения	0	0	1994-01-01	0	0	0
[1953, 1954]	абакумов е	Q4054278	Абакумов, Егор Трофимович	P570	дата смерти	0	0	1953-10-30	0	0	0
[1931, 1933]	абастуманский обсерватория	Q2426436	Абастуманская астрофизическая обсерватория	P571	дата основания/создания/возникновения	0	0	1932-02-08	0	0	0
[1965, 1977]	абашидзе и	Q2622599	Давид Иванович Абашидзе	P166	полученные награды	Заслуженный артист Грузии	0	0	0	0	1967-01-01
[1954, 1958]	абашидзе и	Q2622599	Давид Иванович Абашидзе	P2031	начало периода активности	0	0	1954-01-01	0	0	0
[1938, 1941]	абашидзе и	Q438430	Аслан Ибрагимович Абашидзе	P569	дата рождения	0	0	1938-07-20	0	0	0
[1989, 1990]	абба евсеевич	Q4132071	Гайсинович, Абба Евсеевич	P570	дата смерти	0	0	1989-07-30	0	0	0
[1966, 1971]	абба эбан	Q305776	Эвен, Абба	P39	занимаемая должность	депутат кнессета	0	0	1965-11-22	1968-01-23	0
[1966, 1971]	абба эбан	Q305776	Эвен, Абба	P39	занимаемая должность	депутат кнессета	0	0	1969-01-28	1969-11-17	0
[1966, 1971]	абба эбан	Q305776	Эвен, Абба	P39	занимаемая должность	депутат кнессета	0	0	1969-11-17	1974-01-21	0
[1966, 1971]	абба эбан	Q305776	Эвен, Абба	P39	занимаемая должность	депутат кнессета	0	0	1968-01-23	1969-01-28	0
[2000, 2005]	абба эбан	Q305776	Эвен, Абба	P166	полученные награды	Премия Израиля	0	0	0	0	2001-01-01
[1966, 1971]	абба эбан	Q305776	Эвен, Абба	P39	занимаемая должность	министр иностранных дел Израиля	0	0	1966-01-13	1974-06-02	0
[2000, 2005]	абба эбан	Q305776	Эвен, Абба	P570	дата смерти	0	0	2002-11-17	0	0	0
[1966, 1971]	абба эбан	Q305776	Эвен, Абба	P39	занимаемая должность	заместитель премьер-министра Израиля	0	0	1963-06-26	1966-01-12	0
[2000, 2002]	абба эвен	Q305776	Эвен, Абба	P166	полученные награды	Премия Израиля	0	0	0	0	2001-01-01
[1970, 1971]	аббаз дабылов	Q4153536	Дабылов, Аббаз	P570	дата смерти	0	0	1970-01-01	0	0	0
[1971, 1975]	аббас али	Q305860	Халатбари, Аббас-Али	P39	занимаемая должность	Список министров иностранных дел Ирана	0	0	1973-01-14	1978-01-14	0
[2004, 2007]	аббас али	Q956267	Аббас, Али	P54	член спортивной команды	Аль-Кува	0	0	2006-01-01	2007-01-01	0
[2004, 2007]	аббас али	Q956267	Аббас, Али	P54	член спортивной команды	Аль-Талаба	0	0	2005-01-01	2006-01-01	0
[2003, 2008]	аббас махмуд	Q127998	Махмуд Аббас	P39	занимаемая должность	президент Государства Палестина	0	0	2005-05-08	0	0
[2003, 2008]	аббас махмуд	Q127998	Махмуд Аббас	P39	занимаемая должность	председатель Палестинской национальной администрации	0	0	2005-01-15	2013-01-03	0
[2003, 2008]	аббас махмуд	Q127998	Махмуд Аббас	P39	занимаемая должность	председатель Организации освобождения Палестины	0	0	2004-10-29	0	0
[2003, 2008]	аббас махмуд	Q127998	Махмуд Аббас	P39	занимаемая должность	Список премьер-министров Палестинской национальной администрации	0	0	2003-03-19	2003-09-06	0
[2003, 2008]	аббас махмуд	Q127998	Махмуд Аббас	P39	занимаемая должность	председатель Палестинской национальной администрации	0	0	2005-01-15	0	0
[1928, 1929]	аббас мирза	Q2025796	Шарифзаде, Аббас-Мирза Абдул-Расул оглы	P166	полученные награды	Заслуженный артист Азербайджанской ССР	0	0	0	0	1928-01-01
[1967, 1971]	аббас ходж	Q559774	Ходжа Ахмад Аббас	P166	полученные награды	Падма Шри за заслуги в искусстве	0	0	0	0	1969-01-01
[1955, 1959]	аббасов а	Q4054390	Абдулихат Умарович Аббасов	P410	воинское звание	капитан-лейтенант	0	0	1958-12-30	0	0
[1962, 1975]	аббасов а	Q4054390	Абдулихат Умарович Аббасов	P410	воинское звание	капитан 3-го ранга	0	0	1962-02-12	0	0
[1962, 1975]	аббасов а	Q4054390	Абдулихат Умарович Аббасов	P410	воинское звание	капитан 1-го ранга	0	0	1969-05-07	0	0
[1983, 1987]	аббасов а	Q4054390	Абдулихат Умарович Аббасов	P410	воинское звание	контр-адмирал	0	0	1983-02-22	0	0
[1962, 1975]	аббасов а	Q4054390	Абдулихат Умарович Аббасов	P410	воинское звание	капитан 2-го ранга	0	0	1965-03-09	0	0
[1955, 1959]	аббасов а	Q4054390	Абдулихат Умарович Аббасов	P410	воинское звание	старший лейтенант	0	0	1956-12-28	0	0
[1987, 1991]	аббат грегуар	Q561218	Грегуар, Анри	P119	место погребения	Пантеон	0	0	1989-12-12	0	0
[1986, 1993]	аббат пьер	Q306933	Аббат Пьер	P166	полученные награды	премия Бальцана	0	0	0	0	1991-01-01
[2004, 2008]	аббат пьер	Q306933	Аббат Пьер	P570	дата смерти	0	0	2007-01-22	0	0	0
[1978, 1981]	аббатство св	Q1766069	Аббатство Святой Женевьевы	P1435	статус наследия	исторический памятник зарегистрированный	0	0	1978-06-29	0	0
[1983, 1984]	аббатство святой	Q1774129	Сен-Савен-сюр-Гартамп	P1435	статус наследия	всемирное наследие	0	0	1983-01-01	0	0
[1934, 1935]	абгарович орбеть	Q1971417	Леон Орбели	P1411	номинирован на	Нобелевская премия по физиологии и медицине	0	0	0	0	1934-01-01
[1956, 1961]	абгарович орбеть	Q1971417	Леон Орбели	P570	дата смерти	0	0	1958-12-09	0	0	0
[1991, 1996]	абгарянин к	Q4054427	Карлен Арамович Абгарян	P570	дата смерти	0	0	1995-02-04	0	0	0
[1964, 1966]	абдаллах ибн	Q2029666	Сеид Джамшид ибн Абдулла	P39	занимаемая должность	Sultan of Zanzibar	0	0	1963-07-01	1964-01-12	0
[1986, 1989]	абдель азиз	Q2535190	Абдель Азиз Будербала	P54	член спортивной команды	Сьон	0	0	1984-01-01	1988-01-01	0
[1974, 1978]	абдель азиз	Q2535190	Абдель Азиз Будербала	P54	член спортивной команды	Видад	0	0	1977-01-01	1984-01-01	0
[2000, 2004]	абдель азиз	Q57308	Абдель Азиз Бутефлика	P39	занимаемая должность	председатель Организации африканского единства	0	0	1999-07-12	2000-07-10	0
[1986, 1989]	абдель азиз	Q2535190	Абдель Азиз Будербала	P54	член спортивной команды	Расинг	0	0	1988-01-01	1990-01-01	0
[1961, 1965]	абдель азиз	Q57308	Абдель Азиз Бутефлика	P39	занимаемая должность	Minister of Foreign Affairs of Algeria	0	0	1963-01-01	1979-01-01	0
[1999, 2005]	абдель кадер	Q307338	Баджамаль, Абдель Кадер	P39	занимаемая должность	Minister of Foreign Affairs of Yemen	0	0	1998-01-01	2001-01-01	0
[1999, 2005]	абдель кадер	Q307338	Баджамаль, Абдель Кадер	P39	занимаемая должность	Список премьер-министров Йемена	0	0	2001-03-31	2007-04-07	0
[1958, 1962]	абдель керим	Q299732	Касем, Абдель Керим	P39	занимаемая должность	премьер-министр Ирака	0	0	1958-07-14	1963-02-08	0
[1986, 1989]	абдель маджид	Q307283	Каабар, Абдель Маджид	P570	дата смерти	0	0	1986-01-01	0	0	0
[1970, 1971]	абдель насер	Q39524	Гамаль Абдель Насер	P570	дата смерти	0	0	1970-09-28	0	0	0
[1964, 1965]	абдель насер	Q39524	Гамаль Абдель Насер	P39	занимаемая должность	председатель Организации африканского единства	0	0	1964-07-17	1965-10-21	0
[1970, 1971]	абдель насер	Q39524	Гамаль Абдель Насер	P39	занимаемая должность	президент Египта	0	0	1956-06-23	1970-09-28	0
[1970, 1971]	абдель насер	Q39524	Гамаль Абдель Насер	P39	занимаемая должность	генеральный секретарь Движения неприсоединения	0	0	1964-10-05	1970-09-08	0
[1970, 1971]	абдель насер	Q39524	Гамаль Абдель Насер	P39	занимаемая должность	премьер-министр Египта	0	0	1967-06-19	1970-09-28	0
