Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1991, 1993]	а давыдов	Q2397871	Давыдов, Анатолий Викторович	P54	член спортивной команды	Локомотив	0	0	1991-01-01	1991-01-01	0
[1997, 2001]	а давыдов	Q2397871	Давыдов, Анатолий Викторович	P54	член спортивной команды	Зенит	0	0	1997-01-01	1997-01-01	0
[2007, 2008]	а давыдов	Q3712307	Давыдов, Дмитрий Анатольевич	P54	член спортивной команды	Зенит-2 (футбольный клуб)	0	0	2007-01-01	2007-01-01	0
[1983, 1985]	а дементьев	Q968827	Евгений Александрович Дементьев	P569	дата рождения	0	0	1983-01-17	0	0	0
[1978, 1981]	а добровольский	Q4163630	Юрий Антонович Добровольский	P570	дата смерти	0	0	1979-04-30	0	0	0
[1989, 1995]	а дубчек	Q150543	Александр Дубчек	P570	дата смерти	0	0	1992-11-07	0	0	0
[1989, 1995]	а дубчек	Q150543	Александр Дубчек	P39	занимаемая должность	депутат Федерального Собрания Чехословакии	0	0	1989-12-28	1992-06-25	0
[1989, 1995]	а дубчек	Q150543	Александр Дубчек	P166	полученные награды	почётный доктор Мадридского университета Комплутенсе	0	0	0	0	1990-01-01
[1968, 1969]	а дубчек	Q150543	Александр Дубчек	P39	занимаемая должность	генеральный секретарь ЦК КПЧ	0	0	1968-01-05	1969-04-17	0
[1989, 1995]	а дубчек	Q150543	Александр Дубчек	P166	полученные награды	премия имени Сахарова	0	0	0	0	1989-01-01
[1988, 1996]	ад в	Q1602706	Порождение ада	P577	дата публикации	0	0	1994-01-21	0	0	0
[1988, 1996]	ад в	Q442417	Поезд в ад	P577	дата публикации	0	0	1993-01-01	0	0	0
[1991, 1993]	ад из	Q4242314	Крупье из ада	P577	дата публикации	0	0	1992-01-01	0	0	0
[1945, 1946]	ад на	Q2633981	2-я бронетанковая дивизия	P1344	участвовал в	Northwestern Europe Campaign	0	0	1944-06-01	1945-05-01	0
[1942, 1943]	ад на	Q2633981	2-я бронетанковая дивизия	P1344	участвовал в	Североафриканская кампания	0	0	1942-11-01	1943-05-01	0
[1995, 1998]	ада александровна	Q4481921	Федерольф-Шкодина, Ада Александровна	P570	дата смерти	0	0	1996-01-30	0	0	0
[1945, 1948]	ада негри	Q346250	Негри, Ада	P570	дата смерти	0	0	1945-01-11	0	0	0
[1925, 1927]	ада негри	Q346250	Негри, Ада	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1926-01-01
[1978, 1982]	ада николаевна	Q1711461	Роговцева, Ада Николаевна	P166	полученные награды	Национальная премия Украины имени Тараса Шевченко	0	0	0	0	1981-01-01
[1974, 1975]	адабашьян а	Q4057207	Александр Артёмович Адабашьян	P2031	начало периода активности	0	0	1974-01-01	0	0	0
[2000, 2003]	адам а	Q1971592	Баба Адаму	P54	член спортивной команды	Черноморец	0	0	2001-01-01	2001-01-01	0
[2000, 2003]	адам а	Q1971592	Баба Адаму	P54	член спортивной команды	Аль-Шабаб	0	0	1998-01-01	2000-01-01	0
[2000, 2003]	адам а	Q1971592	Баба Адаму	P54	член спортивной команды	Локомотив	0	0	2002-01-01	2002-01-01	0
[1979, 1981]	адам а	Q1971592	Баба Адаму	P569	дата рождения	0	0	1979-10-20	0	0	0
[2000, 2003]	адам а	Q1971592	Баба Адаму	P54	член спортивной команды	Ростов	0	0	2001-01-01	2002-01-01	0
[2003, 2005]	адам б	Q1971592	Баба Адаму	P54	член спортивной команды	Москва	0	0	2004-01-01	2005-01-01	0
[2003, 2005]	адам б	Q1971592	Баба Адаму	P54	член спортивной команды	Аль-Наср	0	0	2003-01-01	2004-01-01	0
[2003, 2005]	адам б	Q1971592	Баба Адаму	P54	член спортивной команды	Динамо (Минск)	0	0	2003-01-01	2003-01-01	0
[1982, 1983]	адам важик	Q327556	Адам Важик	P570	дата смерти	0	0	1982-08-13	0	0	0
[1941, 1942]	адам владиславович	Q21153770	Раковский, Адам Владиславович	P570	дата смерти	0	0	1941-06-07	0	0	0
[2007, 2009]	адам ева	Q52912471	Адам и Ева	P571	дата основания/создания/возникновения	0	0	2007-01-01	0	0	0
[1999, 2002]	адам евгеньевич	Q13028191	Супрун, Адам Евгеньевич	P570	дата смерти	0	0	1999-08-18	0	0	0
[1999, 2004]	адам загаевский	Q351222	Адам Загаевский	P166	полученные награды	премия Тумаса Транстрёмера	0	0	0	0	2000-01-01
[1971, 1972]	адам и	Q4057254	Адам и Ева	P577	дата публикации	0	0	1971-01-01	0	0	0
[1989, 1991]	адам иосифович	Q3920085	Мальдис, Адам Иосифович	P463	участник организации или клуба	Q13028774	0	0	1989-01-01	0	0
[2001, 2006]	адам иосифович	Q4185223	Залесский, Адам Иосифович	P570	дата смерти	0	0	2002-08-04	0	0	0
[1980, 1981]	адам мальдис	Q3920085	Мальдис, Адам Иосифович	P166	полученные награды	Государственная премия Белорусской ССР имени Якуба Коласа	0	0	0	0	1980-01-01
[1987, 1993]	адам мальдис	Q3920085	Мальдис, Адам Иосифович	P463	участник организации или клуба	Q13028774	0	0	1989-01-01	0	0
[1991, 1995]	адам михник	Q163714	Адам Михник	P166	полученные награды	премия « Шофар свободы»	0	0	0	0	1991-01-01
[1999, 2004]	адам михник	Q163714	Адам Михник	P166	полученные награды	премия Франсиско Сереседо	0	0	0	0	1999-01-01
[1999, 2004]	адам михник	Q163714	Адам Михник	P166	полученные награды	премия Международного института прессы «Герои свободы мировой прессы»	0	0	0	0	2000-01-01
[1999, 2004]	адам михник	Q163714	Адам Михник	P166	полученные награды	премия Эразма	0	0	0	0	2001-01-01
[1968, 1969]	адам михник	Q163714	Адам Михник	P69	учебное заведение	Варшавский университет	0	0	1964-01-01	1968-03-01	0
[1930, 1936]	адам мюллер	Q350485	Адам Мюллер	P570	дата смерти	0	0	1932-12-26	0	0	0
[1979, 1985]	адам петрович	Q4466516	Турчинский, Адам Петрович	P570	дата смерти	0	0	1979-01-29	0	0	0
[1992, 1994]	адам ребро	Q1059199	Ребро Адама	P166	полученные награды	Национальный реестр фильмов США	0	0	0	0	1992-01-01
[1989, 1997]	адам смит	Q59065	Адам Смит	P569	дата рождения	0	0	1991-04-29	0	0	0
[1983, 1987]	адам смит	Q4679808	Адам Смит	P569	дата рождения	0	0	1985-09-11	0	0	0
[1989, 1997]	адам смит	Q350916	Адам Смит	P39	занимаемая должность	прокурор	0	0	1993-01-01	1995-01-01	0
[1989, 1997]	адам смит	Q20023132	Адам Смит	P569	дата рождения	0	0	1992-11-23	0	0	0
[1989, 1997]	адам смит	Q350916	Адам Смит	P39	занимаемая должность	member of the State Senate of Washington	0	0	1991-01-03	1997-01-03	0
[1983, 1987]	адам смит	Q4679809	Адам Смит	P570	дата смерти	0	0	1985-04-08	0	0	0
[1935, 1938]	адам чарторыйский	Q2823978	Адам Людвик Чарторыйский	P570	дата смерти	0	0	1937-06-26	0	0	0
[1940, 1941]	адам чарторыйский	Q2823967	Чарторыйский, Адам Кароль	P569	дата рождения	0	0	1940-01-02	0	0	0
[1970, 1975]	адамов а	Q213582	Артюр Адамов	P570	дата смерти	0	0	1970-03-15	0	0	0
[1970, 1975]	адамов а	Q213582	Артюр Адамов	P570	дата смерти	0	0	1970-03-16	0	0	0
[2006, 2009]	адамов с	Q441417	Роман Станиславович Адамов	P54	член спортивной команды	Москва	0	0	2006-01-01	2008-01-01	0
[2006, 2009]	адамов с	Q441417	Роман Станиславович Адамов	P54	член спортивной команды	сборная России по футболу	0	0	2008-01-01	2008-01-01	0
[2006, 2009]	адамов с	Q441417	Роман Станиславович Адамов	P54	член спортивной команды	Рубин	0	0	2008-01-01	2012-01-01	0
[1992, 1998]	адамов яблоко	Q4057334	Адамово яблоко. Передача для мужчин	P582	дата окончания	0	0	1997-01-01	0	0	0
[1988, 1993]	адамович александр	Q15206311	Граховский, Александр Адамович	P570	дата смерти	0	0	1991-07-22	0	0	0
[1988, 1993]	адамович александр	Q4083842	Беннигсен, Александр Адамович	P570	дата смерти	0	0	1988-06-03	0	0	0
[1941, 1942]	адамович в	Q4057300	Адамович, Владимир Дмитриевич	P570	дата смерти	0	0	1941-01-01	0	0	0
[1967, 1973]	адамович в	Q2623542	Георгий Викторович Адамович	P570	дата смерти	0	0	1972-02-21	0	0	0
[1937, 1938]	адамович и	Q2512945	Иосиф Александрович Адамович	P570	дата смерти	0	0	1937-04-22	0	0	0
[1990, 1999]	адамович ковалев	Q545569	Сергей Адамович Ковалёв	P166	полученные награды	Нюрнбергская международная премия в области прав человека	0	0	0	0	1995-01-01
[1990, 1999]	адамович ковалев	Q545569	Сергей Адамович Ковалёв	P166	полученные награды	Theodor Haecker Price	0	0	0	0	1995-01-01
[1990, 1999]	адамович ковалев	Q545569	Сергей Адамович Ковалёв	P166	полученные награды	Медаль гёзов	0	0	0	0	1998-01-01
[1990, 1999]	адамович ковалев	Q545569	Сергей Адамович Ковалёв	P166	полученные награды	премия Хайнца Р. Пейгелса в области прав человека для учёных	0	0	0	0	1996-01-01
[1990, 1999]	адамович ковалев	Q545569	Сергей Адамович Ковалёв	P166	полученные награды	премия «Человек человеку»	0	0	0	0	1994-01-01
[1932, 1933]	адамян а	Q2624768	Ованес Абгарович Адамян	P570	дата смерти	0	0	1932-09-12	0	0	0
[1991, 1999]	адаптация группа	Q4057389	Адаптация (группа)	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
[1997, 2000]	адвокат роман	Q946787	Адвокат	P577	дата публикации	0	0	1998-01-01	0	0	0
[1959, 1966]	аден протекторат	Q1865132	Протекторат Аден	P576	дата прекращения существования	0	0	1963-01-01	0	0	0
[2001, 2005]	аденома предстательный	Q506659	Аденома простаты	P2176	лекарство, используемое для лечения	Тадалафил	0	0	2003-11-20	0	0
[2001, 2005]	аденома предстательный	Q506659	Аденома простаты	P2176	лекарство, используемое для лечения	Алфузозин	0	0	2003-06-12	0	0
[1999, 2004]	адзельо чампи	Q1224	Карло Адзельо Чампи	P166	полученные награды	почётный доктор Лейпцигского университета	0	0	0	0	2001-01-01
[1999, 2004]	адзельо чампи	Q1224	Карло Адзельо Чампи	P463	участник организации или клуба	Академия делла Круска	0	0	2002-04-09	2016-09-16	0
[1999, 2004]	адзельо чампи	Q1224	Карло Адзельо Чампи	P39	занимаемая должность	президент Италии	0	0	1999-05-18	2006-05-15	0
[1999, 2004]	адзельо чампи	Q1224	Карло Адзельо Чампи	P39	занимаемая должность	Q55087428	0	0	1998-10-22	1999-12-21	0
[1999, 2004]	адзельо чампи	Q1224	Карло Адзельо Чампи	P166	полученные награды	рыцарь Большого Креста ордена Бани	0	0	0	0	2000-10-16
[1935, 1940]	адлерский район	Q4262671	Адлерский район	P131	административно-территориальная единица	Краснодарский край	0	0	1937-09-13	1961-02-09	0
[1935, 1940]	адлерский район	Q4262671	Адлерский район	P131	административно-территориальная единица	Азово-Черноморский край	0	0	1934-10-16	1937-09-12	0
[1954, 1955]	административный власть	Q1213652	Административная власть	P166	полученные награды	Премия Большого жюри (Венецианский кинофестиваль)	0	0	0	0	1954-01-01
[1954, 1955]	административный власть	Q1213652	Административная власть	P577	дата публикации	0	0	1954-01-01	0	0	0
[1987, 1999]	административный единица	Q20667921	тип административной единицы Франции	P527	состоит из	territorial collectivity of France with special status	0	0	1991-05-13	0	0
[1978, 1984]	административный единица	Q20667921	тип административной единицы Франции	P527	состоит из	регион Франции	0	0	1982-03-03	0	0
[1932, 1940]	административный здание	Q28667080	Административное здание ОГПУ	P571	дата основания/создания/возникновения	0	0	1932-01-01	0	0	0
[1957, 1969]	административный корпус	Q920292	14-й корпус Кремля	P31	это частный случай понятия	здание театра	0	0	1958-01-01	1961-01-01	0
[1945, 1951]	административный округ	Q7927	Кёльн	P131	административно-территориальная единица	Британская зона оккупации Германии	0	0	1945-01-01	1946-08-22	0
[1935, 1939]	административный округ	Q827092	административный округ Оппельн	P131	административно-территориальная единица	Силезия	0	0	1938-01-01	1941-01-01	0
[1989, 2006]	административный округ	Q462490	Северо-Западный административный округ	P571	дата основания/создания/возникновения	0	0	1991-07-10	0	0	0
[1945, 1951]	административный округ	Q1506932	Административный округ Ольденбург	P571	дата основания/создания/возникновения	0	0	1946-11-01	0	0	0
[1945, 1951]	административный округ	Q827186	административный округ Потсдам	P576	дата прекращения существования	0	0	1945-01-01	0	0	0
[1989, 2006]	административный округ	Q462400	Юго-Западный административный округ	P571	дата основания/создания/возникновения	0	0	1991-07-10	0	0	0
[1945, 1951]	административный округ	Q553008	Гумбиннен	P576	дата прекращения существования	0	0	1945-01-01	0	0	0
[1989, 2006]	административный округ	Q207695	Зеленоград	P31	это частный случай понятия	административный округ Москвы	0	0	1991-07-10	0	0
[1945, 1951]	административный округ	Q827141	административный округ Каттовиц	P576	дата прекращения существования	0	0	1945-01-01	0	0	0
[1945, 1951]	административный округ	Q314251	Административный округ Люнебург	P31	это частный случай понятия	административный округ Пруссии	0	0	1885-04-01	1947-02-25	0
[1935, 1939]	административный округ	Q827092	административный округ Оппельн	P131	административно-территориальная единица	провинция Верхняя Силезия	0	0	1919-01-01	1938-01-01	0
[1989, 2006]	административный округ	Q462475	Западный административный округ	P571	дата основания/создания/возникновения	0	0	1991-07-10	0	0	0
[1945, 1951]	административный округ	Q7924	Арнсберг	P31	это частный случай понятия	административный округ Пруссии	0	0	1815-04-30	1946-01-01	0
[1935, 1939]	административный округ	Q830245	административный округ Бреслау	P131	административно-территориальная единица	Силезия	0	0	1938-01-01	1941-01-01	0
