Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1992, 1999]	а фадеев	Q2393147	Фадеев, Максим Александрович	P2031	начало периода активности	0	0	1993-01-01	0	0	0
[1954, 1957]	а фадеев	Q60128	Александр Александрович Фадеев	P570	дата смерти	0	0	1956-05-13	0	0	0
[1966, 1972]	а фадеев	Q2393147	Фадеев, Максим Александрович	P569	дата рождения	0	0	1968-05-06	0	0	0
[1976, 1978]	а федоров	Q4493910	Фёдоров, Александр Викторович	P2031	начало периода активности	0	0	1977-01-01	0	0	0
[1988, 1990]	а фомин	Q4491464	Андрей Владимирович Фомин	P2031	начало периода активности	0	0	1988-01-01	0	0	0
[2001, 2003]	а фрейндлих	Q442973	Бруно Артурович Фрейндлих	P570	дата смерти	0	0	2002-07-07	0	0	0
[1990, 1996]	а фухиморить	Q133040	Альберто Фухимори	P39	занимаемая должность	президент Перу	0	0	1990-07-28	2000-11-21	0
[1987, 1996]	афанасий алексеевич	Q43950660	Додонов, Афанасий Алексеевич	P570	дата смерти	0	0	1995-01-01	0	0	0
[1923, 1928]	афанасий афанасьевич	Q4400899	Русских, Афанасий Афанасьевич	P569	дата рождения	0	0	1923-09-19	0	0	0
[1976, 1978]	афанасий афанасьевич	Q18276480	Пчёлкин, Афанасий Афанасьевич	P570	дата смерти	0	0	1976-01-01	0	0	0
[1993, 1997]	афанасий васильевич	Q19614692	Демаш, Афанасий Васильевич	P570	дата смерти	0	0	1995-10-07	0	0	0
[1972, 1976]	афанасий дмитриевич	Q4522783	Шеменков, Афанасий Дмитриевич	P570	дата смерти	0	0	1972-03-08	0	0	0
[1993, 1997]	афанасий дмитриевич	Q4406120	Салынский, Афанасий Дмитриевич	P570	дата смерти	0	0	1993-08-22	0	0	0
[1945, 1949]	афанасий иванович	Q382044	Афанасий Иванович Кузьмин	P569	дата рождения	0	0	1947-03-22	0	0	0
[1945, 1949]	афанасий иванович	Q18278627	Тимошенко, Афанасий Иванович	P570	дата смерти	0	0	1945-03-03	0	0	0
[1966, 1968]	афанасий иванович	Q4176441	Ермаков, Афанасий Иванович	P570	дата смерти	0	0	1967-06-19	0	0	0
[1982, 1985]	афанасий иванович	Q15064573	Боженко, Афанасий Иванович	P570	дата смерти	0	0	1982-01-22	0	0	0
[1945, 1949]	афанасий иванович	Q17333441	Семакин, Афанасий Иванович	P570	дата смерти	0	0	1945-09-28	0	0	0
[1993, 1997]	афанасий иванович	Q15067231	Иванников, Афанасий Иванович	P570	дата смерти	0	0	1996-03-29	0	0	0
[2002, 2005]	афанасий кочетков	Q4236741	Кочетков, Афанасий Иванович	P570	дата смерти	0	0	2004-06-24	0	0	0
[1987, 2000]	афанасий лаврентьевич	Q4089943	Бодаков, Афанасий Лаврентьевич	P570	дата смерти	0	0	1989-09-14	0	0	0
[1981, 1986]	афанасий павлантиевич	Q382059	Афанасий Павлантьевич Белобородов	P166	полученные награды	орден Отечественной войны I степени	0	0	0	0	1985-03-11
[1972, 1977]	афанасий павлантиевич	Q382059	Афанасий Павлантьевич Белобородов	P166	полученные награды	орден Октябрьской Революции	0	0	0	0	1973-01-30
[1972, 1977]	афанасий павлантиевич	Q382059	Афанасий Павлантьевич Белобородов	P166	полученные награды	орден «За службу Родине в Вооружённых Силах СССР» III степени	0	0	0	0	1975-04-30
[1981, 1986]	афанасий павлантиевич	Q382059	Афанасий Павлантьевич Белобородов	P166	полученные награды	орден Ленина	0	0	0	0	1983-01-30
[1943, 1948]	афанасий петрович	Q4523794	Афанасий Петрович Шилин	P166	полученные награды	Герой Советского Союза	0	0	0	0	1945-03-24
[1924, 1925]	афанасий петрович	Q4523794	Афанасий Петрович Шилин	P569	дата рождения	0	0	1924-09-01	0	0	0
[1943, 1948]	афанасий петрович	Q4523794	Афанасий Петрович Шилин	P166	полученные награды	медаль «Золотая Звезда»	0	0	0	0	1944-02-22
