Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1973, 1978]	а галич	Q2459284	Александр Аркадьевич Галич	P570	дата смерти	0	0	1977-12-15	0	0	0
[1990, 2000]	а галкин	Q559485	Максим Александрович Галкин	P2031	начало периода активности	0	0	1994-01-01	0	0	0
[1973, 1978]	а галкин	Q559485	Максим Александрович Галкин	P569	дата рождения	0	0	1976-06-18	0	0	0
[1985, 1992]	а герасимов	Q4136027	Герасимов, Иосиф Абрамович	P570	дата смерти	0	0	1991-03-31	0	0	0
[1979, 1980]	а герман	Q4470213	Уиткин, Герман	P570	дата смерти	0	0	1979-07-08	0	0	0
[1988, 1989]	а гинзбург	Q4138624	Валерий Аркадьевич Гинзбург	P166	полученные награды	Премия «Ника» за лучшую операторскую работу	0	0	0	0	1988-01-01
[1991, 1995]	а гинзбург	Q4138640	Гинзбург, Наум Абрамович	P570	дата смерти	0	0	1991-06-21	0	0	0
[1997, 1999]	а гинзбург	Q4138624	Валерий Аркадьевич Гинзбург	P570	дата смерти	0	0	1998-10-23	0	0	0
[1976, 1977]	а гладков	Q4139292	Александр Константинович Гладков	P570	дата смерти	0	0	1976-04-11	0	0	0
[1962, 1963]	а головко	Q704610	Арсений Григорьевич Головко	P570	дата смерти	0	0	1962-05-17	0	0	0
[1975, 1977]	а гречко	Q312495	Андрей Антонович Гречко	P570	дата смерти	0	0	1976-04-26	0	0	0
[2001, 2002]	а григорьев	Q4149349	Григорьева, Надежда Адольфовна	P570	дата смерти	0	0	2001-01-01	0	0	0
[1927, 1928]	а григорьев	Q4149349	Григорьева, Надежда Адольфовна	P569	дата рождения	0	0	1927-09-23	0	0	0
[1959, 1963]	а григорьев	Q4149280	Григорьев, Дмитрий Анатольевич	P569	дата рождения	0	0	1960-09-05	0	0	0
[1974, 1976]	а григорян	Q2472160	Григорян, Армен Сергеевич	P2031	начало периода активности	0	0	1974-01-01	0	0	0
[1979, 1988]	а громыко	Q184267	Андрей Андреевич Громыко	P166	полученные награды	медаль «Серп и Молот»	0	0	0	0	1979-07-17
[1979, 1988]	а громыко	Q184267	Андрей Андреевич Громыко	P39	занимаемая должность	председатель Президиума Верховного Совета СССР	0	0	1985-07-02	1988-10-01	0
[1979, 1988]	а громыко	Q184267	Андрей Андреевич Громыко	P166	полученные награды	Ленинская премия	0	0	0	0	1982-01-01
[1979, 1988]	а громыко	Q184267	Андрей Андреевич Громыко	P166	полученные награды	Герой Социалистического Труда	0	0	0	0	1979-07-17
[1979, 1988]	а громыко	Q184267	Андрей Андреевич Громыко	P166	полученные награды	орден Отечественной войны I степени	0	0	0	0	1985-04-23
[1979, 1988]	а громыко	Q184267	Андрей Андреевич Громыко	P39	занимаемая должность	первый заместитель председателя Совета Министров СССР	0	0	1983-03-24	1985-07-02	0
[1979, 1988]	а громыко	Q184267	Андрей Андреевич Громыко	P166	полученные награды	орден Клемента Готвальда	0	0	0	0	1979-01-01
[1979, 1988]	а громыко	Q184267	Андрей Андреевич Громыко	P166	полученные награды	орден Ленина	0	0	0	0	1979-07-17
[1979, 1988]	а громыко	Q184267	Андрей Андреевич Громыко	P166	полученные награды	орден Ленина	0	0	0	0	1984-07-17
[1979, 1988]	а громыко	Q184267	Андрей Андреевич Громыко	P166	полученные награды	Государственная премия СССР	0	0	0	0	1984-01-01
