Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1963, 1964]	а хачатурян	Q152293	Арам Хачатурян	P166	полученные награды	Народный артист Грузинской ССР	0	0	0	0	1963-01-01
[1963, 1964]	а хачатурян	Q152293	Арам Хачатурян	P166	полученные награды	орден Ленина	0	0	0	0	1963-06-05
[1955, 1956]	а хачатурян	Q152293	Арам Хачатурян	P166	полученные награды	Народный артист Армянской ССР	0	0	0	0	1955-01-01
[1992, 1996]	ахалский велаят	Q399899	Ахалский велаят	P571	дата основания/создания/возникновения	0	0	1992-12-14	0	0	0
[2002, 2005]	ахиезер а	Q1388203	Александр Ильич Ахиезер	P166	полученные награды	Государственная премия Украины в области науки и техники	0	0	0	0	2002-01-01
[1994, 2003]	ахиезер александр	Q1388203	Александр Ильич Ахиезер	P166	полученные награды	Государственная премия Украины в области науки и техники	0	0	0	0	2002-01-01
[1994, 2003]	ахиезер александр	Q1388203	Александр Ильич Ахиезер	P570	дата смерти	0	0	2000-05-04	0	0	0
[2002, 2005]	ахияр хакимов	Q4494920	Хакимов, Ахияр Хасанович	P570	дата смерти	0	0	2003-12-27	0	0	0
[2003, 2005]	ахмад али	Q2646632	Попаль, Али Ахмад	P570	дата смерти	0	0	2004-11-21	0	0	0
[2000, 2007]	ахмад кадыров	Q297006	Ахмат Абдулхамидович Кадыров	P570	дата смерти	0	0	2004-05-09	0	0	0
[2000, 2007]	ахмад кадыров	Q297006	Ахмат Абдулхамидович Кадыров	P39	занимаемая должность	Руководство Чечни после 1991 года	0	0	2003-10-05	2004-05-09	0
[2000, 2007]	ахмад кадыров	Q297006	Ахмат Абдулхамидович Кадыров	P166	полученные награды	Герой Российской Федерации	0	0	0	0	2004-05-10
[1976, 1980]	ахмад фаиз	Q381296	Фаиз Ахмад Фаиз	P166	полученные награды	Lotus Prize for Literature	0	0	0	0	1976-01-01
[1955, 1964]	ахмад фаиз	Q381296	Фаиз Ахмад Фаиз	P166	полученные награды	Международная Ленинская премия «За укрепление мира между народами»	0	0	0	0	1962-01-01
[1977, 1982]	ахмад шах	Q4200571	Ахмад Шах	P39	занимаемая должность	Янг ди-Пертуан Агонг	0	0	1979-04-26	1984-04-25	0
[2001, 2002]	ахмад шах	Q200029	Ахмад Шах Масуд	P570	дата смерти	0	0	2001-09-09	0	0	0
