Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1990, 1999]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	Тироль	0	0	1996-01-01	1997-01-01	0
[1990, 1999]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	Гройтер	0	0	1997-01-01	1998-01-01	0
[1990, 1999]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	Спартак	0	0	1988-01-01	1990-01-01	0
[1990, 1999]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	ЦСКА	0	0	1996-01-01	1996-01-01	0
[1990, 1999]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	Гурия	0	0	1990-01-01	1990-01-01	0
[1979, 1988]	а иванов	Q519006	Иванов, Олег Александрович	P569	дата рождения	0	0	1986-08-04	0	0	0
[1962, 1968]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P569	дата рождения	0	0	1967-04-06	0	0	0
[1926, 1931]	а иванов	Q4195970	Иванов, Анатолий Степанович	P569	дата рождения	0	0	1928-05-05	0	0	0
[1979, 1988]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	ФШМ	0	0	1982-01-01	1982-01-01	0
[1979, 1988]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	СКА-Хабаровск	0	0	1987-01-01	1987-01-01	0
[1979, 1988]	а иванов	Q4196443	Светлана Иванова	P569	дата рождения	0	0	1985-09-26	0	0	0
[1990, 1999]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	Спартак	0	0	1991-01-01	1994-01-01	0
[1979, 1988]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	Спартак	0	0	1986-01-01	1986-01-01	0
[1990, 1999]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	сборная СССР по футболу	0	0	1991-01-01	1991-01-01	0
[1990, 1999]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	Алверка (футбольный клуб)	0	0	1998-01-01	1999-01-01	0
[1990, 1999]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	Динамо (Москва)	0	0	1994-01-01	1994-01-01	0
[1990, 1999]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	Спартак	0	0	1995-01-01	1995-01-01	0
[1990, 1999]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	сборная России по футболу	0	0	1992-01-01	1993-01-01	0
[1990, 1999]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	сборная СНГ по футболу	0	0	1992-01-01	1992-01-01	0
[1979, 1988]	а иванов	Q502150	Иванов, Андрей Евгеньевич	P54	член спортивной команды	Спартак	0	0	1983-01-01	1985-01-01	0
[1989, 2001]	а ильин	Q4199530	Ильин, Алексей Сергеевич	P166	полученные награды	государственная премия РСФСР имени Н. К. Крупской	0	0	0	0	1990-01-01
[1961, 1963]	а ильин	Q2301871	Анатолий Михайлович Ильин	P54	член спортивной команды	Спартак	0	0	1949-01-01	1962-01-01	0
[1991, 1992]	аир и	Q794643	Национальный резерват Аир и Тенере	P1435	статус наследия	всемирное наследие	0	0	1991-01-01	0	0
[1988, 1989]	аир и	Q794643	Национальный резерват Аир и Тенере	P571	дата основания/создания/возникновения	0	0	1988-01-01	0	0	0
[1993, 1995]	аист белый	Q25352	Белый аист	P166	полученные награды	Bird of the Year	0	0	0	0	1994-01-01
[1993, 1995]	аист белый	Q25352	Белый аист	P166	полученные награды	Q12047564	0	0	0	0	1994-01-01
[1932, 1937]	яицкий городок	Q487439	Уральск	P131	административно-территориальная единица	Западно-Казахстанская область	0	0	1932-03-10	0	0
[1932, 1937]	яицкий городок	Q487439	Уральск	P131	административно-территориальная единица	Казахская Автономная Социалистическая Советская Республика	0	0	1930-12-18	1932-03-09	0
[1932, 1937]	яицкий городок	Q487439	Уральск	P1376	является столицей	Западно-Казахстанская область	0	0	1932-03-10	0	0
[2003, 2008]	яйцо фаберже	Q4536589	Яйцо с бутоном розы	P127	владельцем является	Виктор Феликсович Вексельберг	0	0	2004-01-01	0	0
[2003, 2008]	яйцо фаберже	Q4536589	Яйцо с бутоном розы	P127	владельцем является	Forbes family	0	0	1990-01-01	2004-01-01	0
[1990, 1991]	яйцо фаберже	Q4536589	Яйцо с бутоном розы	P127	владельцем является	Malcolm Forbes	0	0	1985-01-01	1990-01-01	0
