Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1956, 1958]	ай куок	Q36014	Хо Ши Мин	P39	занимаемая должность	генеральный секретарь ЦК Коммунистической партии Вьетнама	0.0	0	1956-11-01	1960-09-10	0
[1974, 1979]	айвазян а	Q2390917	Артемий Сергеевич Айвазян	P570	дата смерти	0	0.0	1975-11-14	0	0	0
[1960, 1962]	айвазян в	Q4058746	Вардан Суренович Айвазян	P569	дата рождения	0	0.0	1961-11-07	0	0	0
[1961, 1963]	айвазян с	Q4058746	Вардан Суренович Айвазян	P569	дата рождения	0	0.0	1961-11-07	0	0	0
[1965, 1982]	айвазян с	Q2390917	Артемий Сергеевич Айвазян	P570	дата смерти	0	0.0	1975-11-14	0	0	0
[2004, 2008]	айга г	Q335110	Геннадий Николаевич Айги	P570	дата смерти	0	0.0	2006-02-21	0	0	0
[1985, 1987]	айзек азимов	Q34981	Айзек Азимов	P166	полученные награды	премия «Космос-2000»	0.0	0	0	0	1985-01-01
[1962, 1969]	айзек азимов	Q34981	Айзек Азимов	P166	полученные награды	Премия за интерпретацию химии имени Джеймса Т. Греди и Джеймса Г. Стака	0.0	0	0	0	1965-01-01
[1991, 1993]	айзек азимов	Q34981	Айзек Азимов	P166	полученные награды	премия Хьюго за лучшую короткую повесть	0.0	0	0	0	1992-01-01
[1991, 1993]	айзек азимов	Q34981	Айзек Азимов	P2032	окончание периода активности	0	0.0	1992-01-01	0	0	0
[1991, 1993]	айзек азимов	Q34981	Айзек Азимов	P570	дата смерти	0	0.0	1992-04-06	0	0	0
[1962, 1969]	айзек азимов	Q34981	Айзек Азимов	P166	полученные награды	Хьюго	0.0	0	0	0	1963-01-01
[1962, 1969]	айзек азимов	Q34981	Айзек Азимов	P166	полученные награды	Хьюго	0.0	0	0	0	1966-01-01
[1962, 1969]	айзек азимов	Q34981	Айзек Азимов	P166	полученные награды	Мемориальная премия Эдварда Э. Смита	0.0	0	0	0	1967-01-01
[1994, 1998]	айзенк г	Q58632	Ганс Юрген Айзенк	P570	дата смерти	0	0.0	1997-09-04	0	0	0
[1994, 1998]	айзенк г	Q58632	Ганс Юрген Айзенк	P166	полученные награды	стипендия Уильяма Джемса	0.0	0	0	0	1994-01-01
[1984, 1988]	айн каалеп	Q405863	Айн Каалеп	P166	полученные награды	Заслуженный писатель Эстонской ССР	0.0	0	0	0	1986-01-01
[1984, 1988]	айн каалеп	Q405863	Айн Каалеп	P166	полученные награды	поэтическая премия  Юхана Лийва	0.0	0	0	0	1984-01-01
[1949, 1955]	айни с	Q558794	Садриддин Айни	P166	полученные награды	Сталинская премия	0.0	0	0	0	1950-01-01
[1949, 1955]	айни с	Q558794	Садриддин Айни	P570	дата смерти	0	0.0	1954-07-15	0	0	0
[2004, 2005]	айрапетян л	Q4058948	Айрапетян, Вардкес Левонович	P570	дата смерти	0	0.0	2004-02-20	0	0	0
[1998, 2005]	айрис мердок	Q217495	Мёрдок, Айрис	P570	дата смерти	0	0.0	1999-02-08	0	0	0
[1989, 1997]	айртон сенн	Q10490	Айртон Сенна	P570	дата смерти	0	0.0	1994-05-01	0	0	0
[1989, 1997]	айртон сенн	Q10490	Айртон Сенна	P166	полученные награды	Чемпион чемпионов L'Équipe	0.0	0	0	0	1990-01-01
[1989, 1997]	айртон сенн	Q10490	Айртон Сенна	P54	член спортивной команды	Макларен	0.0	0	1988-01-01	1993-01-01	0
[1989, 1997]	айртон сенн	Q10490	Айртон Сенна	P166	полученные награды	чемпион мира Формулы-1	0.0	0	0	0	1991-01-01
[1989, 1997]	айртон сенн	Q10490	Айртон Сенна	P166	полученные награды	чемпион мира Формулы-1	0.0	0	0	0	1990-01-01
[1989, 1997]	айртон сенн	Q10490	Айртон Сенна	P54	член спортивной команды	Уильямс	0.0	0	1994-01-01	1994-01-01	0
[1957, 1964]	айтматов ч	Q484292	Чингиз Торекулович Айтматов	P166	полученные награды	Ленинская премия	0.0	0	0	0	1963-01-01
[2008, 2009]	айтматов ч	Q484292	Чингиз Торекулович Айтматов	P570	дата смерти	0	0.0	2008-06-10	0	0	0
[2008, 2009]	айтматов чингиз	Q484292	Чингиз Торекулович Айтматов	P570	дата смерти	0	0.0	2008-06-10	0	0	0
[1965, 1970]	айюб хан	Q190071	Мухаммед Айюб Хан	P39	занимаемая должность	президент Пакистана	0.0	0	1958-10-27	1969-03-25	0
[1965, 1970]	айюб хан	Q190071	Мухаммед Айюб Хан	P39	занимаемая должность	министр обороны Пакистана	0.0	0	1958-10-28	1966-10-21	0
[1965, 1970]	айюб хан	Q190071	Мухаммед Айюб Хан	P166	полученные награды	Королевская Викторианская цепь	0.0	0	0	0	1966-01-01
[1957, 1964]	яйвинский грэс	Q4536575	Яйвинская ГРЭС	P571	дата основания/создания/возникновения	0	0.0	1963-06-30	0	0	0
[1957, 1964]	яйвинский грэс	Q4536575	Яйвинская ГРЭС	P729	дата принятия в эксплуатацию	0	0.0	1963-01-01	0	0	0
[2003, 2009]	яйцо фаберже	Q4536589	Яйцо с бутоном розы	P127	владельцем является	Виктор Феликсович Вексельберг	0.0	0	2004-01-01	0	0
[2003, 2009]	яйцо фаберже	Q4536589	Яйцо с бутоном розы	P127	владельцем является	Forbes family	0.0	0	1990-01-01	2004-01-01	0
[1947, 1948]	яйцо я	Q1445444	Неудачник и я	P577	дата публикации	0	0.0	1947-01-01	0	0	0
