Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[2001, 2006]	а кабанов	Q4206555	Кабанов, Виктор Александрович	P166	полученные награды	Демидовская премия	0	0	0	0	2001-01-01
[1974, 1977]	а каменский	Q4211356	Валентин Александрович Каменский	P570	дата смерти	0	0	1975-11-20	0	0	0
[1975, 1977]	а карпентьер	Q216466	Алехо Карпентьер	P166	полученные награды	премия Чино дель Дука	0	0	0	0	1976-01-01
[1980, 1981]	а карпов	Q131674	Анатолий Евгеньевич Карпов	P166	полученные награды	Шахматный Оскар	0	0	0	0	1980-01-01
[1966, 1969]	а карпов	Q131674	Анатолий Евгеньевич Карпов	P2962	шахматный титул	мастер спорта СССР по шахматам	0	0	1966-01-01	0	0
[1990, 1997]	а кац	Q4217807	Кац, Арнольд Михайлович	P166	полученные награды	Государственная премия Российской Федерации	0	0	0	0	1994-01-01
[2007, 2008]	а кац	Q4217807	Кац, Арнольд Михайлович	P570	дата смерти	0	0	2007-01-22	0	0	0
[1982, 1984]	а кестлер	Q78494	Кёстлер, Артур	P570	дата смерти	0	0	1983-03-01	0	0	0
[1986, 1992]	а ким	Q229124	Ким Ён А	P569	дата рождения	0	0	1990-09-05	0	0	0
[2001, 2004]	а киселев	Q4222022	Киселёв, Александр Николаевич	P570	дата смерти	0	0	2001-10-02	0	0	0
[1974, 1975]	а киселев	Q2351499	Мария Александровна Киселёва	P569	дата рождения	0	0	1974-09-28	0	0	0
[1995, 1997]	а ковалев	Q545569	Сергей Адамович Ковалёв	P166	полученные награды	премия Хайнца Р. Пейгелса в области прав человека для учёных	0	0	0	0	1996-01-01
[1995, 1997]	а ковалев	Q545569	Сергей Адамович Ковалёв	P166	полученные награды	Нюрнбергская международная премия в области прав человека	0	0	0	0	1995-01-01
[1973, 1975]	а ковалев	Q739944	Ковалёв, Алексей Вячеславович	P569	дата рождения	0	0	1973-02-24	0	0	0
[1995, 1997]	а ковалев	Q545569	Сергей Адамович Ковалёв	P166	полученные награды	Theodor Haecker Price	0	0	0	0	1995-01-01
[1994, 1999]	а коновалов	Q4230985	Коновалов, Андрей Степанович	P54	член спортивной команды	Текстильщик	0	0	1996-01-01	1996-01-01	0
[1994, 1999]	а коновалов	Q4230985	Коновалов, Андрей Степанович	P54	член спортивной команды	Спартак	0	0	1991-01-01	1995-01-01	0
[2002, 2006]	а коновалов	Q4230985	Коновалов, Андрей Степанович	P54	член спортивной команды	Рубин	0	0	2002-01-01	2005-01-01	0
[1994, 1999]	а коновалов	Q4230985	Коновалов, Андрей Степанович	P54	член спортивной команды	Спартак	0	0	1996-01-01	1997-01-01	0
[1994, 1999]	а коновалов	Q4230985	Коновалов, Андрей Степанович	P54	член спортивной команды	Сокол	0	0	1998-01-01	1999-01-01	0
[1968, 1969]	а константинов	Q4231370	Пётр Александрович Константинов	P166	полученные награды	орден Ленина	0	0	0	0	1968-01-01
[1991, 1997]	а краснов	Q4238353	Краснов-Левитин, Анатолий Эммануилович	P570	дата смерти	0	0	1991-04-05	0	0	0
[1991, 1997]	а крючок	Q1196388	Николай Афанасьевич Крючков	P570	дата смерти	0	0	1994-04-13	0	0	0
[1975, 1976]	а кузьмин	Q4245344	Кузьмин, Дмитрий Александрович	P569	дата рождения	0	0	1975-06-19	0	0	0
[2000, 2008]	ак жол	Q1186246	Демократическая партия Казахстана «Ак жол»	P571	дата основания/создания/возникновения	0	0	2002-04-03	0	0	0
[2000, 2008]	ак жол	Q4157646	Демократическая партия Казахстана «Азат»	P571	дата основания/создания/возникновения	0	0	2005-04-29	0	0	0
[2000, 2008]	ак жол	Q413561	Ак жол	P571	дата основания/создания/возникновения	0	0	2007-10-15	0	0	0
[1998, 2007]	ак орда	Q413579	Ак орда (резиденция)	P1619	дата официального открытия	0	0	2004-01-01	0	0	0
