Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1929, 1930]	а лавров	Q4252217	Пётр Алексеевич Лавров	P570	дата смерти	0	0	1929-11-24	0	0	0
[1962, 1963]	а лавров	Q502113	Лавров, Андрей Иванович	P569	дата рождения	0	0	1962-03-26	0	0	0
[2000, 2001]	а лазарев	Q4252775	Лазарев, Алексей Анатольевич	P54	член спортивной команды	Зенит-2 (футбольный клуб)	0	0	1999-01-01	2000-01-01	0
[1978, 1983]	а лазарев	Q4252775	Лазарев, Алексей Анатольевич	P569	дата рождения	0	0	1981-04-21	0	0	0
[2000, 2001]	а лазарев	Q4252775	Лазарев, Алексей Анатольевич	P54	член спортивной команды	Зенит	0	0	2000-01-01	2002-01-01	0
[2000, 2001]	а ларионов	Q4254592	Алла Дмитриевна Ларионова	P570	дата смерти	0	0	2000-04-25	0	0	0
[1974, 1976]	а лебедев	Q1396305	Сергей Алексеевич Лебедев	P570	дата смерти	0	0	1974-07-03	0	0	0
[1993, 2001]	а лебедев	Q1967736	Евгений Алексеевич Лебедев	P2032	окончание периода активности	0	0	1997-01-01	0	0	0
[1955, 1961]	а лебедев	Q370787	Лебедев, Александр Евгеньевич	P569	дата рождения	0	0	1959-12-16	0	0	0
[1993, 2001]	а лебедев	Q1396305	Сергей Алексеевич Лебедев	P166	полученные награды	Пионер компьютерной техники	0	0	0	0	1996-01-01
[1993, 2001]	а лебедев	Q1967736	Евгений Алексеевич Лебедев	P570	дата смерти	0	0	1997-06-09	0	0	0
[1992, 2000]	а лебедь	Q2389794	Владимир Анатольевич Лебедь	P54	член спортивной команды	Зенит	0	0	1997-01-01	1997-01-01	0
[1992, 2000]	а лебедь	Q2389794	Владимир Анатольевич Лебедь	P54	член спортивной команды	ЦСКА	0	0	1995-01-01	1996-01-01	0
[1992, 2000]	а лебедь	Q2389794	Владимир Анатольевич Лебедь	P54	член спортивной команды	Кристалл	0	0	1993-01-01	1994-01-01	0
[1992, 2000]	а лебедь	Q2389794	Владимир Анатольевич Лебедь	P54	член спортивной команды	сборная России по футболу	0	0	1995-01-01	1995-01-01	0
[1992, 2000]	а лебедь	Q2389794	Владимир Анатольевич Лебедь	P54	член спортивной команды	Черноморец	0	0	1992-01-01	1993-01-01	0
[1992, 2000]	а лебедь	Q295898	Александр Иванович Лебедь	P166	полученные награды	Гессенская премия мира	0	0	0	0	1998-01-01
[1992, 2000]	а лебедь	Q2389794	Владимир Анатольевич Лебедь	P54	член спортивной команды	Алания	0	0	1994-01-01	1994-01-01	0
[1992, 2000]	а лебедь	Q2389794	Владимир Анатольевич Лебедь	P54	член спортивной команды	Кристалл	0	0	1993-01-01	1993-01-01	0
[1992, 2000]	а лебедь	Q2389794	Владимир Анатольевич Лебедь	P54	член спортивной команды	Сокол	0	0	1998-01-01	1999-01-01	0
[1992, 2000]	а лебедь	Q2389794	Владимир Анатольевич Лебедь	P54	член спортивной команды	FC Oulu	0	0	1994-01-01	1994-01-01	0
[1992, 2000]	а лебедь	Q2389794	Владимир Анатольевич Лебедь	P54	член спортивной команды	Днепр	0	0	1991-01-01	1992-01-01	0
[1990, 1998]	а левицкий	Q2425753	Левицкий, Максим Анатольевич	P54	член спортивной команды	Таврия	0	0	1992-01-01	1999-01-01	0
[2008, 2009]	а левицкий	Q2425753	Левицкий, Максим Анатольевич	P54	член спортивной команды	Ростов	0	0	2008-01-01	2008-01-01	0
[1974, 1977]	а леонов	Q154269	Алексей Архипович Леонов	P166	полученные награды	орден Ленина	0	0	0	0	1975-07-22
[1974, 1977]	а леонов	Q154269	Алексей Архипович Леонов	P166	полученные награды	медаль «Золотая Звезда»	0	0	0	0	1975-07-22
[1974, 1977]	а леонов	Q154269	Алексей Архипович Леонов	P166	полученные награды	Герой Советского Союза	0	0	0	0	1975-07-22
[1974, 1977]	а леонов	Q154269	Алексей Архипович Леонов	P166	полученные награды	орден «За службу Родине в Вооружённых Силах СССР» III степени	0	0	0	0	1975-04-30
[1991, 1999]	а леонтьев	Q4259000	Леонтьев, Алексей Иванович	P570	дата смерти	0	0	1998-01-09	0	0	0
[1976, 1980]	а леонтьев	Q362127	Леонтьев, Алексей Николаевич	P570	дата смерти	0	0	1979-01-21	0	0	0
[2001, 2002]	а либерман	Q58311	Авигдор Либерман	P39	занимаемая должность	Израильский министр национальной инфраструктуры, энергии и воды	0	0	2001-03-07	2002-03-14	0
[2004, 2009]	а литвиненко	Q87015	Александр Вальтерович Литвиненко	P793	ключевое событие	дело Литвиненко	0	0	0	0	2006-11-01
[2004, 2009]	а литвиненко	Q87015	Александр Вальтерович Литвиненко	P570	дата смерти	0	0	2006-11-23	0	0	0
[1989, 2001]	а лукьянов	Q487779	Анатолий Иванович Лукьянов	P39	занимаемая должность	председатель Верховного Совета СССР	0	0	1990-03-15	1991-09-04	0
[2003, 2008]	ала алханов	Q319240	Али Дадашевич Алханов	P39	занимаемая должность	Руководство Чечни после 1991 года	0	0	2004-08-30	2007-02-15	0
[1939, 1940]	алабин и	Q4060380	Алабина, Инна Ильинична	P569	дата рождения	0	0	1939-07-25	0	0	0
[1959, 1960]	алабян к	Q2470897	Каро Семёнович Алабян	P570	дата смерти	0	0	1959-01-05	0	0	0
[1991, 1992]	алавердский район	Q4465368	Туманянский район	P131	административно-территориальная единица	Армянская Советская Социалистическая Республика	0	0	1930-09-09	1991-08-22	0
[1991, 1992]	алавердский район	Q4465368	Туманянский район	P131	административно-территориальная единица	Армения	0	0	1991-08-23	1995-04-11	0
[1991, 1992]	алавердский район	Q4465368	Туманянский район	P17	государство	Армения	0	0	1991-08-23	1995-04-11	0
[1991, 1992]	алавердский район	Q4465368	Туманянский район	P17	государство	СССР	0	0	1930-09-09	1991-08-22	0
[1957, 1962]	алакульский район	Q2556249	Алакольский район	P131	административно-территориальная единица	Талды-Курганская область	0	0	1944-03-16	1959-06-05	0
[1990, 1992]	алакульский район	Q2556249	Алакольский район	P17	государство	СССР	0	0	1928-01-17	1991-12-25	0
[1928, 1929]	алакульский район	Q2556249	Алакольский район	P571	дата основания/создания/возникновения	0	0	1928-01-17	0	0	0
[1957, 1962]	алакульский район	Q2556249	Алакольский район	P131	административно-территориальная единица	Алматинская область	0	0	1959-06-06	1967-12-22	0
[1928, 1929]	алакульский район	Q2556249	Алакольский район	P131	административно-территориальная единица	Алма-Атинский округ	0	0	1928-01-17	1930-12-16	0
[1990, 1992]	алакульский район	Q2556249	Алакольский район	P17	государство	Казахстан	0	0	1991-12-26	0	0
[1974, 1976]	аламединский район	Q670790	Аламудунский район	P571	дата основания/создания/возникновения	0	0	1974-01-09	0	0	0
[1997, 2001]	аламединский район	Q59434428	Кантский район	P576	дата прекращения существования	0	0	1998-09-03	0	0	0
[1956, 1964]	аламединский район	Q59434428	Кантский район	P131	административно-территориальная единица	Чуйская область	0	0	1939-11-21	1959-01-27	0
[1997, 2001]	аламединский район	Q670790	Аламудунский район	P36	столица	Аламудун	0	0	1974-01-09	t	0
[1997, 2001]	аламединский район	Q59434428	Кантский район	P17	государство	Киргизия	0	0	1991-08-31	1998-09-03	0
[1997, 2001]	аламединский район	Q59434428	Кантский район	P131	административно-территориальная единица	Чуйская область	0	0	1990-12-14	1998-09-03	0
[1997, 2001]	аламединский район	Q59434428	Кантский район	P36	столица	Кант	0	0	1965-01-05	1998-09-03	0
[1956, 1964]	аламединский район	Q59434428	Кантский район	P36	столица	Бишкек	0	0	1961-09-23	1965-01-05	0
[1974, 1976]	аламединский район	Q670790	Аламудунский район	P17	государство	СССР	0	0	1974-01-09	1991-08-31	0
[1974, 1976]	аламединский район	Q670790	Аламудунский район	P131	административно-территориальная единица	Киргизская Советская Социалистическая Республика	0	0	1974-01-09	1990-12-14	0
[1956, 1964]	аламединский район	Q59434428	Кантский район	P131	административно-территориальная единица	Киргизская Советская Социалистическая Республика	0	0	1959-01-27	1990-12-14	0
[1968, 1969]	алан бейтс	Q309160	Алан Бейтс	P1411	номинирован на	премия «Оскар» за лучшую мужскую роль	0	0	0	0	1968-01-01
[1963, 1965]	алан брук	Q335889	Алан Брук	P570	дата смерти	0	0	1963-06-17	0	0	0
[2006, 2009]	алан гарсиа	Q167211	Алан Гарсиа Перес	P39	занимаемая должность	президент Перу	0	0	2006-07-28	2011-07-28	0
[2006, 2009]	алан гарсиа	Q167211	Алан Гарсиа Перес	P166	полученные награды	цепь ордена Изабеллы Католички	0	0	0	0	2008-01-01
[1984, 1989]	алан гарсиа	Q167211	Алан Гарсиа Перес	P39	занимаемая должность	президент Перу	0	0	1985-07-28	1990-07-28	0
[1970, 1971]	алан кларк	Q706058	Кларк, Алан	P54	член спортивной команды	сборная Англии по футболу	0	0	1970-01-01	1975-01-01	0
[2000, 2002]	алан крэнстон	Q1994957	Алан Крэнстон	P570	дата смерти	0	0	2000-12-31	0	0	0
[1973, 1979]	алан маршалл	Q4707248	Алан Маршалл	P570	дата смерти	0	0	1973-05-14	0	0	0
[1992, 1997]	алан паркер	Q4707474	Алан Паркер	P571	дата основания/создания/возникновения	0	0	1995-02-01	0	0	0
[1961, 1967]	алан силлитоу	Q216398	Силлитоу, Алан	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1965-01-01
[1961, 1965]	алан шепард	Q174979	Шепард, Алан	P39	занимаемая должность	Chief of the Astronaut Office	0	0	1963-11-01	1969-07-01	0
[1961, 1965]	алан шепард	Q174979	Шепард, Алан	P166	полученные награды	золотая медаль Лэнгли	0	0	0	0	1964-01-01
[1971, 1975]	алан шепард	Q174979	Шепард, Алан	P106	род занятий	космонавт	0	0	1959-04-09	1974-08-01	0
[1971, 1975]	алан шепард	Q174979	Шепард, Алан	P793	ключевое событие	прогулка по Луне	0	0	0	0	1971-02-01
[1971, 1975]	алан шепард	Q174979	Шепард, Алан	P39	занимаемая должность	Chief of the Astronaut Office	0	0	1971-06-01	1974-08-01	0
[2002, 2003]	аландский остров	Q5689	Аландские острова	P38	денежная единица	евро	0	0	2002-01-01	0	0
[1984, 1990]	алатырев в	Q4060534	Алатырев, Василий Иванович	P570	дата смерти	0	0	1984-11-01	0	0	0
[1992, 1993]	алатырский район	Q576137	Алатырский район	P131	административно-территориальная единица	Чувашия	0	0	1992-02-13	0	0
[1925, 1929]	алатырский уезд	Q4060536	Алатырский уезд	P131	административно-территориальная единица	Симбирская губерния	0	0	1796-01-01	1925-01-01	0
[1925, 1929]	алатырский уезд	Q4060536	Алатырский уезд	P576	дата прекращения существования	0	0	1927-09-05	0	0	0
[1925, 1929]	алатырский уезд	Q4060536	Алатырский уезд	P131	административно-территориальная единица	Чувашская АССР	0	0	1925-01-01	1927-09-05	0
[1946, 1950]	албания народный	Q467864	Народная Социалистическая Республика Албания	P571	дата основания/создания/возникновения	0	0	1946-01-11	0	0	0
[1946, 1954]	албанский народный	Q467864	Народная Социалистическая Республика Албания	P571	дата основания/создания/возникновения	0	0	1946-01-11	0	0	0
[1985, 1987]	албанский партия	Q161395	Албанская партия труда	P488	руководитель	Энвер Ходжа	0	0	1941-01-01	1985-01-01	0
[1985, 1987]	албанский партия	Q161395	Албанская партия труда	P488	руководитель	Рамиз Алия	0	0	1985-01-01	1991-01-01	0
[1946, 1951]	албанский республика	Q467864	Народная Социалистическая Республика Албания	P571	дата основания/создания/возникновения	0	0	1946-01-11	0	0	0
[1977, 1978]	алва эдисон	Q8743	Томас Алва Эдисон	P166	полученные награды	премия попечительского совета «Грэмми»	0	0	0	0	1977-01-01
[2006, 2009]	алва эдисон	Q8743	Томас Алва Эдисон	P166	полученные награды	Зал славы Нью-Джерси	0	0	0	0	2008-01-01
[1969, 1971]	алвар аалто	Q82840	Алвар Аалто	P166	полученные награды	орден Pour le Mérite в области искусств и науки	0	0	0	0	1969-01-01
[1927, 1929]	алгебраический форма	Q4370006	полином Жегалкина	P577	дата публикации	0	0	1927-01-01	0	0	0
[1961, 1972]	алгоритм поиск	Q277680	Алгоритм поиска A*	P577	дата публикации	0	0	1968-01-01	0	0	0
[1956, 1959]	алданов м	Q932891	Марк Александрович Алданов	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1957-01-01
[1956, 1959]	алданов м	Q932891	Марк Александрович Алданов	P570	дата смерти	0	0	1957-02-25	0	0	0
[1956, 1959]	алданов м	Q932891	Марк Александрович Алданов	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1956-01-01
[1963, 1964]	алевтина алексеевна	Q38706982	Артамонова Алевтина Алексеевна	P569	дата рождения	0	0	1963-05-12	0	0	0
[1963, 1964]	алевтина павловна	Q260476	Колчина, Алевтина Павловна	P166	полученные награды	медаль Хольменколлена	0	0	0	0	1963-01-01
[2003, 2004]	алек болдуин	Q170572	Алек Болдуин	P1411	номинирован на	премия «Оскар» за лучшую мужскую роль второго плана	0	0	0	0	2003-01-01
[1992, 1998]	алек болдуин	Q170572	Алек Болдуин	P1411	номинирован на	премия «Тони» за лучшую мужскую роль в пьесе	0	0	0	0	1992-01-01
[1956, 1958]	алек гиннесса	Q103894	Алек Гиннесс	P166	полученные награды	премия «Золотой глобус» за лучшую мужскую роль — драма	0	0	0	0	1957-01-01
[1994, 1997]	алек гиннесса	Q103894	Алек Гиннесс	P166	полученные награды	European Film Awards/За творчество в целом	0	0	0	0	1996-01-01
