Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1976, 1979]	а марков	Q502674	Марков, Андрей Викторович	P569	дата рождения	0	0	1978-12-20	0	0	0
[1995, 2002]	а масхадов	Q193354	Аслан Алиевич Масхадов	P39	занимаемая должность	президент Чеченской Республики Ичкерия	0	0	1997-02-12	2005-03-08	0
[1986, 1990]	а матвеев	Q1985995	Матвеев, Юрий Александрович	P54	член спортивной команды	Урал	0	0	1988-01-01	1989-01-01	0
[1986, 1990]	а матвеев	Q1985995	Матвеев, Юрий Александрович	P54	член спортивной команды	Уралец НТ	0	0	1984-01-01	1987-01-01	0
[1994, 1999]	а матвеев	Q1985995	Матвеев, Юрий Александрович	P54	член спортивной команды	Сувон Самсунг Блууингс	0	0	1996-01-01	1997-01-01	0
[1994, 1999]	а матвеев	Q1985995	Матвеев, Юрий Александрович	P54	член спортивной команды	ЦСКА	0	0	1996-01-01	1996-01-01	0
[1980, 1983]	а матвеев	Q500404	Максим Александрович Матвеев	P569	дата рождения	0	0	1982-07-28	0	0	0
[1994, 1999]	а матвеев	Q1985995	Матвеев, Юрий Александрович	P54	член спортивной команды	Ростов	0	0	1998-01-01	2000-01-01	0
[1994, 1999]	а матвеев	Q1985995	Матвеев, Юрий Александрович	P54	член спортивной команды	Урал	0	0	1994-01-01	1995-01-01	0
[1994, 1999]	а матвеев	Q1985995	Матвеев, Юрий Александрович	P54	член спортивной команды	Анкарагюджю	0	0	1993-01-01	1994-01-01	0
[2000, 2001]	а медведев	Q951448	Медведев, Алексей Сергеевич	P54	член спортивной команды	Сатурн	0	0	1999-01-01	2000-01-01	0
[1984, 1988]	а медведев	Q23530	Дмитрий Анатольевич Медведев	P69	учебное заведение	юридический факультет СПбГУ	0	0	1982-01-01	1987-01-01	0
[2000, 2001]	а медведев	Q951448	Медведев, Алексей Сергеевич	P54	член спортивной команды	Динамо (Москва)	0	0	2000-01-01	2001-01-01	0
[2006, 2008]	а медведев	Q951448	Медведев, Алексей Сергеевич	P54	член спортивной команды	Крылья Советов	0	0	2006-01-01	2007-01-01	0
[2000, 2001]	а медведев	Q951448	Медведев, Алексей Сергеевич	P54	член спортивной команды	Динамо (Москва)	0	0	2000-01-01	2000-01-01	0
[1986, 1997]	а мельников	Q3494196	Мельников, Андрей Александрович	P570	дата смерти	0	0	1988-01-08	0	0	0
[1987, 1992]	а мень	Q712471	Александр Владимирович Мень	P570	дата смерти	0	0	1990-09-09	0	0	0
[1973, 1974]	а миллер	Q4293476	Миллер, Анатолий Филиппович	P570	дата смерти	0	0	1973-10-03	0	0	0
[1946, 1949]	а михайлов	Q4297352	Михайлов, Иван Адрианович	P570	дата смерти	0	0	1946-08-30	0	0	0
[1988, 1999]	а михайлов	Q4297291	Михайлов, Александр Викторович	P570	дата смерти	0	0	1995-09-18	0	0	0
[2006, 2007]	а мороз	Q561122	Александр Александрович Мороз	P39	занимаемая должность	председатель Верховной Рады Украины	0	0	2006-07-06	2007-12-04	0
