Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1990, 2000]	а панов	Q2309946	Панов, Александр Владимирович	P54	член спортивной команды	Зенит	0	0	1997-01-01	2000-01-01	0
[1990, 2000]	а панов	Q2309946	Панов, Александр Владимирович	P54	член спортивной команды	Зенит	0	0	1994-01-01	1994-01-01	0
[1990, 2000]	а панов	Q2309946	Панов, Александр Владимирович	P54	член спортивной команды	Динамо	0	0	1995-01-01	1995-01-01	0
[1990, 2000]	а панов	Q2309946	Панов, Александр Владимирович	P54	член спортивной команды	сборная России по футболу	0	0	1998-01-01	2004-01-01	0
[1990, 2000]	а панов	Q2309946	Панов, Александр Владимирович	P54	член спортивной команды	Зенит-2 (футбольный клуб)	0	0	1993-01-01	1993-01-01	0
[1995, 1997]	а панченко	Q4344457	Панченко, Александр Михайлович	P166	полученные награды	Государственная премия Российской Федерации	0	0	0	0	1996-01-01
[1980, 1981]	а панченко	Q4344460	Панченко, Александр Николаевич	P2962	шахматный титул	гроссмейстер	0	0	1980-01-01	0	0
[1981, 1985]	а пархоменко	Q2836414	Пархоменко, Александр Александрович	P569	дата рождения	0	0	1981-03-22	0	0	0
[1980, 1984]	а петров	Q42343140	Андю Петрянь	P569	дата рождения	0	0	1980-01-18	0	0	0
[1989, 1998]	а петров	Q502390	Андрей Павлович Петров	P166	полученные награды	Государственная премия Российской Федерации	0	0	0	0	1995-01-01
[1986, 1987]	а платонов	Q274970	Платонова, Анастасия Александровна	P569	дата рождения	0	0	1986-08-28	0	0	0
[2005, 2007]	а поляков	Q1840934	Алексей Николаевич Поляков	P54	член спортивной команды	Локомотив	0	0	2005-01-01	2009-01-01	0
[1971, 1975]	а поляков	Q1840934	Алексей Николаевич Поляков	P569	дата рождения	0	0	1974-02-28	0	0	0
[1992, 1999]	а поляков	Q1840934	Алексей Николаевич Поляков	P54	член спортивной команды	Салют	0	0	1993-01-01	1994-01-01	0
[1992, 1999]	а поляков	Q1840934	Алексей Николаевич Поляков	P54	член спортивной команды	Локомотив-2	0	0	1995-01-01	1997-01-01	0
[1992, 1999]	а поляков	Q1840934	Алексей Николаевич Поляков	P54	член спортивной команды	Нефтехимик	0	0	1998-01-01	1998-01-01	0
[1965, 1976]	а попов	Q4372396	Попов, Андрей Юрьевич	P569	дата рождения	0	0	1973-01-28	0	0	0
[1972, 1973]	а прохоров	Q83552	Александр Михайлович Прохоров	P463	участник организации или клуба	Американская академия искусств и наук	0	0	1972-01-01	0	0
[1992, 1998]	а прохоров	Q83552	Александр Михайлович Прохоров	P166	полученные награды	орден «За заслуги перед Отечеством» II степени	0	0	0	0	1996-06-07
[1992, 1998]	а пугачева	Q80510	Алла Борисовна Пугачёва	P166	полученные награды	Государственная премия Российской Федерации	0	0	0	0	1995-05-29
[1938, 1941]	апанасенко и	Q2443079	Иосиф Родионович Апанасенко	P166	полученные награды	юбилейная медаль «XX лет Рабоче-Крестьянской Красной Армии»	0	0	0	0	1938-01-01
[1938, 1941]	апанасенко и	Q2443079	Иосиф Родионович Апанасенко	P598	командовал	Туркестанский военный округ	0	0	0	0	1938-01-01
[1964, 1970]	апаранский водохранилище	Q1965391	Апаранское водохранилище	P729	дата принятия в эксплуатацию	0	0	1967-01-01	0	0	0
[1969, 1980]	апгар в	Q463891	Вирджиния Апгар	P570	дата смерти	0	0	1974-08-07	0	0	0
[1944, 1948]	апн рсфср	Q4347822	Педагогика (издательство)	P571	дата основания/создания/возникновения	0	0	1945-01-01	0	0	0
[1992, 2007]	апн украина	Q3734241	Национальная академия педагогических наук Украины	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
[1978, 1984]	апокалипсис наш	Q182692	Апокалипсис сегодня	P577	дата публикации	0	0	1979-05-10	0	0	0
[1978, 1984]	апокалипсис наш	Q182692	Апокалипсис сегодня	P166	полученные награды	Золотая пальмовая ветвь	0	0	0	0	1979-01-01
[2000, 2004]	апокалипсис наш	Q182692	Апокалипсис сегодня	P166	полученные награды	Национальный реестр фильмов США	0	0	0	0	2000-01-01
[1978, 1984]	апокалипсис наш	Q182692	Апокалипсис сегодня	P577	дата публикации	0	0	1979-10-04	0	0	0
[1978, 1985]	апокалипсис сегодня	Q182692	Апокалипсис сегодня	P166	полученные награды	Золотая пальмовая ветвь	0	0	0	0	1979-01-01
[1978, 1985]	апокалипсис сегодня	Q182692	Апокалипсис сегодня	P577	дата публикации	0	0	1979-10-04	0	0	0
[1978, 1985]	апокалипсис сегодня	Q182692	Апокалипсис сегодня	P577	дата публикации	0	0	1979-05-10	0	0	0
[1981, 1988]	аполлинариевич герасимов	Q277356	Сергей Аполлинариевич Герасимов	P570	дата смерти	0	0	1985-11-26	0	0	0
[1969, 1973]	аполлинарий иванович	Q4170241	Дудко, Аполлинарий Иванович	P570	дата смерти	0	0	1971-01-02	0	0	0
[1949, 1951]	аполлон александрович	Q16686079	Петров, Аполлон Александрович	P570	дата смерти	0	0	1949-01-11	0	0	0
[1936, 1938]	аполлон коринфский	Q4233092	Коринфский, Аполлон Аполлонович	P570	дата смерти	0	0	1937-01-12	0	0	0
[2002, 2007]	аполлон кузьмин	Q4245332	Кузьмин, Аполлон Григорьевич	P570	дата смерти	0	0	2004-05-09	0	0	0
[1981, 1997]	апостол любовь	Q4148833	Грешные апостолы любви	P577	дата публикации	0	0	1995-01-01	0	0	0
[1931, 1932]	апостол петр	Q2509421	Собор Апостола Петра	P1435	статус наследия	объект культурного наследия Испании	0	0	1931-06-03	0	0
[1991, 1997]	апостольский престол	Q159583	Святой Престол	P530	дипломатические отношения	Израиль	0	0	1994-06-15	0	0
[1986, 2000]	аппарат правительство	Q4068147	Аппарат Правительства Российской Федерации	P571	дата основания/создания/возникновения	0	0	1991-11-06	0	0	0
[1989, 1999]	аппарат президент	Q2060629	Администрация президента России	P571	дата основания/создания/возникновения	0	0	1991-07-19	0	0	0
[1991, 2000]	аппарат россия	Q4068147	Аппарат Правительства Российской Федерации	P571	дата основания/создания/возникновения	0	0	1991-11-06	0	0	0
[1991, 2000]	аппарат россия	Q2060629	Администрация президента России	P571	дата основания/создания/возникновения	0	0	1991-07-19	0	0	0
[1997, 2004]	апрелевский завод	Q4068217	Апрелевский завод грампластинок «Метрополь-Рекорд»	P576	дата прекращения существования	0	0	2002-01-01	0	0	0
[2007, 2009]	апрель год	Q236322	Апрель 2008 года	P585	момент времени	0	0	2008-04-01	0	0	0
[2007, 2009]	апрель год	Q235743	Апрель 2007 года	P585	момент времени	0	0	2007-04-01	0	0	0
[1983, 1986]	апрель новый	Q4322425	Новая луна апреля	P577	дата публикации	0	0	1985-05-01	0	0	0
[1973, 1984]	апрельский революция	Q1341539	Апрельская революция	P580	дата начала	0	0	1978-04-27	0	0	0
[1959, 1961]	апрельский революция	Q489416	Апрельская революция в Корее	P585	момент времени	0	0	1960-04-19	0	0	0
[1973, 1984]	апрельский революция	Q1341539	Апрельская революция	P582	дата окончания	0	0	1978-04-28	0	0	0
[2003, 2006]	апшеронский район	Q4187305	Заречный	P131	административно-территориальная единица	Кубанское сельское поселение	0	0	2005-01-01	0	0
[2003, 2006]	апшеронский район	Q4126942	Вперёд	P131	административно-территориальная единица	Кубанское сельское поселение	0	0	2005-01-01	0	0
[1990, 1991]	япон и	Q94347	«Япон» и японец	P577	дата публикации	0	0	1990-01-01	0	0	0
[1934, 1938]	япония война	Q170314	Японо-китайская война	P580	дата начала	0	0	1937-07-07	0	0	0
[1949, 1955]	япония сила	Q275488	Силы самообороны Японии	P571	дата основания/создания/возникновения	0	0	1954-01-01	0	0	0
[1949, 1955]	япония сила	Q731647	Морские силы самообороны Японии	P571	дата основания/создания/возникновения	0	0	1952-01-01	0	0	0
[1949, 1955]	япония сила	Q830305	Воздушные силы самообороны Японии	P571	дата основания/создания/возникновения	0	0	1954-07-01	0	0	0
[1943, 1947]	японский императорский	Q219712	Императорский флот Японии	P576	дата прекращения существования	0	0	1945-01-01	0	0	0
[1943, 1947]	японский императорский	Q276535	Императорская армия Японии	P576	дата прекращения существования	0	0	1945-01-01	0	0	0
[1931, 1938]	японский империя	Q188712	Японская империя	P47	имеет границы с	Маньчжоу-го	0	0	1932-01-01	0	0
[1996, 1998]	японский красный	Q333954	Красная армия Японии	P3461	признаётся террористической организацией по версии	США	0	0	1997-10-08	2001-10-08	0
[1968, 1971]	японский николай	Q220115	Николай Японский	P411	статус канонизации	равноапостольный	0	0	1970-04-10	0	0
[1942, 1946]	японский оккупационный	Q3973267	японский оккупационный фунт	P580	дата начала	0	0	1942-01-01	0	0	0
[1942, 1946]	японский оккупационный	Q3973267	японский оккупационный фунт	P582	дата окончания	0	0	1945-01-01	0	0	0
[1945, 1946]	японский оккупация	Q715645	Японская оккупация Сингапура	P576	дата прекращения существования	0	0	1945-01-01	0	0	0
[1942, 1943]	японский оккупация	Q715645	Японская оккупация Сингапура	P571	дата основания/создания/возникновения	0	0	1942-01-01	0	0	0
[1945, 1946]	японский оккупация	Q170314	Японо-китайская война	P582	дата окончания	0	0	1945-09-09	0	0	0
[1994, 1996]	японский партия	Q60169	Японская партия обновления	P576	дата прекращения существования	0	0	1994-12-10	0	0	0
[1945, 1947]	японский правительство	Q3973267	японский оккупационный фунт	P582	дата окончания	0	0	1945-01-01	0	0	0
[1985, 1994]	японский сад	Q3004879	Японский сад	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
