Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1993, 1994]	а румянцев	Q2516728	Румянцев, Алексей Матвеевич	P570	дата смерти	0	0	1993-12-01	0	0	0
[1962, 1963]	а рыбаков	Q4401399	Рыбаков, Анатолий Михайлович	P570	дата смерти	0	0	1962-03-29	0	0	0
[1998, 1999]	а рыбаков	Q434926	Рыбаков Анатолий Наумович	P570	дата смерти	0	0	1998-12-23	0	0	0
[1966, 1968]	а рыбников	Q195773	Алексей Львович Рыбников	P69	учебное заведение	Московская консерватория	0	0	1962-01-01	1967-01-01	0
[2008, 2009]	а рязанов	Q381944	Эльдар Александрович Рязанов	P166	полученные награды	орден «За заслуги перед Отечеством» II степени	0	0	0	0	2008-01-01
[1995, 1999]	а рязанов	Q381944	Эльдар Александрович Рязанов	P166	полученные награды	орден «За заслуги перед Отечеством» III степени	0	0	0	0	1996-06-20
[1976, 1977]	арабский государство	Q219060	Государство Палестина	P463	участник организации или клуба	Лига арабских государств	0	0	1976-09-09	0	0
[1956, 1960]	арабский египет	Q79	Египет	P463	участник организации или клуба	Международная финансовая корпорация	0	0	1956-07-20	0	0
[1956, 1960]	арабский египет	Q79	Египет	P1365	заменил	Всепалестинское правительство	0	0	1959-01-01	1967-01-01	0
[2005, 2006]	арабский египет	Q79	Египет	P463	участник организации или клуба	Group on Earth Observations	0	0	2005-02-01	0	0
[1956, 1960]	арабский египет	Q79	Египет	P530	дипломатические отношения	Германия	0	0	1957-12-01	0	0
[1974, 1975]	арабский исламский	Q623944	Арабская Исламская Республика	P571	дата основания/создания/возникновения	0	0	1974-01-01	0	0	0
[1974, 1975]	арабский исламский	Q623944	Арабская Исламская Республика	P576	дата прекращения существования	0	0	1974-01-01	0	0	0
[1936, 1937]	арабский комитет	Q624339	Верховный арабский комитет	P571	дата основания/создания/возникновения	0	0	1936-04-25	0	0	0
[1957, 1962]	арабский объединять	Q170468	Объединённая Арабская Республика	P571	дата основания/создания/возникновения	0	0	1958-01-01	0	0	0
[1957, 1962]	арабский объединять	Q170468	Объединённая Арабская Республика	P576	дата прекращения существования	0	0	1961-01-01	0	0	0
[1955, 1962]	арабский республика	Q170468	Объединённая Арабская Республика	P571	дата основания/создания/возникновения	0	0	1958-01-01	0	0	0
[1955, 1962]	арабский республика	Q170468	Объединённая Арабская Республика	P576	дата прекращения существования	0	0	1961-01-01	0	0	0
[1964, 1965]	арабский республика	Q79	Египет	P463	участник организации или клуба	Африканский банк развития	0	0	1964-09-10	0	0
[1988, 1989]	арабский республика	Q79	Египет	P463	участник организации или клуба	Многостороннее агентство по гарантиям инвестиций	0	0	1988-04-12	0	0
[1999, 2009]	арабский республика	Q79	Египет	P463	участник организации или клуба	Африканский союз	0	0	2002-07-09	0	0
[1955, 1962]	арабский республика	Q79	Египет	P463	участник организации или клуба	Международная ассоциация развития	0	0	1960-10-26	0	0
[1999, 2009]	арабский республика	Q858	Сирия	P35	глава государства	Башар Асад	0	0	2000-07-17	0	0
[1999, 2009]	арабский республика	Q858	Сирия	P463	участник организации или клуба	Международный центр по урегулированию инвестиционных споров	0	0	2006-02-24	0	0
[1946, 1950]	арабский республика	Q858	Сирия	P463	участник организации или клуба	ЮНЕСКО	0	0	1946-11-16	0	0
[1946, 1950]	арабский республика	Q858	Сирия	P463	участник организации или клуба	Международный банк реконструкции и развития	0	0	1947-04-10	0	0
[1999, 2009]	арабский республика	Q79	Египет	P463	участник организации или клуба	ЮНАМИД	0	0	2007-07-31	0	0
[1955, 1962]	арабский республика	Q79	Египет	P530	дипломатические отношения	Германия	0	0	1957-12-01	0	0
[1955, 1962]	арабский республика	Q79	Египет	P463	участник организации или клуба	Международная финансовая корпорация	0	0	1956-07-20	0	0
[1946, 1950]	арабский республика	Q79	Египет	P47	имеет границы с	Израиль	0	0	1948-05-14	0	0
[1999, 2009]	арабский республика	Q79	Египет	P463	участник организации или клуба	Group on Earth Observations	0	0	2005-02-01	0	0
[1999, 2009]	арабский республика	Q858	Сирия	P463	участник организации или клуба	Многостороннее агентство по гарантиям инвестиций	0	0	2002-05-14	0	0
[1967, 1968]	арабский республика	Q79	Египет	P1365	заменил	Всепалестинское правительство	0	0	1959-01-01	1967-01-01	0
[1946, 1950]	арабский республика	Q79	Египет	P463	участник организации или клуба	ЮНЕСКО	0	0	1947-01-22	0	0
[1961, 1965]	арабский союз	Q624111	Арабский социалистический союз	P571	дата основания/создания/возникновения	0	0	1962-01-01	0	0	0
[1988, 1989]	арабский союз	Q370862	Союз арабского Магриба	P571	дата основания/создания/возникновения	0	0	1988-01-01	0	0	0
[1975, 1977]	арабский территория	Q219060	Государство Палестина	P463	участник организации или клуба	Лига арабских государств	0	0	1976-09-09	0	0
[1957, 1961]	арабский федерация	Q146713	Арабская Федерация	P571	дата основания/создания/возникновения	0	0	1958-01-01	0	0	0
[1957, 1961]	арабский федерация	Q146713	Арабская Федерация	P576	дата прекращения существования	0	0	1958-01-01	0	0	0
[1968, 1982]	арабский эмират	Q878	Объединённые Арабские Эмираты	P463	участник организации или клуба	Международный банк реконструкции и развития	0	0	1972-09-22	0	0
[1968, 1982]	арабский эмират	Q878	Объединённые Арабские Эмираты	P463	участник организации или клуба	Международная финансовая корпорация	0	0	1977-09-30	0	0
[1993, 2009]	арабский эмират	Q878	Объединённые Арабские Эмираты	P463	участник организации или клуба	Многостороннее агентство по гарантиям инвестиций	0	0	1993-10-20	0	0
[1968, 1982]	арабский эмират	Q878	Объединённые Арабские Эмираты	P463	участник организации или клуба	Организация Объединённых Наций	0	0	1971-12-09	0	0
[1968, 1982]	арабский эмират	Q878	Объединённые Арабские Эмираты	P463	участник организации или клуба	ЮНЕСКО	0	0	1972-04-20	0	0
[1968, 1982]	арабский эмират	Q878	Объединённые Арабские Эмираты	P463	участник организации или клуба	Лига арабских государств	0	0	1971-12-06	0	0
[1968, 1982]	арабский эмират	Q878	Объединённые Арабские Эмираты	P463	участник организации или клуба	Международный союз электросвязи	0	0	1972-06-27	0	0
[1968, 1982]	арабский эмират	Q878	Объединённые Арабские Эмираты	P571	дата основания/создания/возникновения	0	0	1971-01-01	0	0	0
[1968, 1982]	арабский эмират	Q878	Объединённые Арабские Эмираты	P530	дипломатические отношения	Германия	0	0	1972-05-01	0	0
[1968, 1982]	арабский эмират	Q878	Объединённые Арабские Эмираты	P463	участник организации или клуба	Международная ассоциация развития	0	0	1981-12-23	0	0
[1952, 1956]	аравия саудовский	Q2575731	Коммунистическая партия Саудовской Аравии	P571	дата основания/создания/возникновения	0	0	1954-09-23	0	0	0
[1952, 1956]	аравия саудовский	Q285381	Служба общей разведки	P571	дата основания/создания/возникновения	0	0	1955-01-01	0	0	0
[1959, 1960]	арагон луи	Q4128	Луи Арагон	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1959-01-01
[1963, 1964]	арагон луи	Q4128	Луи Арагон	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1963-01-01
[1981, 1983]	арагон луи	Q4128	Луи Арагон	P570	дата смерти	0	0	1982-12-24	0	0	0
[1969, 1971]	арал и	Q2636506	Семён Иванович Аралов	P570	дата смерти	0	0	1969-05-22	0	0	0
[1998, 1999]	арам григорьевич	Q14529124	Катанян, Арам Григорьевич	P570	дата смерти	0	0	1998-01-01	0	0	0
[1976, 1980]	арам григорян	Q7689040	Григорян, Арам Арамаисович	P569	дата рождения	0	0	1977-09-27	0	0	0
[1972, 1979]	арам ильич	Q152293	Арам Хачатурян	P166	полученные награды	Герой Социалистического Труда	0	0	0	0	1973-06-05
[1972, 1979]	арам ильич	Q152293	Арам Хачатурян	P570	дата смерти	0	0	1978-05-01	0	0	0
[1972, 1979]	арам ильич	Q152293	Арам Хачатурян	P166	полученные награды	медаль «Серп и Молот»	0	0	0	0	1973-06-05
[1953, 1957]	арам ильич	Q152293	Арам Хачатурян	P166	полученные награды	Народный артист Армянской ССР	0	0	0	0	1955-01-01
[1972, 1979]	арам ильич	Q152293	Арам Хачатурян	P166	полученные награды	орден Ленина	0	0	0	0	1973-06-05
[1972, 1979]	арам ильич	Q152293	Арам Хачатурян	P166	полученные награды	Народный артист Азербайджанской ССР	0	0	0	0	1973-01-01
[1963, 1967]	арам ильич	Q152293	Арам Хачатурян	P166	полученные награды	орден Трудового Красного Знамени	0	0	0	0	1966-10-14
[1972, 1979]	арам ильич	Q152293	Арам Хачатурян	P166	полученные награды	командор ордена Искусств и литературы	0	0	0	0	1974-01-01
[1963, 1967]	арам ильич	Q152293	Арам Хачатурян	P166	полученные награды	Народный артист Грузинской ССР	0	0	0	0	1963-01-01
[1963, 1967]	арам ильич	Q152293	Арам Хачатурян	P166	полученные награды	орден Ленина	0	0	0	0	1963-06-05
