Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
2000	а савельев	Q4403798	Савельев, Владимир Аркадьевич	P570	дата смерти	0	0	1998-01-01	0	0	0
[1977, 1978]	а садат	Q42013	Анвар Садат	P166	полученные награды	цепь ордена Изабеллы Католички	0	0	0	0	1977-01-01
1980	а свешников	Q2833219	Свешников, Александр Васильевич	P570	дата смерти	0	0	1980-01-03	0	0	0
[1996, 1998]	а сено	Q132489	Сен, Амартия	P166	полученные награды	Международная премия Каталонии	0	0	0	0	1997-01-01
1996	а сено	Q132489	Сен, Амартия	P166	полученные награды	почётный доктор Университета Валенсии	0	0	0	0	1994-01-01
1994	а серов	Q464719	Иван Александрович Серов	P166	полученные награды	орден Суворова I степени	0	0	0	0	1944-03-08
1994	а серов	Q464719	Иван Александрович Серов	P166	полученные награды	орден Красного Знамени	0	0	0	0	1944-11-03
1994	а серов	Q464719	Иван Александрович Серов	P166	полученные награды	медаль «За оборону Кавказа»	0	0	0	0	1944-08-10
1994	а серов	Q464719	Иван Александрович Серов	P166	полученные награды	орден Красного Знамени	0	0	0	0	1944-07-07
[1985, 1986]	а серов	Q464719	Иван Александрович Серов	P166	полученные награды	юбилейная медаль «Сорок лет Победы в Великой Отечественной войне 1941—1945 гг.»	0	0	0	0	1985-01-01
[1958, 1960]	а серов	Q464719	Иван Александрович Серов	P166	полученные награды	орден «За заслуги перед Отечеством» в золоте	0	0	0	0	1959-05-08
[1958, 1960]	а серов	Q464719	Иван Александрович Серов	P166	полученные награды	юбилейная медаль «40 лет Вооружённых Сил СССР»	0	0	0	0	1958-01-01
1994	а серов	Q464719	Иван Александрович Серов	P166	полученные награды	медаль «За оборону Москвы»	0	0	0	0	1944-07-04
[1968, 1973]	а сидоров	Q4418820	Сидоров, Алексей Леонидович	P569	дата рождения	0	0	1968-08-22	0	0	0
1998	а синявский	Q468267	Андрей Донатович Синявский	P570	дата смерти	0	0	1997-02-25	0	0	0
[1977, 1980]	а смирнов	Q1366549	Алексей Макарович Смирнов	P570	дата смерти	0	0	1979-05-07	0	0	0
1993	а смирнов	Q4424796	Дуня Смирнова	P2031	начало периода активности	0	0	1992-01-01	0	0	0
1996	а смирнов	Q1366549	Алексей Макарович Смирнов	P2031	начало периода активности	0	0	1946-01-01	0	0	0
[1949, 1950]	а соколов	Q1974734	Соколов, Александр Сергеевич	P569	дата рождения	0	0	1949-08-08	0	0	0
1994	а солженицын	Q34474	Александр Исаевич Солженицын	P410	воинское звание	капитан	0	0	0	0	1944-05-07
2009	а солженицын	Q34474	Александр Исаевич Солженицын	P570	дата смерти	0	0	2008-08-03	0	0	0
2009	а солженицын	Q34474	Александр Исаевич Солженицын	P106	род занятий	писатель	0	0	1959-01-01	0	0
1995	а солженицын	Q34474	Александр Исаевич Солженицын	P793	ключевое событие	заключение под стражу	0	0	1945-02-02	1953-02-13	0
1994	а солженицын	Q34474	Александр Исаевич Солженицын	P166	полученные награды	орден Красной Звезды	0	0	0	0	1944-07-08
[1989, 2001]	а соловьев	Q535172	Владимир Алексеевич Соловьёв	P166	полученные награды	Государственная премия Российской Федерации	0	0	0	0	1999-01-01
[1982, 1984]	а соловьев	Q535172	Владимир Алексеевич Соловьёв	P166	полученные награды	кавалер ордена Почётного легиона	0	0	0	0	1982-01-01
[1989, 2001]	а соловьев	Q4428003	Соловьёв, Андрей Борисович	P570	дата смерти	0	0	1993-09-27	0	0	0
1996	а соловьев	Q535172	Владимир Алексеевич Соловьёв	P166	полученные награды	орден Почёта	0	0	0	0	1996-08-26
1996	а соловьев	Q535172	Владимир Алексеевич Соловьёв	P569	дата рождения	0	0	1946-11-11	0	0	0
1992	а софрон	Q488099	Софронов, Анатолий Владимирович	P570	дата смерти	0	0	1990-09-09	0	0	0
[1989, 2000]	а столыпин	Q284385	Столыпин, Аркадий Петрович	P570	дата смерти	0	0	1990-12-11	0	0	0
[1991, 1992]	а стругацкий	Q61699	Аркадий Натанович Стругацкий	P570	дата смерти	0	0	1991-10-12	0	0	0
[1991, 1992]	а стругацкий	Q61699	Аркадий Натанович Стругацкий	P2032	окончание периода активности	0	0	1991-01-01	0	0	0
1984	а сурков	Q1048480	Сурков, Алексей Александрович	P570	дата смерти	0	0	1983-06-14	0	0	0
2001	а шарон	Q60206	Ариель Шарон	P39	занимаемая должность	министр иностранных дел Израиля	0	0	1998-10-13	1999-06-06	0
2004	а шарон	Q60206	Ариель Шарон	P39	занимаемая должность	министр здравоохранения Израиля	0	0	2002-05-23	2002-06-03	0
2001	а шарон	Q60206	Ариель Шарон	P39	занимаемая должность	премьер-министр Израиля	0	0	2001-03-07	2006-04-14	0
2001	а шарон	Q60206	Ариель Шарон	P39	занимаемая должность	Израильский министр национальной инфраструктуры, энергии и воды	0	0	1996-07-08	1999-07-06	0
2004	а шарон	Q60206	Ариель Шарон	P39	занимаемая должность	министр связи Израиля	0	0	2003-02-28	2003-08-17	0
1995	а шевченко	Q41244	Андрей Николаевич Шевченко	P54	член спортивной команды	сборная Украины по футболу	0	0	1995-01-01	2012-01-01	0
1994	а шевченко	Q41244	Андрей Николаевич Шевченко	P54	член спортивной команды	юношеская сборная Украины по футболу	0	0	1994-01-01	1995-01-01	0
1994	а шевченко	Q41244	Андрей Николаевич Шевченко	P54	член спортивной команды	Динамо	0	0	1994-01-01	1999-01-01	0
1994	а шевченко	Q41244	Андрей Николаевич Шевченко	P54	член спортивной команды	молодёжная сборная Украины по футболу	0	0	1994-01-01	1995-01-01	0
1995	а шнитке	Q158078	Альфред Гарриевич Шнитке	P166	полученные награды	Государственная премия Российской Федерации	0	0	0	0	1995-01-01
[1985, 1996]	а шнитке	Q158078	Альфред Гарриевич Шнитке	P166	полученные награды	Императорская премия	0	0	0	0	1992-01-01
[1985, 1996]	а шнитке	Q158078	Альфред Гарриевич Шнитке	P166	полученные награды	государственная премия РСФСР имени Н. К. Крупской	0	0	0	0	1986-01-01
[1985, 1996]	а шнитке	Q158078	Альфред Гарриевич Шнитке	P166	полученные награды	Гамбургская премия имени Баха	0	0	0	0	1992-01-01
1944	а щербаков	Q4528830	Щербаков, Иван Александрович	P569	дата рождения	0	0	1944-04-11	0	0	0
1965	асад б	Q44329	Башар Асад	P569	дата рождения	0	0	1965-09-11	0	0	0
[2000, 2004]	асад б	Q44329	Башар Асад	P166	полученные награды	орден князя Ярослава Мудрого I степени	0	0	0	0	2002-04-21
[2000, 2004]	асад б	Q44329	Башар Асад	P166	полученные награды	кавалер Большого креста ордена Почётного легиона	0	0	0	0	2001-06-25
[2000, 2004]	асад б	Q44329	Башар Асад	P39	занимаемая должность	Список президентов Сирии	0	0	2000-07-17	0	0
[2004, 2006]	асадов а	Q1287921	Эдуард Аркадьевич Асадов	P570	дата смерти	0	0	2004-04-21	0	0	0
[2004, 2005]	асадов э	Q1287921	Эдуард Аркадьевич Асадов	P570	дата смерти	0	0	2004-04-21	0	0	0
[1990, 1994]	асаф михайлович	Q2472305	Мессерер, Асаф Михайлович	P570	дата смерти	0	0	1992-03-07	0	0	0
[1949, 1952]	асафьев б	Q325032	Борис Владимирович Асафьев	P570	дата смерти	0	0	1949-01-27	0	0	0
1999	асафьев борис	Q325032	Борис Владимирович Асафьев	P570	дата смерти	0	0	1949-01-27	0	0	0
1951	асафьев в	Q325032	Борис Владимирович Асафьев	P570	дата смерти	0	0	1949-01-27	0	0	0
1984	асафьев в	Q325032	Борис Владимирович Асафьев	P569	дата рождения	0	0	1884-07-29	0	0	0
1963	асеев н	Q460329	Николай Асеев	P570	дата смерти	0	0	1963-07-16	0	0	0
1963	асеев николай	Q460329	Николай Асеев	P570	дата смерти	0	0	1963-07-16	0	0	0
1996	асен найденов	Q20968308	Найденов, Асен	P570	дата смерти	0	0	1995-09-10	0	0	0
1939	асинхронный электрический	Q207450	Асинхронная машина	P580	дата начала	0	0	1889-01-01	0	0	0
2005	аскар акаев	Q489893	Аскар Акаевич Акаев	P39	занимаемая должность	Список президентав Кергизыйи	0	0	1990-10-27	2005-03-24	0
[1991, 2006]	аскар акаев	Q489893	Аскар Акаевич Акаев	P166	полученные награды	honorary doctor of the Peking University	0	0	0	0	2002-01-01
2003	аскар акаевич	Q489893	Аскар Акаевич Акаев	P166	полученные награды	honorary doctor of the Peking University	0	0	0	0	2002-01-01
[1989, 2000]	аскар акаевич	Q489893	Аскар Акаевич Акаев	P39	занимаемая должность	Список президентав Кергизыйи	0	0	1990-10-27	2005-03-24	0
[1992, 1997]	аскизский район	Q779443	Аскизский район	P131	административно-территориальная единица	Хакасия	0	0	1992-05-16	0	0
1998	аскольд александрович	Q15060904	Щепинский, Аскольд Александрович	P570	дата смерти	0	0	1997-05-21	0	0	0
2001	аскольд анатольевич	Q4275343	Аскольд Анатольевич Макаров	P570	дата смерти	0	0	2000-12-25	0	0	0
2000	аскольд макаров	Q4275343	Аскольд Анатольевич Макаров	P570	дата смерти	0	0	2000-12-25	0	0	0
[1994, 2003]	аскольд муров	Q4308137	Муров, Аскольд Фёдорович	P570	дата смерти	0	0	1996-05-07	0	0	0
1999	аслан алиевич	Q193354	Аслан Алиевич Масхадов	P39	занимаемая должность	президент Чеченской Республики Ичкерия	0	0	1997-02-12	2005-03-08	0
1999	аслан масхадов	Q193354	Аслан Алиевич Масхадов	P39	занимаемая должность	президент Чеченской Республики Ичкерия	0	0	1997-02-12	2005-03-08	0
[1960, 1962]	асланов александр	Q20671239	Асланов, Александр Петрович	P570	дата смерти	0	0	1960-07-11	0	0	0
[1988, 1990]	аспект любовь	Q735643	Аспекты любви	P1191	первое исполнение	0	0	1989-04-17	0	0	0
1996	асприн р	Q976059	Роберт Линн Асприн	P569	дата рождения	0	0	1946-06-28	0	0	0
[1981, 1984]	асратович асратян	Q4071417	Асратян, Эзрас Асратович	P570	дата смерти	0	0	1981-04-23	0	0	0
[1981, 1984]	асратович асратян	Q4071417	Асратян, Эзрас Асратович	P570	дата смерти	0	0	1981-04-24	0	0	0
[1976, 1981]	ассамблея республика	Q740564	Парламент Португалии	P571	дата основания/создания/возникновения	0	0	1976-01-01	0	0	0
[1991, 2008]	ассамблея снг	Q4288851	Межпарламентская ассамблея СНГ	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
[1958, 1961]	ассамблея франция	Q193582	Национальное собрание Франции	P571	дата основания/создания/возникновения	0	0	1958-12-09	0	0	0
[2002, 2004]	ассамблея франция	Q193582	Национальное собрание Франции	P488	руководитель	Жан-Луи Дебре	0	0	2002-06-25	2007-03-04	0
[2002, 2004]	ассамблея франция	Q193582	Национальное собрание Франции	P488	руководитель	Raymond Forni	0	0	2000-03-29	2002-06-18	0
[1991, 1996]	ассоциация автономный	Q2867492	Ассоциация автономных астронавтов	P571	дата основания/создания/возникновения	0	0	1995-01-01	0	0	0
[1923, 1926]	ассоциация американский	Q465750	Американская мотоциклетная ассоциация	P571	дата основания/создания/возникновения	0	0	1924-01-01	0	0	0
1944	ассоциация американский	Q466524	Американская психиатрическая ассоциация	P571	дата основания/создания/возникновения	0	0	1844-01-01	0	0	0
[1974, 1978]	ассоциация американский	Q463486	Американская баскетбольная ассоциация	P576	дата прекращения существования	0	0	1976-01-01	0	0	0
[1929, 1931]	ассоциация американский	Q463401	Американская ассоциация учителей физики	P571	дата основания/создания/возникновения	0	0	1930-12-31	0	0	0
1927	ассоциация индия	Q1371252	Олимпийский комитет Индии	P571	дата основания/создания/возникновения	0	0	1927-01-01	0	0	0
1982	ассоциация интеграция	Q607301	Латиноамериканская ассоциация интеграции	P571	дата основания/создания/возникновения	0	0	1980-01-01	0	0	0
[1988, 1990]	ассоциация китайский	Q2867399	Китайская ассоциация вэйци	P488	руководитель	Chen Zude	0	0	1988-01-01	2006-01-01	0
[1980, 1983]	ассоциация китайский	Q2867399	Китайская ассоциация вэйци	P463	участник организации или клуба	Международная федерация го	0	0	1982-01-01	0	0
[1988, 1990]	ассоциация китайский	Q2867399	Китайская ассоциация вэйци	P488	руководитель	Ли Мэнхуа	0	0	1962-01-01	1988-01-01	0
1982	ассоциация латиноамериканский	Q607301	Латиноамериканская ассоциация интеграции	P571	дата основания/создания/возникновения	0	0	1980-01-01	0	0	0
[1943, 1947]	ассоциация международный	Q743239	Международная ассоциация бокса	P571	дата основания/создания/возникновения	0	0	1946-01-01	0	0	0
[1996, 1998]	ассоциация национальный	Q60395893	Национальная финансовая ассоциация	P571	дата основания/создания/возникновения	0	0	1996-01-01	0	0	0
1991	ассоциация независимый	Q4316257	Независимая психиатрическая ассоциация	P571	дата основания/создания/возникновения	0	0	1989-03-01	0	0	0
[1939, 1947]	ассоциация помощь	Q714797	Ассоциация помощи трону	P571	дата основания/создания/возникновения	0	0	1940-10-12	0	0	0
1946	ассоциация помощь	Q714797	Ассоциация помощи трону	P576	дата прекращения существования	0	0	1945-06-13	0	0	0
[1956, 1961]	ассоциация промышленный	Q2277743	Ассоциация промышленного дизайна	P488	руководитель	Ливио Кастильони	0	0	1959-01-01	0	0
[1956, 1961]	ассоциация промышленный	Q2277743	Ассоциация промышленного дизайна	P571	дата основания/создания/возникновения	0	0	1956-01-01	0	0	0
[1991, 1999]	ассоциация россия	Q4071489	Ассоциация мини-футбола России	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
[1993, 2002]	ассоциация туристический	Q20978734	Туристическая ассоциация Украины	P571	дата основания/создания/возникновения	0	0	1998-01-01	0	0	0
[1997, 2005]	ассоциация украина	Q20978734	Туристическая ассоциация Украины	P571	дата основания/создания/возникновения	0	0	1998-01-01	0	0	0
1996	ассоциация финансовый	Q60395893	Национальная финансовая ассоциация	P571	дата основания/создания/возникновения	0	0	1996-01-01	0	0	0
[1967, 1971]	ассошиэйтед пресс	Q40469	Ассошиэйтед Пресс	P166	полученные награды	Worth Bingham Prize	0	0	0	0	1968-01-01
1936	асср башкирский	Q809806	Башкирская Автономная Советская Социалистическая Республика	P47	имеет границы с	Оренбургская область	0	0	1934-12-07	0	0
1936	асср башкирский	Q809806	Башкирская Автономная Советская Социалистическая Республика	P47	имеет границы с	Средневолжский край	0	0	1928-05-14	1934-12-07	0
1936	асср казакский	Q2332797	Казахская Автономная Социалистическая Советская Республика	P576	дата прекращения существования	0	0	1936-12-05	0	0	0
1936	асср казакский	Q2332797	Казахская Автономная Социалистическая Советская Республика	P47	имеет границы с	Средневолжский край	0	0	1928-05-14	1936-12-05	0
[1926, 1929]	асср казакский	Q2332797	Казахская Автономная Социалистическая Советская Республика	P36	столица	Алма-Ата	0	0	1927-01-01	0	0
1936	асср казахский	Q2332797	Казахская Автономная Социалистическая Советская Республика	P47	имеет границы с	Средневолжский край	0	0	1928-05-14	1936-12-05	0
1936	асср казахский	Q2332797	Казахская Автономная Социалистическая Советская Республика	P576	дата прекращения существования	0	0	1936-12-05	0	0	0
[1958, 1965]	асср калмыцкий	Q1631628	Калмыцкая АССР	P131	административно-территориальная единица	Российская Советская Федеративная Социалистическая Республика	0	0	1958-12-25	1991-05-24	0
[1958, 1965]	асср калмыцкий	Q1631628	Калмыцкая АССР	P36	столица	Элиста	0	0	1958-12-25	1991-05-24	0
1937	асср карельский	Q649144	Карельская Автономная Советская Социалистическая Республика	P1365	заменил	Автономная Карельская ССР	0	0	0	0	1936-12-05
1937	асср карельский	Q649144	Карельская Автономная Советская Социалистическая Республика	P571	дата основания/создания/возникновения	0	0	1936-12-05	0	0	0
[1956, 1965]	асср карельский	Q649144	Карельская Автономная Советская Социалистическая Республика	P1365	заменил	Карело-Финская Советская Социалистическая Республика	0	0	0	0	1956-07-16
1936	асср киргизский	Q8212144	Киргизская Автономная Социалистическая Советская Республика	P576	дата прекращения существования	0	0	1936-12-05	0	0	0
[1925, 1936]	асср киргизский	Q2600170	Киргизская АССР	P17	государство	СССР	0	0	1922-12-30	1925-06-15	0
[1925, 1936]	асср киргизский	Q8212144	Киргизская Автономная Социалистическая Советская Республика	P571	дата основания/создания/возникновения	0	0	1926-02-01	0	0	0
[1925, 1936]	асср киргизский	Q8212144	Киргизская Автономная Социалистическая Советская Республика	P580	дата начала	0	0	1926-02-01	0	0	0
[1925, 1936]	асср киргизский	Q2600170	Киргизская АССР	P576	дата прекращения существования	0	0	1925-06-15	0	0	0
1937	асср коми	Q788056	Коми Автономная Советская Социалистическая Республика	P571	дата основания/создания/возникновения	0	0	1936-12-05	0	0	0
1937	асср марийский	Q788066	Марийская АССР	P571	дата основания/создания/возникновения	0	0	1936-12-05	0	0	0
1941	асср молдавский	Q1143148	Молдавская АССР	P576	дата прекращения существования	0	0	1940-01-01	0	0	0
1941	асср молдавский	Q1143148	Молдавская АССР	P36	столица	Тирасполь	0	0	1929-01-01	1940-01-01	0
[1934, 1940]	асср мордовский	Q970217	Мордовская Автономная Советская Социалистическая Республика	P571	дата основания/создания/возникновения	0	0	1934-12-20	0	0	0
1938	асср мордовский	Q970217	Мордовская Автономная Советская Социалистическая Республика	P131	административно-территориальная единица	Средневолжский край	0	0	1934-12-20	1936-12-05	0
1938	асср мордовский	Q970217	Мордовская Автономная Советская Социалистическая Республика	P131	административно-территориальная единица	Российская Советская Федеративная Социалистическая Республика	0	0	1936-12-06	1991-12-24	0
