Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[2005, 2007]	а тихонов	Q502637	Тихонов, Андрей Валерьевич	P54	член спортивной команды	Химки	0	0	2005-01-01	2007-01-01	0
[1993, 1999]	а тихонов	Q502637	Тихонов, Андрей Валерьевич	P54	член спортивной команды	сборная России по футболу	0	0	1996-01-01	2000-01-01	0
[1971, 1981]	а тойнби	Q185381	Тойнби, Арнольд Джозеф	P570	дата смерти	0	0	1975-10-22	0	0	0
[1993, 1996]	а троицкий	Q4463473	Артемий Троицкий	P166	полученные награды	медаль «Защитнику свободной России»	0	0	0	0	1994-01-01
[2001, 2002]	ата алма	Q35493	Алма-Ата	P1376	является столицей	Алматинская область	0	0	1932-03-10	2001-04-14	0
[1991, 1992]	ата алма	Q35493	Алма-Ата	P131	административно-территориальная единица	Казахстан	0	0	1991-12-16	0	0
[1991, 1992]	ата алма	Q35493	Алма-Ата	P131	административно-территориальная единица	Алматинская область	0	0	1932-03-10	1991-12-15	0
[1981, 1984]	атаевич оруджев	Q4337185	Оруджев, Сабит Атаевич	P570	дата смерти	0	0	1981-04-20	0	0	0
[1937, 1945]	атака за	Q684433	нагрудный знак «За танковую атаку»	P571	дата основания/создания/возникновения	0	0	1939-12-20	0	0	0
[2002, 2006]	атака клон	Q181069	Звёздные войны. Эпизод II: Атака клонов	P577	дата публикации	0	0	2002-05-16	0	0	0
[1937, 1945]	атака на	Q52418	нападение на Пёрл-Харбор	P793	ключевое событие	consent	Хирохито	0	0	0	1941-11-05
[1937, 1945]	атака на	Q52418	нападение на Пёрл-Харбор	P585	момент времени	0	0	1941-12-07	0	0	0
[1981, 1985]	атаковать группа	Q463579	Атакующая группа «Зет»	P577	дата публикации	0	0	1982-01-01	0	0	0
[1998, 2006]	атал бихарь	Q233289	Атал Бихари Ваджпаи	P39	занимаемая должность	премьер-министр Индии	0	0	1998-03-19	2004-05-19	0
[1978, 1980]	атал бихарь	Q233289	Атал Бихари Ваджпаи	P39	занимаемая должность	министр иностранных дел Индии	0	0	1977-01-01	1979-01-01	0
[1959, 1963]	атаман кодры	Q60851689	Атаман Кодр	P577	дата публикации	0	0	1959-01-01	0	0	0
[1945, 1947]	атаман семенов	Q448142	Семёнов, Григорий Михайлович	P570	дата смерти	0	0	1946-08-30	0	0	0
[1977, 1979]	атанас далчев	Q382033	Атанас Далчев	P570	дата смерти	0	0	1978-01-17	0	0	0
[1956, 1961]	атарбекянский гэс	Q4072025	Атарбекянская ГЭС	P571	дата основания/создания/возникновения	0	0	1959-01-01	0	0	0
[1956, 1961]	атарбекянский гэс	Q4072025	Атарбекянская ГЭС	P1619	дата официального открытия	0	0	1959-01-01	0	0	0
[1982, 1987]	атеистический словарь	Q21656277	Атеистический словарь	P577	дата публикации	0	0	1983-01-01	0	0	0
[1929, 1932]	аткарский округ	Q4408472	Саратовский округ	P36	столица	Аткарск	0	0	1929-07-01	1930-07-30	0
[1929, 1932]	аткарский округ	Q4408472	Саратовский округ	P36	столица	Саратов	0	0	1928-01-01	1929-06-30	0
[1929, 1932]	аткарский округ	Q4408472	Саратовский округ	P576	дата прекращения существования	0	0	1930-07-30	0	0	0
[1930, 1936]	аткарский район	Q1651115	Аткарский район	P131	административно-территориальная единица	Нижне-Волжский край	0	0	1930-07-31	1934-01-09	0
