Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1969, 1970]	а ульянов	Q376335	Михаил Александрович Ульянов	P166	полученные награды	народный артист СССР	0	0	0	0	1969-09-29
[1999, 2003]	а ульянов	Q376335	Михаил Александрович Ульянов	P166	полученные награды	Золотой овен	0	0	0	0	1999-01-01
[1999, 2003]	а ульянов	Q376335	Михаил Александрович Ульянов	P166	полученные награды	Ника	0	0	0	0	2000-01-01
[1967, 1972]	аугуст санг	Q763708	Санг, Аугуст	P570	дата смерти	0	0	1969-10-14	0	0	0
[1955, 1957]	аугусто де	Q29419	Аугусто Де Лука	P569	дата рождения	0	0	1955-07-01	0	0	0
[2005, 2009]	аугусто пиночет	Q368	Аугусто Пиночет	P570	дата смерти	0	0	2006-12-10	0	0	0
[1973, 1978]	аугусто пиночет	Q368	Аугусто Пиночет	P463	участник организации или клуба	Правительственная хунта Чили	0	0	1973-01-01	1981-01-01	0
[1983, 1987]	ауман и	Q157235	Роберт Ауман	P166	полученные награды	премия Харви	0	0	0	0	1983-01-01
[2005, 2006]	ауман и	Q157235	Роберт Ауман	P166	полученные награды	премия Шведского национального банка по экономическим наукам памяти Альфреда Нобеля	0	0	0	0	2005-01-01
[2005, 2006]	ауман и	Q157235	Роберт Ауман	P166	полученные награды	теоретическая премия фон Неймана	0	0	0	0	2005-01-01
[1947, 1948]	аунг сан	Q194161	Аун Сан	P570	дата смерти	0	0	1947-07-19	0	0	0
[1952, 1953]	аурел баранга	Q4077669	Баранга, Аурел	P166	полученные награды	State Prize of the Romanian People's Republic	0	0	0	0	1952-01-01
[1989, 1997]	ауховский район	Q1439254	Новолакский район	P131	административно-территориальная единица	Дагестан	0	0	1991-12-17	0	0
[1972, 1976]	ауэзовский район	Q16534658	Ауэзовский район	P571	дата основания/создания/возникновения	0	0	1972-03-10	0	0	0
[1975, 1976]	яунзем и	Q4539644	Яунзем, Ирма Петровна	P570	дата смерти	0	0	1975-04-17	0	0	0
