Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
2000	а вагнер	Q4102213	Вагнер, Александр Евгеньевич	P569	дата рождения	0	0	1950-05-13	0	0	0
1995	а василевский	Q150894	Александр Михайлович Василевский	P166	полученные награды	орден Ленина	0	0	0	0	1945-09-29
1995	а василевский	Q150894	Александр Михайлович Василевский	P166	полученные награды	орден Ленина	0	0	0	0	1945-02-21
1995	а василевский	Q150894	Александр Михайлович Василевский	P166	полученные награды	орден Красного Знамени	0	0	0	0	1945-01-01
1995	а василевский	Q150894	Александр Михайлович Василевский	P166	полученные награды	орден Белого льва	0	0	0	0	1945-01-01
1995	а василевский	Q150894	Александр Михайлович Василевский	P166	полученные награды	Герой Советского Союза	0	0	0	0	1945-09-08
1996	а василевский	Q150894	Александр Михайлович Василевский	P166	полученные награды	орден Национального освобождения	0	0	0	0	1946-01-01
1996	а василевский	Q150894	Александр Михайлович Василевский	P166	полученные награды	орден «Крест Грюнвальда» I класса	0	0	0	0	1946-01-01
1996	а василевский	Q150894	Александр Михайлович Василевский	P166	полученные награды	орден Партизанской звезды	0	0	0	0	1946-01-01
1996	а василевский	Q150894	Александр Михайлович Василевский	P166	полученные награды	Virtuti Militari	0	0	0	0	1946-01-01
1995	а василевский	Q150894	Александр Михайлович Василевский	P569	дата рождения	0	0	1895-09-30	0	0	0
[1973, 1974]	а василевский	Q150894	Александр Михайлович Василевский	P166	полученные награды	командор со звездой ордена Возрождения Польши	0	0	0	0	1973-01-01
1995	а василевский	Q150894	Александр Михайлович Василевский	P166	полученные награды	орден «Победа»	0	0	0	0	1945-04-19
1995	а василевский	Q150894	Александр Михайлович Василевский	P166	полученные награды	медаль «Золотая Звезда»	0	0	0	0	1945-09-08
[1967, 1970]	а васильев	Q1958810	Александр Георгиевич Васильев	P569	дата рождения	0	0	1969-07-15	0	0	0
1995	а васильев	Q4104589	Васильев, Геннадий Андреевич	P39	занимаемая должность	народный депутат Украины	0	0	1994-07-24	1998-05-12	0
2003	а васильев	Q4104589	Васильев, Геннадий Андреевич	P39	занимаемая должность	народный депутат Украины	0	0	2002-05-14	2003-12-11	0
1998	а васильев	Q4104589	Васильев, Геннадий Андреевич	P39	занимаемая должность	народный депутат Украины	0	0	1998-05-12	2002-05-14	0
2003	а васильев	Q4104589	Васильев, Геннадий Андреевич	P569	дата рождения	0	0	1953-10-03	0	0	0
