Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
1950	а жданов	Q207879	Андрей Александрович Жданов	P570	дата смерти	0	0	1948-08-31	0	0	0
1996	а жид	Q47484	Жид, Андре	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1946-01-01
2005	а жуков	Q57735	Жуков, Александр Дмитриевич	P39	занимаемая должность	заместитель председателя Правительства Российской Федерации	0	0	2004-03-09	2011-12-20	0
[1974, 1976]	а зайцева	Q4184454	Анна Зайцева	P569	дата рождения	0	0	1975-09-25	0	0	0
1997	а зарх	Q620568	Зархи, Александр Григорьевич	P570	дата смерти	0	0	1997-01-27	0	0	0
1996	а захаров	Q4188704	Александра Марковна Захарова	P166	полученные награды	заслуженный артист Российской Федерации	0	0	0	0	1995-08-04
1996	а захаров	Q4188704	Александра Марковна Захарова	P166	полученные награды	Государственная премия Российской Федерации	0	0	0	0	1996-01-01
[1977, 1981]	а захаров	Q1229601	Марк Анатольевич Захаров	P166	полученные награды	заслуженный деятель искусств РСФСР	0	0	0	0	1977-01-01
1998	а захаров	Q1229601	Марк Анатольевич Захаров	P166	полученные награды	медаль «В память 850-летия Москвы»	0	0	0	0	1997-01-01
[1989, 2000]	а захаров	Q1229601	Марк Анатольевич Захаров	P166	полученные награды	народный артист СССР	0	0	0	0	1991-01-01
1998	а захаров	Q1229601	Марк Анатольевич Захаров	P166	полученные награды	орден «За заслуги перед Отечеством» III степени	0	0	0	0	1997-01-01
[1977, 1981]	а захаров	Q1229601	Марк Анатольевич Захаров	P166	полученные награды	орден Дружбы народов	0	0	0	0	1980-01-01
1995	а зилоть	Q366536	Александр Ильич Зилоти	P570	дата смерти	0	0	1945-12-08	0	0	0
2007	а зимин	Q1658588	Илья Анатольевич Зимин	P570	дата смерти	0	0	2006-02-26	0	0	0
[1990, 1991]	а зимин	Q1658588	Илья Анатольевич Зимин	P2031	начало периода активности	0	0	1990-01-01	0	0	0
[1980, 1982]	а зимин	Q169929	Александр Александрович Зимин	P570	дата смерти	0	0	1980-02-25	0	0	0
[1978, 1988]	а зиновьев	Q449538	Александр Александрович Зиновьев	P166	полученные награды	премия Медичи за лучшее произведение на иностранном языке	0	0	0	0	1978-01-01
