Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1992, 1994]	г абрикос	Q1071709	Григорий Андреевич Абрикосов	P570	дата смерти	0	0	1993-04-13	0	0	0
[1984, 1985]	г алексеев	Q4061646	Алексеев, Григорий Борисович	P569	дата рождения	0	0	1984-11-29	0	0	0
1938	г архангельский	Q4070585	Архангельский, Александр Григорьевич	P570	дата смерти	0	0	1938-10-12	0	0	0
[1985, 1987]	г владивосток	Q959	Владивосток	P166	полученные награды	орден Ленина	0	0	0	0	1985-01-01
[1993, 1995]	г владивосток	Q959	Владивосток	P6	глава правительства	Виктор Иванович Черепков	0	0	1993-06-26	1994-03-16	0
[2000, 2001]	г владивосток	Q959	Владивосток	P6	глава правительства	Копылов, Юрий Михайлович	0	0	2000-06-20	2004-07-18	0
1927	г владивосток	Q959	Владивосток	P131	административно-территориальная единица	Владивостокский округ	0	0	1926-01-04	1930-07-29	0
1933	г владивосток	Q959	Владивосток	P131	административно-территориальная единица	Дальневосточный край	0	0	1930-07-30	1932-10-19	0
1927	г владивосток	Q959	Владивосток	P131	административно-территориальная единица	Приморская губерния	0	0	1922-11-15	1926-01-03	0
1933	г владивосток	Q959	Владивосток	P131	административно-территориальная единица	Приморская область	0	0	1932-10-20	1939-06-04	0
1940	г владивосток	Q959	Владивосток	P131	административно-территориальная единица	Приморский край	0	0	1939-06-05	2005-01-01	0
1943	г водяной	Q4114246	Михаил Григорьевич Водяной	P2031	начало периода активности	0	0	1943-01-01	0	0	0
1935	г иванов	Q4196093	Иванов, Гавриил Николаевич	P570	дата смерти	0	0	1935-08-04	0	0	0
[1964, 1965]	г иванов	Q4196003	Иванов, Борис Григорьевич	P570	дата смерти	0	0	1964-11-14	0	0	0
1947	г калинин	Q4209450	Калинин, Виктор Григорьевич	P569	дата рождения	0	0	1946-09-18	0	0	0
1947	г калинин	Q4209450	Калинин, Виктор Григорьевич	P569	дата рождения	0	0	1946-01-01	0	0	0
1945	г кузнецов	Q342462	Николай Герасимович Кузнецов	P410	воинское звание	адмирал флота	0	0	1944-05-31	1948-02-03	0
[1992, 1997]	г месяц	Q4291469	Месяц, Геннадий Андреевич	P166	полученные награды	Премия имени А. Г. Столетова	0	0	0	0	1996-01-01
[1961, 1962]	г николаев	Q312474	Андриян Григорьевич Николаев	P166	полученные награды	орден Красной Звезды	0	0	0	0	1961-01-01
[1964, 1965]	г николаев	Q312474	Андриян Григорьевич Николаев	P166	полученные награды	орден Знамени	0	0	0	0	1964-01-01
[1988, 1990]	г печь	Q108366	Грегори Пек	P166	полученные награды	премия AFI за достижения в карьере	0	0	0	0	1989-01-01
1943	г печь	Q108366	Грегори Пек	P2031	начало периода активности	0	0	1942-01-01	0	0	0
[1950, 1953]	г печь	Q108366	Грегори Пек	P1411	номинирован на	Henrietta Award	0	0	0	0	1950-01-01
[1950, 1953]	г печь	Q108366	Грегори Пек	P166	полученные награды	Henrietta Award	0	0	0	0	1950-01-01
1939	г попов	Q2914010	Попов, Валерий Георгиевич	P569	дата рождения	0	0	1939-12-08	0	0	0
[1963, 1964]	г попов	Q2914010	Попов, Валерий Георгиевич	P2031	начало периода активности	0	0	1963-01-01	0	0	0
[1991, 1993]	г попов	Q735373	Гавриил Харитонович Попов	P39	занимаемая должность	мэр Москвы	0	0	1991-06-12	1992-06-06	0
[1958, 1962]	г рев	Q364153	Реве, Герард	P166	полученные награды	Премия Х.Г. ван дер Виса	0	0	0	0	1960-01-01
[2005, 2007]	г рев	Q364153	Реве, Герард	P570	дата смерти	0	0	2006-04-08	0	0	0
1924	г роман	Q68463	Романов, Григорий Васильевич	P569	дата рождения	0	0	1923-02-07	0	0	0
[2003, 2005]	г соколов	Q468626	Соколов, Григорий Липманович	P166	полученные награды	Премия Франко Аббьяти	0	0	0	0	2003-01-01
[2004, 2006]	г угол	Q1965296	Углов, Фёдор Григорьевич	P166	полученные награды	Книга рекордов Гиннесса	0	0	0	0	2004-01-01
[2004, 2006]	г угол	Q1965296	Углов, Фёдор Григорьевич	P166	полученные награды	орден «За заслуги перед Отечеством» III степени	0	0	0	0	2005-02-09
1940	г ягода	Q141869	Генрих Григорьевич Ягода	P570	дата смерти	0	0	1938-03-15	0	0	0
