Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
1925	г арбатов	Q967886	Георгий Аркадьевич Арбатов	P569	дата рождения	0	0	1923-05-19	0	0	0
[1990, 1999]	г явлинский	Q438603	Григорий Алексеевич Явлинский	P39	занимаемая должность	заместитель главы правительства СССР	0	0	1991-08-24	1991-10-02	0
1999	гаагский суд	Q1045198	Постоянная палата третейского суда	P166	полученные награды	Вателеровская премия мира	0	0	0	0	1998-01-01
1999	гаагский суд	Q1045198	Постоянная палата третейского суда	P571	дата основания/создания/возникновения	0	0	1899-01-01	0	0	0
[1992, 2009]	гаагский трибунал	Q183219	Международный трибунал по бывшей Югославии	P571	дата основания/создания/возникновения	0	0	1993-01-01	0	0	0
1986	габдулла кариев	Q13203846	Габдулла Кариев	P569	дата рождения	0	0	1886-05-20	0	0	0
1986	габдулла тукать	Q315279	Габдулла Тукай	P569	дата рождения	0	0	1886-04-26	0	0	0
2006	габдулла тукать	Q23815637	Площадь Габдуллы Тукая	P571	дата основания/создания/возникновения	0	0	2005-01-01	0	0	0
2006	габдулла тукать	Q23815637	Площадь Габдуллы Тукая	P1619	дата официального открытия	0	0	2005-08-27	0	0	0
2002	габит махмудович	Q1047071	Мусрепов, Габит Махмутович	P569	дата рождения	0	0	1902-03-22	0	0	0
1986	габит мусрепов	Q1047071	Мусрепов, Габит Махмутович	P570	дата смерти	0	0	1985-12-31	0	0	0
[1960, 1965]	габонский республика	Q1000	Габон	P463	участник организации или клуба	Международная ассоциация развития	0	0	1963-11-04	0	0
[1960, 1965]	габонский республика	Q1000	Габон	P35	глава государства	Мба, Леон	0	0	1961-02-12	1967-11-27	0
[1960, 1965]	габонский республика	Q1000	Габон	P530	дипломатические отношения	Германия	0	0	1960-01-01	0	0
[1960, 1965]	габонский республика	Q1000	Габон	P571	дата основания/создания/возникновения	0	0	1960-01-01	0	0	0
[1960, 1965]	габонский республика	Q1000	Габон	P463	участник организации или клуба	ЮНЕСКО	0	0	1960-11-16	0	0
[1960, 1965]	габонский республика	Q1000	Габон	P463	участник организации или клуба	Международный союз электросвязи	0	0	1960-12-28	0	0
[1960, 1965]	габонский республика	Q1000	Габон	P463	участник организации или клуба	Организация Объединённых Наций	0	0	1960-09-20	0	0
[1960, 1965]	габонский республика	Q1000	Габон	P463	участник организации или клуба	Международный банк реконструкции и развития	0	0	1963-09-10	0	0
1956	габриель марсель	Q154145	Марсель, Габриэль	P39	занимаемая должность	президент	Société des amis de Charles Du Bos	0	1955-01-01	1973-01-01	0
1956	габриель марсель	Q154145	Марсель, Габриэль	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1956-01-01
[1962, 1963]	габриель марсель	Q154145	Марсель, Габриэль	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1962-01-01
2004	габриель тард	Q315372	Тард, Габриель	P570	дата смерти	0	0	1904-05-13	0	0	0
2004	габриель тард	Q315372	Тард, Габриель	P570	дата смерти	0	0	1904-05-12	0	0	0
1923	габриеля д'аннунцио	Q193236	Габриэле Д’Аннунцио	P463	участник организации или клуба	Королевская академия французского языка и литературы	0	0	1921-06-04	1938-03-01	0
[1970, 1972]	габрилович евгений	Q3655818	Евгений Иосифович Габрилович	P166	полученные награды	орден Октябрьской Революции	0	0	0	0	1971-01-01
1958	габриэла мистраль	Q80871	Габриэла Мистраль	P570	дата смерти	0	0	1957-01-10	0	0	0
[1994, 1998]	габриэле россетти	Q26262806	Габриэле Россетти	P569	дата рождения	0	0	1995-03-07	0	0	0
1965	габриэль вальдес	Q2356230	Габриэль Вальдес	P39	занимаемая должность	министр иностранных дел Чили	0	0	1964-11-03	1970-11-03	0
1980	габриэль гарсиа	Q5878	Габриэль Гарсиа Маркес	P166	полученные награды	"Премия ""Общее благо"" за выдающиеся заслуги"	0	0	0	0	1980-01-01
[1967, 1972]	габриэль гарсиа	Q5878	Габриэль Гарсиа Маркес	P166	полученные награды	Нейштадтская литературная премия	0	0	0	0	1971-01-01
1982	габриэль гарсиа	Q5878	Габриэль Гарсиа Маркес	P166	полученные награды	Нобелевская премия по литературе	0	0	0	0	1982-01-01
2000	габриэль гарсия	Q356399	Габриэль Гарсия	P54	член спортивной команды	Spain national under-20 football team	0	0	1999-01-01	1999-01-01	0
2000	габриэль гарсия	Q356399	Габриэль Гарсия	P54	член спортивной команды	молодёжная сборная Испании по футболу	0	0	1999-01-01	2001-01-01	0
2000	габриэль гарсия	Q356399	Габриэль Гарсия	P54	член спортивной команды	Spain national under-18 football team	0	0	1996-01-01	1998-01-01	0
[1974, 1982]	габриэль гарсия	Q356399	Габриэль Гарсия	P569	дата рождения	0	0	1979-02-10	0	0	0
2000	габриэль гарсия	Q356399	Габриэль Гарсия	P54	член спортивной команды	Барселона Б	0	0	1997-01-01	2000-01-01	0
[2002, 2004]	габриэль гарсия	Q356399	Габриэль Гарсия	P54	член спортивной команды	сборная Испании по футболу	0	0	2003-01-01	2004-01-01	0
2000	габриэль гарсия	Q356399	Габриэль Гарсия	P54	член спортивной команды	Барселона	0	0	1999-01-01	2006-01-01	0
2000	габриэль гарсия	Q356399	Габриэль Гарсия	P54	член спортивной команды	сборная Каталонии по футболу	0	0	2000-01-01	2006-01-01	0
2000	габриэль гарсия	Q356399	Габриэль Гарсия	P54	член спортивной команды	Spain national under-23 football team	0	0	2000-01-01	2000-01-01	0
[1987, 1988]	габриэль гонсалес	Q1997468	Габриэль Гонсалес	P54	член спортивной команды	сборная Парагвая по футболу	0	0	1987-01-01	2001-01-01	0
[1987, 1988]	габриэль гонсалес	Q1997468	Габриэль Гонсалес	P54	член спортивной команды	Серро Портеньо	0	0	1987-01-01	1987-01-01	0
[1980, 1982]	габриэль де	Q1489134	Мишель, Габриэль де	P54	член спортивной команды	АСПТТ Нант	0	0	1978-01-01	1981-01-01	0
[1993, 1994]	габриэль де	Q1709197	Анда, Габриэль де	P54	член спортивной команды	Коррекаминос	0	0	1993-01-01	1995-01-01	0
[2002, 2005]	габриэль де	Q1709197	Анда, Габриэль де	P54	член спортивной команды	сборная Мексики по футболу	0	0	1997-01-01	2002-01-01	0
[1962, 1964]	габриэль де	Q1489134	Мишель, Габриэль де	P54	член спортивной команды	Нант	0	0	1963-01-01	1975-01-01	0
[1993, 1994]	габриэль де	Q1709197	Анда, Габриэль де	P54	член спортивной команды	УНАМ Пумас	0	0	1992-01-01	1993-01-01	0
[1982, 1984]	габриэль маркес	Q5878	Габриэль Гарсиа Маркес	P166	полученные награды	Нобелевская премия по литературе	0	0	0	0	1982-01-01
[1959, 1964]	габриэль марсель	Q154145	Марсель, Габриэль	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1962-01-01
[2003, 2007]	габриэль марсель	Q154145	Марсель, Габриэль	P166	полученные награды	Монтионовская литературная премия	0	0	0	0	2004-01-01
[1972, 1974]	габриэль марсель	Q154145	Марсель, Габриэль	P39	занимаемая должность	президент	Société des amis de Charles Du Bos	0	1955-01-01	1973-01-01	0
1942	габриэль пери	Q480164	Габриель Пери	P39	занимаемая должность	Q59466118	0	0	1932-06-01	1940-01-21	0
1942	габриэль пери	Q480164	Габриель Пери	P570	дата смерти	0	0	1941-12-15	0	0	0
[1955, 1963]	гавриил адрианович	Q595296	Тихов, Гавриил Адрианович	P570	дата смерти	0	0	1960-01-25	0	0	0
1974	гавриил александрович	Q15071265	Лихачёв, Гавриил Александрович	P570	дата смерти	0	0	1924-07-15	0	0	0
1994	гавриил александрович	Q4175399	Емельянов, Гавриил Александрович	P570	дата смерти	0	0	1944-07-15	0	0	0
1955	гавриил андреевич	Q4112731	Вишневский, Гавриил Андреевич	P570	дата смерти	0	0	1955-06-17	0	0	0
[1992, 1997]	гавриил васильевич	Q4245539	Кузякин, Гавриил Васильевич	P570	дата смерти	0	0	1995-05-29	0	0	0
[1968, 1971]	гавриил васильевич	Q39313637	Гавриил Васильевич Чуев	P570	дата смерти	0	0	1969-05-16	0	0	0
[1946, 1948]	гавриил васильевич	Q4175547	Енборисов, Гавриил Васильевич	P570	дата смерти	0	0	1946-02-14	0	0	0
[1962, 1963]	гавриил васильевич	Q16657703	Каменщиков, Гавриил Васильевич	P570	дата смерти	0	0	1962-01-01	0	0	0
1995	гавриил гаврилович	Q4469498	Удовицкий, Гавриил Гаврилович	P570	дата смерти	0	0	1945-03-16	0	0	0
[1986, 1990]	гавриил георгиевич	Q4173586	Егиазаров, Гавриил Георгиевич	P570	дата смерти	0	0	1988-07-22	0	0	0
[1974, 1978]	гавриил григорьевич	Q21129082	Зеличенок, Гавриил Григорьевич	P570	дата смерти	0	0	1975-01-01	0	0	0
1995	гавриил григорьевич	Q4209455	Калинин, Гавриил Григорьевич	P570	дата смерти	0	0	1995-03-22	0	0	0
1969	гавриил давидович	Q19618828	Лейтейзен, Гавриил Давидович	P570	дата смерти	0	0	1919-01-02	0	0	0
[2003, 2004]	гавриил давидович	Q4139727	Гликман, Гавриил Давидович	P570	дата смерти	0	0	2003-01-04	0	0	0
1994	гавриил дмитриевич	Q4056666	Агарков, Гавриил Дмитриевич	P570	дата смерти	0	0	1992-01-12	0	0	0
[1991, 1998]	гавриил дмитриевич	Q1496517	Качалин, Гавриил Дмитриевич	P570	дата смерти	0	0	1995-05-23	0	0	0
[1955, 1961]	гавриил дмитриевич	Q16435853	Синягин, Гавриил Дмитриевич	P570	дата смерти	0	0	1955-04-01	0	0	0
[1993, 1997]	гавриил егорович	Q18279835	Гавриил Егорович Черешнев	P570	дата смерти	0	0	1996-01-01	0	0	0
1926	гавриил ефимович	Q15071683	Тимофеев, Гавриил Ефимович	P570	дата смерти	0	0	1926-01-01	0	0	0
1944	гавриил иванович	Q4397350	Романовский, Гавриил Иванович	P570	дата смерти	0	0	1942-01-20	0	0	0
1923	гавриил иванович	Q4397350	Романовский, Гавриил Иванович	P569	дата рождения	0	0	1873-04-03	0	0	0
1928	гавриил иванович	Q3737792	Танфильев, Гавриил Иванович	P570	дата смерти	0	0	1928-09-04	0	0	0
1995	гавриил ильич	Q442282	Мясников, Гавриил Ильич	P570	дата смерти	0	0	1945-11-16	0	0	0
1995	гавриил иосифович	Q18241894	Близниченко, Гавриил Иосифович	P570	дата смерти	0	0	1993-01-09	0	0	0
1984	гавриил иосифович	Q16718408	Чиряев, Гавриил Иосифович	P570	дата смерти	0	0	1982-05-09	0	0	0
[1997, 1999]	гавриил кондратиевич	Q4279270	Малыш, Гавриил Кондратьевич	P570	дата смерти	0	0	1998-10-25	0	0	0
[1934, 1937]	гавриил константинович	Q12158841	Суслов, Гавриил Константинович	P570	дата смерти	0	0	1935-11-19	0	0	0
[1954, 1956]	гавриил константинович	Q819458	Романов, Гавриил Константинович	P570	дата смерти	0	0	1955-02-28	0	0	0
1948	гавриил костельник	Q4235294	Костельник, Гавриил Фёдорович	P570	дата смерти	0	0	1948-09-20	0	0	0
1939	гавриил михайлович	Q4283922	Масленников, Гавриил Михайлович	P570	дата смерти	0	0	1937-11-18	0	0	0
1995	гавриил михайлович	Q15070911	Ладыженский, Гавриил Михайлович	P570	дата смерти	0	0	1945-01-06	0	0	0
1994	гавриил михайлович	Q16447417	Лашков, Гавриил Михайлович	P570	дата смерти	0	0	1944-12-02	0	0	0
1932	гавриил никитич	Q4082171	Гавриил Никитич Белов	P2031	начало периода активности	0	0	1930-01-01	0	0	0
1994	гавриил никитович	Q10774409	Зеленский, Гавриил Никитович	P570	дата смерти	0	0	1944-04-18	0	0	0
1995	гавриил николаевич	Q984644	Троепольский, Гавриил Николаевич	P166	полученные награды	почётный доктор Воронежского государственного университета	0	0	1993-01-01	0	0
[1948, 1951]	гавриил николаевич	Q2708388	Гавриил Николаевич Вересов	P2962	шахматный титул	международный мастер	0	0	1950-01-01	0	0
[1971, 1973]	гавриил николаевич	Q918639	Попов, Гавриил Николаевич	P570	дата смерти	0	0	1972-02-17	0	0	0
1995	гавриил николаевич	Q984644	Троепольский, Гавриил Николаевич	P570	дата смерти	0	0	1995-06-30	0	0	0
1995	гавриил петрович	Q21133719	Шамин, Гавриил Петрович	P570	дата смерти	0	0	1995-07-17	0	0	0
1991	гавриил попов	Q735373	Гавриил Харитонович Попов	P39	занимаемая должность	мэр Москвы	0	0	1991-06-12	1992-06-06	0
[1935, 1937]	гавриил попов	Q735373	Гавриил Харитонович Попов	P569	дата рождения	0	0	1936-10-31	0	0	0
1995	гавриил спиридонович	Q15065823	Дестунис, Гавриил Спиридонович	P570	дата смерти	0	0	1895-03-19	0	0	0
[1948, 1953]	гавриил степанович	Q15650924	Неводовский, Гавриил Степанович	P570	дата смерти	0	0	1952-08-26	0	0	0
[1976, 1981]	гавриил харитонович	Q13030362	Ващенко, Гавриил Харитонович	P166	полученные награды	Заслуженный деятель искусств Белорусской ССР	0	0	0	0	1977-01-01
1991	гавриил харитонович	Q735373	Гавриил Харитонович Попов	P39	занимаемая должность	мэр Москвы	0	0	1991-06-12	1992-06-06	0
[1987, 1995]	гавриил харитонович	Q13030362	Ващенко, Гавриил Харитонович	P166	полученные награды	Народный художник Белорусской ССР	0	0	0	0	1988-01-01
[1947, 1948]	гавриил яковлевич	Q4202417	Иоанн (Леончуков)	P570	дата смерти	0	0	1947-12-27	0	0	0
[2005, 2009]	гаврил васильевич	Q30235279	Гаврила Васильевич Алевский	P570	дата смерти	0	0	2008-01-01	0	0	0
