Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1994, 2000]	г данелия	Q380252	Георгий Николаевич Данелия	P166	полученные награды	Государственная премия Российской Федерации	0	0	0	0	1996-01-01
[1994, 2000]	г данелия	Q380252	Георгий Николаевич Данелия	P166	полученные награды	Золотой Остап	0	0	0	0	1997-01-01
[1994, 2000]	г данелия	Q380252	Георгий Николаевич Данелия	P166	полученные награды	Золотой овен	0	0	0	0	1995-01-01
[1999, 2003]	г дилигенский	Q4161599	Дилигенский, Герман Германович	P570	дата смерти	0	0	2002-06-14	0	0	0
[1979, 1981]	где бродить	Q552560	Там, где бродит бизон	P577	дата публикации	0	0	1980-04-25	0	0	0
[1985, 1991]	где когда	Q497935	Что? Где? Когда?	P272	производящая компания	Игра-ТВ	0	0	1990-01-01	0	0
[1980, 1997]	где находиться	Q4134604	Где находится нофелет?	P577	дата публикации	0	0	1987-01-01	0	0	0
[2006, 2009]	где там	Q4450741	Там, где любовь	P577	дата публикации	0	0	2008-01-01	0	0	0
[2003, 2004]	где что	Q497935	Что? Где? Когда?	P449	первоначальная телесеть	Первый канал	0	0	2003-01-01	0	0
[1978, 1991]	где что	Q497935	Что? Где? Когда?	P272	производящая компания	Игра-ТВ	0	0	1990-01-01	0	0
[2003, 2004]	где что	Q497935	Что? Где? Когда?	P449	первоначальная телесеть	1-й канал Останкино	0	0	1992-01-01	2003-01-01	0
[1993, 1994]	где-то в	Q3700710	Кофе и сигареты: Где-то в Калифорнии	P577	дата публикации	0	0	1993-01-01	0	0	0
[1985, 1991]	где-то кто-то	Q4331673	Однажды — где-то… кто-то	P577	дата публикации	0	0	1990-01-01	0	0	0
[1987, 1995]	где-то однажды	Q4331673	Однажды — где-то… кто-то	P577	дата публикации	0	0	1990-01-01	0	0	0
[1927, 1929]	гдовский район	Q2723487	Гдовский район	P131	административно-территориальная единица	Санкт-Петербургская губерния	0	0	1924-01-01	1927-07-31	0
[1931, 1937]	гдовский район	Q2723487	Гдовский район	P131	административно-территориальная единица	Ленинградская область	0	0	1930-07-30	1935-03-24	0
[1931, 1937]	гдовский район	Q2723487	Гдовский район	P131	административно-территориальная единица	Псковский округ	0	0	1935-03-25	1940-09-18	0
[1927, 1929]	гдовский район	Q2723487	Гдовский район	P131	административно-территориальная единица	Псковский округ	0	0	1927-08-01	1930-07-29	0
[1927, 1928]	гдовский уезд	Q4134619	Гдовский уезд	P131	административно-территориальная единица	Санкт-Петербургская губерния	0	0	1781-12-11	1927-07-31	0
[1927, 1928]	гдовский уезд	Q4134619	Гдовский уезд	P576	дата прекращения существования	0	0	1927-08-01	0	0	0
[1953, 1959]	гдр в	Q157682	События 17 июня 1953 года в ГДР	P585	момент времени	0	0	1953-06-17	0	0	0
[1990, 1993]	гдр марка	Q157011	марка ГДР	P582	дата окончания	0	0	1990-06-30	0	0	0
