Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1954, 1958]	геворг эмин	Q4531651	Эмин, Геворг	P166	полученные награды	орден «Знак Почёта»	0	0	0	0	1956-01-01
[1977, 1983]	геворг эмин	Q4531651	Эмин, Геворг	P166	полученные награды	орден Дружбы народов	0	0	0	0	1979-01-01
[1972, 1981]	геворгян а	Q4134664	Геворгян, Армен Андраникович	P569	дата рождения	0	0	1973-07-08	0	0	0
[1975, 1978]	геворк эмин	Q4531651	Эмин, Геворг	P166	полученные награды	Государственная премия СССР	0	0	0	0	1976-01-01
[1950, 1954]	геворк эмин	Q4531651	Эмин, Геворг	P166	полученные награды	Сталинская премия	0	0	0	0	1951-01-01
[1959, 1961]	гедда циннер	Q111323	Хедда Циннер	P166	полученные награды	Премия города Берлина имени Гёте	0	0	0	0	1959-01-01
[1971, 1976]	гедда циннер	Q111323	Хедда Циннер	P166	полученные награды	премия Лиона Фейнвахтера	0	0	0	0	1973-01-01
[1977, 1983]	гедель к	Q41390	Курт Гёдель	P570	дата смерти	0	0	1978-01-14	0	0	0
[1974, 1975]	гедель к	Q41390	Курт Гёдель	P166	полученные награды	Национальная научная медаль США	0	0	0	0	1974-01-01
[1932, 1934]	гедройца к	Q3648934	Гедройц, Константин Каэтанович	P570	дата смерти	0	0	1932-10-05	0	0	0
[1977, 1981]	геза ревес	Q1253204	Геза Ревес	P570	дата смерти	0	0	1977-01-22	0	0	0
[1960, 1961]	геза ревес	Q1253204	Геза Ревес	P39	занимаемая должность	Hungarian Ambassador to the  Soviet Union	0	0	1960-01-01	1963-01-01	0
[1991, 2005]	гейдар алиев	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	орден князя Ярослава Мудрого I степени	0	0	0	0	1997-03-20
[1982, 1988]	гейдар алиев	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	орден Отечественной войны I степени	0	0	0	0	1985-04-23
[1982, 1988]	гейдар алиев	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	орден Ленина	0	0	0	0	1983-05-07
[1982, 1988]	гейдар алиев	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	медаль «Серп и Молот»	0	0	0	0	1983-05-07
[1982, 1988]	гейдар алиев	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	орден Октябрьской Революции	0	0	0	0	1982-03-10
[1982, 1988]	гейдар алиев	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	Герой Социалистического Труда	0	0	0	0	1983-05-07
[1991, 2005]	гейдар алиев	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	орден Золотого руна	0	0	0	0	2001-01-01
[1991, 2005]	гейдар алиев	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	орден Святого апостола Андрея Первозванного	0	0	0	0	2003-05-10
[1971, 1972]	гейдар алиев	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	орден Ленина	0	0	0	0	1971-08-25
[1982, 1988]	гейдар алиев	Q157451	Гейдар Алирза оглы Алиев	P39	занимаемая должность	первый заместитель председателя Совета Министров СССР	0	0	1982-11-24	1987-10-23	0
[1991, 2005]	гейдар алиев	Q157451	Гейдар Алирза оглы Алиев	P570	дата смерти	0	0	2003-12-13	0	0	0
[1991, 2005]	гейдар алиев	Q157451	Гейдар Алирза оглы Алиев	P39	занимаемая должность	председатель Милли Меджлиса Азербайджана	0	0	1993-06-15	1993-11-05	0
[2003, 2005]	гейдар алиевич	Q157451	Гейдар Алирза оглы Алиев	P570	дата смерти	0	0	2003-12-13	0	0	0
[2003, 2005]	гейдар алиевич	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	орден Святого апостола Андрея Первозванного	0	0	0	0	2003-05-10
[1993, 2001]	гейдар алиевич	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	орден князя Ярослава Мудрого I степени	0	0	0	0	1997-03-20
[1974, 1983]	гейдар алиевич	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	орден Ленина	0	0	0	0	1976-12-27
[1974, 1983]	гейдар алиевич	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	Герой Социалистического Труда	0	0	0	0	1979-08-24
[1993, 2001]	гейдар алиевич	Q157451	Гейдар Алирза оглы Алиев	P39	занимаемая должность	председатель Милли Меджлиса Азербайджана	0	0	1993-06-15	1993-11-05	0
[1974, 1983]	гейдар алиевич	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	орден Ленина	0	0	0	0	1979-08-24
[1974, 1983]	гейдар алиевич	Q157451	Гейдар Алирза оглы Алиев	P39	занимаемая должность	первый заместитель председателя Совета Министров СССР	0	0	1982-11-24	1987-10-23	0
[1974, 1983]	гейдар алиевич	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	медаль «Серп и Молот»	0	0	0	0	1979-08-24
[1974, 1983]	гейдар алиевич	Q157451	Гейдар Алирза оглы Алиев	P166	полученные награды	орден Октябрьской Революции	0	0	0	0	1982-03-10
[2005, 2008]	гейдельбергский университет	Q151510	Гейдельбергский университет	P1075	ректор	Бернхард Айтель	0	0	2007-01-01	0	0
[1969, 1971]	гейзенберг в	Q40904	Вернер Гейзенберг	P166	полученные награды	премия Зигмунда Фрейда за научную прозу	0	0	0	0	1970-01-01
[1929, 1931]	гейзенберг в	Q40904	Вернер Гейзенберг	P1411	номинирован на	Нобелевская премия по физике	0	0	0	0	1929-01-01
[1929, 1931]	гейзенберг в	Q40904	Вернер Гейзенберг	P1411	номинирован на	Нобелевская премия по физике	0	0	0	0	1930-01-01
[1933, 1935]	гейзенберг в	Q40904	Вернер Гейзенберг	P1411	номинирован на	Нобелевская премия по физике	0	0	0	0	1933-01-01
[1975, 1981]	гейзенберг в	Q40904	Вернер Гейзенберг	P570	дата смерти	0	0	1976-02-01	0	0	0
[1933, 1935]	гейзенберг в	Q40904	Вернер Гейзенберг	P166	полученные награды	медаль имени Макса Планка	0	0	0	0	1933-01-01
[1929, 1931]	гейзенберг в	Q40904	Вернер Гейзенберг	P463	участник организации или клуба	Саксонская академия наук	0	0	1930-07-01	1942-10-01	0
[1933, 1935]	гейзенберг в	Q40904	Вернер Гейзенберг	P463	участник организации или клуба	Леопольдина	0	0	1933-01-01	0	0
[1969, 1971]	гейзенберг в	Q40904	Вернер Гейзенберг	P166	полученные награды	Международная золотая медаль Нильса Бора	0	0	0	0	1970-01-01
[1969, 1973]	гейзенберг вернер	Q40904	Вернер Гейзенберг	P166	полученные награды	премия Зигмунда Фрейда за научную прозу	0	0	0	0	1970-01-01
[1969, 1973]	гейзенберг вернер	Q40904	Вернер Гейзенберг	P166	полученные награды	Международная золотая медаль Нильса Бора	0	0	0	0	1970-01-01
[1929, 1930]	гейзенберг к	Q40904	Вернер Гейзенберг	P1411	номинирован на	Нобелевская премия по физике	0	0	0	0	1929-01-01
[1968, 1973]	гейзенберг к	Q40904	Вернер Гейзенберг	P166	полученные награды	премия Зигмунда Фрейда за научную прозу	0	0	0	0	1970-01-01
[1968, 1973]	гейзенберг к	Q40904	Вернер Гейзенберг	P166	полученные награды	Международная золотая медаль Нильса Бора	0	0	0	0	1970-01-01
[2001, 2005]	гейнц гудериан	Q67610	Гудериан, Гейнц Гюнтер	P570	дата смерти	0	0	2004-09-24	0	0	0
[2001, 2005]	гейнц гудериан	Q67610	Гудериан, Гейнц Гюнтер	P570	дата смерти	0	0	2004-09-25	0	0	0
[1993, 1997]	гелиана михайлович	Q4382151	Прохоров, Гелиан Михайлович	P166	полученные награды	Государственная премия Российской Федерации	0	0	0	0	1993-01-01
[1977, 1981]	гелий иванович	Q4425416	Снегирёв, Гелий Иванович	P570	дата смерти	0	0	1978-12-28	0	0	0
[1976, 1981]	гелий снегирев	Q4425416	Снегирёв, Гелий Иванович	P570	дата смерти	0	0	1978-12-28	0	0	0
[1967, 1977]	геллер в	Q4135028	Геллер, Анна Владимировна	P569	дата рождения	0	0	1975-11-24	0	0	0
[1997, 1998]	геллер михаил	Q2032342	Михаил Яковлевич Геллер	P570	дата смерти	0	0	1997-01-03	0	0	0
[1956, 1961]	гельман а	Q3790143	Гельман, Марат Александрович	P569	дата рождения	0	0	1960-12-24	0	0	0
[1933, 1934]	гельман а	Q4069118	Гельман, Александр Исаакович	P569	дата рождения	0	0	1933-10-25	0	0	0
[1975, 1980]	гельман александр	Q27525240	Гельман, Александр	P569	дата рождения	0	0	1976-01-01	0	0	0
[1958, 1977]	гельман м	Q3790143	Гельман, Марат Александрович	P569	дата рождения	0	0	1960-12-24	0	0	0
[1935, 1936]	гельман м	Q4135085	Гельман, Моисей Меерович	P569	дата рождения	0	0	1935-01-01	0	0	0
[1982, 1999]	гельмут коль	Q2518	Гельмут Коль	P166	полученные награды	премия Эрика Варбурга	0	0	0	0	1996-01-01
[1982, 1999]	гельмут коль	Q2518	Гельмут Коль	P166	полученные награды	почётный гражданин Европы	0	0	0	0	1998-12-12
[1982, 1999]	гельмут коль	Q2518	Гельмут Коль	P166	полученные награды	Европейская ремесленная премия	0	0	0	0	1992-01-01
[1982, 1999]	гельмут коль	Q389805	Гельмут Коль	P570	дата смерти	0	0	1991-09-26	0	0	0
