Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
1956	ги молла	Q314006	Ги Молле	P39	занимаемая должность	председатель Совета министров Франции	0	0	1956-02-01	1957-06-13	0
[1946, 1950]	ги молла	Q314006	Ги Молле	P39	занимаемая должность	генеральный советник Франции	Па-де-Кале	0	1945-01-01	1949-01-01	0
1994	гиагинский район	Q1010262	Гиагинский район	P131	административно-территориальная единица	Адыгея	0	0	1992-05-16	0	0
1945	гиацинтов софья	Q4137899	Софья Владимировна Гиацинтова	P569	дата рождения	0	0	1895-08-04	0	0	0
1985	гиббс по	Q1191905	Семплирование по Гиббсу	P575	дата открытия	0	0	1984-01-01	0	0	0
[1994, 2002]	гибель апл	Q217463	К-141 «Курск»	P1619	дата официального открытия	0	0	1994-12-30	0	0	0
2001	гибель апл	Q217463	К-141 «Курск»	P793	ключевое событие	кораблекрушение	0	0	0	0	2000-08-12
2001	гибель апл	Q1136114	Гибель АПЛ «Курск»	P585	момент времени	0	0	2000-08-12	0	0	0
2001	гибель апл	Q217463	К-141 «Курск»	P137	обслуживающее лицо	Военно-Морской Флот Российской Федерации	0	0	1995-01-01	2000-01-01	0
1982	гибель джон	Q2341090	убийство Джона Леннона	P585	момент времени	0	0	1980-12-08	0	0	0
2006	гибель империя	Q4137922	Гибель империи (телесериал)	P582	дата окончания	0	0	2005-01-01	0	0	0
2006	гибель империя	Q4137922	Гибель империи (телесериал)	P580	дата начала	0	0	2005-03-01	0	0	0
1935	гибель сенсация	Q4137926	Гибель сенсации	P577	дата публикации	0	0	1935-01-01	0	0	0
[1961, 1962]	гибель хаммаршельд	Q4055782	Авиакатастрофа около Ндолы 18 сентября 1961 года	P585	момент времени	0	0	1961-09-18	0	0	0
[1965, 1969]	гибель эскадра	Q28706584	Гибель эскадры	P577	дата публикации	0	0	1966-01-01	0	0	0
[1969, 1971]	гибкий диск	Q5293	дискета	P577	дата публикации	0	0	1969-01-01	0	0	0
1945	гиви амилахварь	Q15064008	Амилахвари, Гиви Иванович	P570	дата смерти	0	0	1943-11-15	0	0	0
[1981, 1983]	гидаспов борис	Q216713	Борис Вениаминович Гидаспов	P166	полученные награды	Государственная премия СССР	0	0	0	0	1981-01-01
[1977, 1981]	гидаша антал	Q1036137	Антал Гидаш	P570	дата смерти	0	0	1980-01-22	0	0	0
[1987, 1999]	гидон кремер	Q159915	Гидон Маркусович Кремер	P166	полученные награды	премия Леони Соннинг	0	0	0	0	1989-01-01
1997	гидон кремер	Q159915	Гидон Маркусович Кремер	P569	дата рождения	0	0	1947-02-27	0	0	0
[1970, 1972]	гидразид изоникотиновый	Q423169	Изониазид	P2175	применяется для лечения медицинского состояния	туберкулёз	0	0	1970-11-13	0	0
[1972, 1991]	гидроксид калий	Q132298	гидроксид калия	P31	это частный случай понятия	Generally recognized as safe	SCOGS report number	0	0	0	1976-01-01
[1972, 1991]	гидроксид калий	Q132298	гидроксид калия	P31	это частный случай понятия	Generally recognized as safe	SCOGS Type of Conclusion 1	0	0	0	1976-01-01
1933	гидрометеорологический институт	Q4331448	Одесский государственный экологический университет	P571	дата основания/создания/возникновения	0	0	1932-01-01	0	0	0
[1930, 1940]	гидрометеорологический институт	Q4398064	Российский государственный гидрометеорологический университет	P571	дата основания/создания/возникновения	0	0	1930-01-01	0	0	0
1930	гидротехнический институт	Q4331401	Одесская государственная академия строительства и архитектуры	P571	дата основания/создания/возникновения	0	0	1930-01-01	0	0	0
1929	гиждуванский район	Q2609341	Гиждуванский район	P131	административно-территориальная единица	Бухарский округ	0	0	1926-01-01	1929-01-01	0
1939	гиждуванский район	Q2609341	Гиждуванский район	P131	административно-территориальная единица	Бухарская область	0	0	1938-01-15	0	0
1930	гиждуванский район	Q2609341	Гиждуванский район	P131	административно-территориальная единица	Узбекская ССР	0	0	1930-01-01	1938-01-14	0
1970	гизелла лахман	Q4255340	Лахман, Гизелла Сигизмундовна	P570	дата смерти	0	0	1969-01-01	0	0	0
1939	гизо франсуа	Q157324	Франсуа Гизо	P39	занимаемая должность	депутат Национального собрания Франции	0	0	1837-12-18	1839-02-02	0
1939	гизо франсуа	Q157324	Франсуа Гизо	P39	занимаемая должность	депутат Национального собрания Франции	0	0	1839-04-04	1842-06-12	0
1985	гилберт кит	Q183167	Гилберт Кит Честертон	P1411	номинирован на	Нобелевская премия по литературе	0	0	0	0	1935-01-01
1988	гиль а	Q4138318	Гиль, Александр Васильевич	P570	дата смерти	0	0	1988-07-07	0	0	0
[2001, 2006]	гильденбург в	Q4138331	Владимир Гильденбург	P166	полученные награды	Заслуженный деятель науки Российской Федерации	0	0	0	0	2001-01-01
[2008, 2009]	гильдия киноактер	Q1518310	Премия Гильдии киноактёров США 2008 года	P585	момент времени	0	0	2008-01-01	0	0	0
