Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1985, 1988]	г каспаров	Q28614	Гарри Каспаров	P166	полученные награды	Шахматный Оскар	0.0	0	0	0	1986-01-01
[1985, 1988]	г каспаров	Q28614	Гарри Каспаров	P166	полученные награды	Шахматный Оскар	0.0	0	0	0	1987-01-01
[1985, 1988]	г каспаров	Q28614	Гарри Каспаров	P166	полученные награды	Шахматный Оскар	0.0	0	0	0	1985-01-01
[1985, 1988]	г каспаров	Q28614	Гарри Каспаров	P166	полученные награды	Чемпионы мира по шахматам	0.0	0	1985-01-01	2000-01-01	0
[1974, 1981]	г киссинджер	Q66107	Генри Киссинджер	P166	полученные награды	Вателеровская премия мира	0.0	0	0	0	1975-01-01
[1991, 2000]	г киссинджер	Q66107	Генри Киссинджер	P166	полученные награды	премия Эрика Варбурга	0.0	0	0	0	1992-01-01
[1974, 1981]	г киссинджер	Q66107	Генри Киссинджер	P166	полученные награды	кавалер Большого креста ордена «За заслуги перед Итальянской Республикой»	0.0	0	0	0	1976-11-10
[1974, 1981]	г киссинджер	Q66107	Генри Киссинджер	P39	занимаемая должность	государственный секретарь США	0.0	0	1973-09-22	1977-01-20	0
[1974, 1981]	г киссинджер	Q66107	Генри Киссинджер	P39	занимаемая должность	советник президента США по национальной безопасности	0.0	0	1969-01-20	1975-11-03	0
[1990, 1998]	г климов	Q3647668	Климов, Георгий Андреевич	P570	дата смерти	0	0.0	1997-04-29	0	0	0
2005	г козинцев	Q553072	Григорий Михайлович Козинцев	P569	дата рождения	0	0.0	1905-03-22	0	0	0
[1973, 1977]	г козинцев	Q553072	Григорий Михайлович Козинцев	P570	дата смерти	0	0.0	1973-05-11	0	0	0
[1989, 1991]	г кремер	Q159915	Гидон Маркусович Кремер	P166	полученные награды	премия Леони Соннинг	0.0	0	0	0	1989-01-01
[1976, 1977]	г кузнецова	Q4245103	Кузнецова, Галина Николаевна	P570	дата смерти	0	0.0	1976-02-08	0	0	0
1991	гкчп ссср	Q3684508	Государственный комитет по чрезвычайному положению	P571	дата основания/создания/возникновения	0	0.0	1991-08-18	0	0	0
1991	гкчп ссср	Q3684508	Государственный комитет по чрезвычайному положению	P576	дата прекращения существования	0	0.0	1991-08-20	0	0	0
