Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
1997	глава администрация	Q2741486	глава администрации Гонконга	P571	дата основания/создания/возникновения	0	0	1997-07-01	0	0	0
1997	глава город	Q19829755	глава города Вологды	P1308	должность занимает	Алексей Якуничев	0	0	1995-05-11	2008-07-05	0
[1956, 1968]	глава государство	Q1622311	Главы государства Мавритании	P571	дата основания/создания/возникновения	0	0	1961-08-20	0	0	0
[1991, 2009]	глава государство	Q1592282	Глава государства	P577	дата публикации	0	0	2003-11-27	0	0	0
[1991, 2009]	глава государство	Q1592282	Глава государства	P577	дата публикации	0	0	2003-03-28	0	0	0
[1983, 1987]	глава кабинет	Q2365600	Контора	P577	дата публикации	0	0	1985-01-01	0	0	0
[1991, 1999]	глава край	Q24933296	губернатор Красноярского края	P571	дата основания/создания/возникновения	0	0	1991-12-29	0	0	0
1923	глава правительство	Q462189	Главы правительства СССР	P571	дата основания/создания/возникновения	0	0	1922-12-30	0	0	0
[1991, 2001]	глава правительство	Q2741486	глава администрации Гонконга	P571	дата основания/создания/возникновения	0	0	1997-07-01	0	0	0
1923	глава правительство	Q1144716	премьер-министр Лихтенштейна	P571	дата основания/создания/возникновения	0	0	1921-03-02	0	0	0
1993	глава правительство	Q462189	Главы правительства СССР	P582	дата окончания	0	0	1991-12-25	0	0	0
[1984, 2007]	глава республика	Q4139086	глава Республики Бурятия	P571	дата основания/создания/возникновения	0	0	1994-07-01	0	0	0
2001	глава республика	Q16911974	Глава Удмуртской Республики	P571	дата основания/создания/возникновения	0	0	2000-11-03	0	0	0
[1984, 2007]	глава республика	Q3270400	глава Республики Адыгея	P571	дата основания/создания/возникновения	0	0	1992-01-05	0	0	0
[1984, 2007]	глава республика	Q2344821	глава Республики Дагестан	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
[1984, 2007]	глава республика	Q2030731	Главы Ингушетии после 1991 года	P571	дата основания/создания/возникновения	0	0	1993-02-18	0	0	0
[1984, 2007]	глава республика	Q4139090	глава Республики Саха (Якутия)	P571	дата основания/создания/возникновения	0	0	1991-01-01	0	0	0
[1984, 2007]	глава республика	Q16911984	глава Чувашской Республики	P571	дата основания/создания/возникновения	0	0	1994-01-21	0	0	0
[1984, 2007]	глава республика	Q3555636	глава Башкортостана	P571	дата основания/создания/возникновения	0	0	1993-12-24	0	0	0
[1984, 2007]	глава республика	Q4376683	глава Республики Тыва	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
