Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1962, 1966]	г николаев	Q312474	Андриян Григорьевич Николаев	P166	полученные награды	орден Сухэ-Батора	0	0	0	0	1965-01-01
[1962, 1966]	г николаев	Q312474	Андриян Григорьевич Николаев	P166	полученные награды	Лётчик-космонавт СССР	0	0	0	0	1962-01-01
[1962, 1966]	г николаев	Q312474	Андриян Григорьевич Николаев	P166	полученные награды	заслуженный мастер спорта СССР	0	0	0	0	1962-01-01
[1962, 1966]	г николаев	Q312474	Андриян Григорьевич Николаев	P166	полученные награды	орден Ленина	0	0	0	0	1962-08-18
[1962, 1966]	г николаев	Q312474	Андриян Григорьевич Николаев	P166	полученные награды	Герой Советского Союза	0	0	0	0	1962-08-18
[1962, 1966]	г николаев	Q312474	Андриян Григорьевич Николаев	P166	полученные награды	орден Правой руки Гуркки	0	0	0	0	1963-01-01
[1962, 1966]	г николаев	Q312474	Андриян Григорьевич Николаев	P166	полученные награды	медаль «Золотая Звезда»	0	0	0	0	1962-08-18
[1989, 1995]	г николаев	Q312474	Андриян Григорьевич Николаев	P166	полученные награды	медаль «За укрепление боевого содружества»	0	0	0	0	1991-02-18
[1962, 1966]	г николаев	Q312474	Андриян Григорьевич Николаев	P166	полученные награды	орден Знамени	0	0	0	0	1964-01-01
[1966, 1968]	гнат петрович	Q4534736	Юра, Гнат Петрович	P570	дата смерти	0	0	1966-01-18	0	0	0
[1966, 1967]	гнат юра	Q4534736	Юра, Гнат Петрович	P570	дата смерти	0	0	1966-01-18	0	0	0
[1972, 1974]	гнев божий	Q325662	Агирре, гнев божий	P577	дата публикации	0	0	1972-12-29	0	0	0
[1972, 1974]	гнев божий	Q27851	Гнев Божий	P580	дата начала	0	0	1972-01-01	0	0	0
[1985, 1987]	гнев день	Q4158200	День гнева	P577	дата публикации	0	0	1985-01-01	0	0	0
[2006, 2008]	гнев земля	Q2348678	Гнев земли	P577	дата публикации	0	0	2007-01-01	0	0	0
[2007, 2009]	гнездо птичий	Q133525	Национальный стадион	P1619	дата официального открытия	0	0	2008-03-01	0	0	0
[1985, 1991]	гнездо пустой	Q130346	Пустое гнездо	P580	дата начала	0	0	1988-10-08	0	0	0
