Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1978, 1980]	го оно	Q11463932	Оно, Го	P569	дата рождения	0	0	1978-05-06	0	0	0
[2002, 2004]	го российский	Q4398002	Российская федерация го	P571	дата основания/создания/возникновения	0	0	2002-01-01	0	0	0
[1976, 1981]	го ссср	Q726762	Русское географическое общество	P488	руководитель	Трёшников, Алексей Фёдорович	0	0	1977-01-01	1991-01-01	0
[1962, 1968]	го ссср	Q726762	Русское географическое общество	P488	руководитель	Евгений Никанорович Павловский	0	0	1952-01-01	1964-01-01	0
[1976, 1981]	го ссср	Q726762	Русское географическое общество	P488	руководитель	Станислав Викентьевич Калесник	0	0	1964-01-01	1977-01-01	0
[1984, 1988]	го тина	Q7807904	Тина Го	P569	дата рождения	0	0	1985-10-28	0	0	0
[1936, 1941]	говард и	Q207640	Роберт Ирвин Говард	P570	дата смерти	0	0	1936-06-11	0	0	0
[1997, 1998]	говард скотт	Q967078	Скотт, Говард	P166	полученные награды	литературная премия генерал-губернатора Канады	0	0	0	0	1997-01-01
[2002, 2006]	говард фаст	Q380202	Фаст, Говард Мелвин	P570	дата смерти	0	0	2003-03-12	0	0	0
[1996, 2002]	говорить как	Q1525008	Как говорит Джинджер	P580	дата начала	0	0	2000-10-25	0	0	0
[1996, 2002]	говорить как	Q1525008	Как говорит Джинджер	P577	дата публикации	0	0	2000-01-01	0	0	0
[1988, 1993]	говорить кто	Q1324330	Посмотри, кто говорит	P577	дата публикации	0	0	1989-10-13	0	0	0
[1988, 1993]	говорить кто	Q1324330	Посмотри, кто говорит	P577	дата публикации	0	0	1990-05-03	0	0	0
[1997, 2007]	говорить москва	Q4140884	Говорит Москва (радиостанция)	P571	дата основания/создания/возникновения	0	0	1997-09-01	0	0	0
[1984, 1986]	говорить москва	Q4140885	Говорит Москва	P577	дата публикации	0	0	1985-01-01	0	0	0
[1947, 1948]	говорить память	Q1952312	Память, говори	P571	дата основания/создания/возникновения	0	0	1947-01-01	0	0	0
[1999, 2003]	говорить пусть	Q4310146	Пусть говорят	P162	продюсер	Кривцова, Лариса Валентиновна	0	0	0	0	2001-01-01
[1999, 2003]	говорить пусть	Q4310146	Пусть говорят	P580	дата начала	0	0	2001-07-23	0	0	0
[1954, 1958]	говоров а	Q48134	Говоров, Леонид Александрович	P570	дата смерти	0	0	1955-03-19	0	0	0
[1953, 1957]	говоров л	Q48134	Говоров, Леонид Александрович	P570	дата смерти	0	0	1955-03-19	0	0	0
[1987, 1999]	говорухин с	Q1377159	Станислав Сергеевич Говорухин	P166	полученные награды	премия «Ника» за лучшую режиссуру	0	0	0	0	1990-01-01
[1987, 1999]	говорухин с	Q1377159	Станислав Сергеевич Говорухин	P39	занимаемая должность	депутат Государственной думы РФ	0	0	1994-01-11	2018-06-14	0
[1987, 1999]	говорухин с	Q1377159	Станислав Сергеевич Говорухин	P1411	номинирован на	Премия «Ника» за лучший неигровой фильм	0	0	0	0	1990-01-01
[1987, 1999]	говорухин с	Q1377159	Станислав Сергеевич Говорухин	P1411	номинирован на	Премия «Ника» за лучшую сценарную работу	0	0	0	0	1990-01-01
[1987, 1999]	говорухин с	Q1377159	Станислав Сергеевич Говорухин	P166	полученные награды	Премия «Ника» за лучшую сценарную работу	0	0	0	0	1990-01-01
[1987, 1999]	говорухин с	Q1377159	Станислав Сергеевич Говорухин	P166	полученные награды	Премия «Ника» за лучший неигровой фильм	0	0	0	0	1990-01-01
[1987, 1999]	говорухин с	Q1377159	Станислав Сергеевич Говорухин	P166	полученные награды	Q54987172	0	0	0	0	1990-01-01
[1991, 2000]	говорухин станислав	Q1377159	Станислав Сергеевич Говорухин	P39	занимаемая должность	депутат Государственной думы РФ	0	0	1994-01-11	2018-06-14	0
[1988, 1992]	говорящий обезьяна	Q4140932	Говорящая обезьяна	P577	дата публикации	0	0	1991-01-01	0	0	0
[1987, 1997]	гога и	Q4495806	Хареба и Гоги	P577	дата публикации	0	0	1987-01-01	0	0	0
[1974, 1978]	гоголева елена	Q4141010	Елена Николаевна Гоголева	P166	полученные награды	орден Ленина	0	0	0	0	1974-11-04
[1974, 1978]	гоголева елена	Q4141010	Елена Николаевна Гоголева	P166	полученные награды	Герой Социалистического Труда	0	0	0	0	1974-11-04
[1974, 1978]	гоголева елена	Q4141010	Елена Николаевна Гоголева	P166	полученные награды	медаль «Серп и Молот»	0	0	0	0	1974-11-04
[1952, 1953]	гоголевский в	Q4141029	Гоголевский, Александр Владимирович	P569	дата рождения	0	0	1952-11-11	0	0	0
[1931, 1932]	гоголь николай	Q43718	Николай Васильевич Гоголь	P119	место погребения	Новодевичье кладбище	0	0	1931-05-31	0	0
[2007, 2008]	год апрель	Q235743	Апрель 2007 года	P585	момент времени	0	0	2007-04-01	0	0	0
[1991, 1997]	год високосный	Q4112230	Високосный год	P17	государство	Россия	0	0	1991-01-01	0	0
