Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[2006, 2008]	граб кавказский	Q158776	Граб обыкновенный	P166	полученные награды	Дерево года	0	0	0	0	2007-01-01
[2003, 2008]	граб обыкновенный	Q158776	Граб обыкновенный	P166	полученные награды	Дерево года	0	0	0	0	2007-01-01
[1982, 1997]	грабитель и	Q4329111	Обезьянки	P580	дата начала	0	0	1983-01-01	0	0	0
[1982, 1997]	грабитель и	Q4329111	Обезьянки	P577	дата публикации	0	0	1983-01-01	0	0	0
[2006, 2009]	гравилат речной	Q161625	гравилат речной	P166	полученные награды	Flower of the Year Campaign in Germany	0	0	0	0	2007-01-01
[1990, 1994]	град камень	Q2252534	Град камней	P577	дата публикации	0	0	1993-01-01	0	0	0
[1987, 1995]	град обреченный	Q337347	Град обреченный	P577	дата публикации	0	0	1988-01-01	0	0	0
[1990, 2001]	град петров	Q656	Санкт-Петербург	P31	это частный случай понятия	второй по величине город	Россия	0	1991-01-01	0	0
[1990, 2001]	град петров	Q656	Санкт-Петербург	P6	глава правительства	Анатолий Александрович Собчак	0	0	1991-01-01	1996-01-01	0
[1990, 2001]	град петров	Q656	Санкт-Петербург	P131	административно-территориальная единица	Российская Советская Федеративная Социалистическая Республика	0	0	1922-12-30	1991-12-25	0
[1990, 2001]	град петров	Q656	Санкт-Петербург	P131	административно-территориальная единица	Россия	0	0	1991-12-25	0	0
[1990, 2001]	град петров	Q656	Санкт-Петербург	P6	глава правительства	Владимир Анатольевич Яковлев	0	0	1996-01-01	2003-01-01	0
[1941, 1944]	град петров	Q656	Санкт-Петербург	P31	это частный случай понятия	город-миллионер	0	0	1923-01-01	1942-01-01	0
[1990, 2001]	град петров	Q656	Санкт-Петербург	P17	государство	СССР	0	0	1922-12-30	1991-12-25	0
[1990, 2001]	град петров	Q656	Санкт-Петербург	P17	государство	Россия	0	0	1991-12-25	0	0
[1990, 2001]	град петров	Q656	Санкт-Петербург	P138	названо в честь	Владимир Ильич Ленин	0	0	1924-01-26	1991-09-06	0
[1990, 2001]	град петров	Q656	Санкт-Петербург	P31	это частный случай понятия	второй по величине город	СССР	0	1922-01-01	1991-01-01	0
[1990, 2001]	град петров	Q656	Санкт-Петербург	P1376	является столицей	Северо-Западный федеральный округ	0	0	2000-05-13	0	0
[1934, 1938]	градижский район	Q12097392	Градижский район	P131	административно-территориальная единица	Полтавская область	0	0	1937-09-22	1962-12-30	0
[1934, 1938]	градижский район	Q12097392	Градижский район	P131	административно-территориальная единица	Харьковская область	0	0	1932-02-27	1937-09-21	0
[1934, 1940]	гражданин великий	Q4106580	Великий гражданин	P577	дата публикации	0	0	1938-01-01	0	0	0
[1934, 1940]	гражданин великий	Q4106580	Великий гражданин	P577	дата публикации	0	0	1939-01-01	0	0	0
[1923, 1925]	гражданский война	Q748042	Гражданская война в Ирландии	P582	дата окончания	0	0	1923-05-24	0	0	0
[1949, 1951]	гражданский война	Q179975	Гражданская война в Китае	P582	дата окончания	0	0	1950-05-01	0	0	0
[1956, 1973]	гражданский действие	Q5124383	медаль «За гражданские действия»	P571	дата основания/создания/возникновения	0	0	1964-05-12	0	0	0
[1989, 1998]	гражданский демократический	Q828099	Гражданская демократическая партия	P571	дата основания/создания/возникновения	0	0	1991-04-21	0	0	0
[1989, 1998]	гражданский демократический	Q828099	Гражданская демократическая партия	P488	руководитель	Вацлав Клаус	0	0	1991-01-01	2002-01-01	0
[1948, 1952]	гражданский за	Q2021047	орден «За гражданские заслуги»	P571	дата основания/создания/возникновения	0	0	1951-12-22	0	0	0
[1964, 1967]	гражданский за	Q5124383	медаль «За гражданские действия»	P571	дата основания/создания/возникновения	0	0	1964-05-12	0	0	0
[2003, 2004]	гражданский заслуга	Q206963	орден «За гражданские заслуги»	P571	дата основания/создания/возникновения	0	0	2003-06-13	0	0	0
[1989, 1997]	гражданский заслуга	Q12735313	медаль «За гражданские заслуги»	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
[1999, 2003]	гражданский иск	Q206886	Гражданский иск	P577	дата публикации	0	0	1999-04-22	0	0	0
[1989, 2001]	гражданский кодекс	Q2975523	Гражданский кодекс Квебека	P793	ключевое событие	coming into force	0	0	0	0	1994-01-01
[1983, 2002]	гражданский контроль	Q4147560	Гражданский контроль	P571	дата основания/создания/возникновения	0	0	1992-01-01	0	0	0
[1943, 1945]	гражданский милиция	Q1934774	Гражданская милиция	P571	дата основания/создания/возникновения	0	0	1944-01-01	0	0	0
[1984, 1985]	гражданский оборона	Q912340	Гражданская оборона	P571	дата основания/создания/возникновения	0	0	1984-01-01	0	0	0
[1930, 1931]	гражданский партия	Q474074	Гражданская партия	P576	дата прекращения существования	0	0	1930-01-01	0	0	0
[1998, 2004]	гражданский партия	Q828099	Гражданская демократическая партия	P488	руководитель	Тополанек, Мирек	0	0	2002-01-01	2010-01-01	0
