Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1994, 1999]	г титов	Q152298	Герман Степанович Титов	P166	полученные награды	орден «За заслуги перед Отечеством» III степени	0.0	0	0	0	1995-09-07
[1961, 1962]	г титов	Q152298	Герман Степанович Титов	P166	полученные награды	заслуженный мастер спорта СССР	0.0	0	0	0	1961-01-01
[1961, 1962]	г титов	Q152298	Герман Степанович Титов	P166	полученные награды	орден Ленина	0.0	0	0	0	1961-06-17
[1961, 1962]	г титов	Q152298	Герман Степанович Титов	P166	полученные награды	медаль «За освоение целинных земель»	0.0	0	0	0	1961-08-01
[1961, 1962]	г титов	Q152298	Герман Степанович Титов	P166	полученные награды	орден Ленина	0.0	0	0	0	1961-08-09
[1961, 1962]	г титов	Q152298	Герман Степанович Титов	P166	полученные награды	Герой Советского Союза	0.0	0	0	0	1961-08-09
[1961, 1962]	г титов	Q152298	Герман Степанович Титов	P166	полученные награды	орден Карла Маркса	0.0	0	0	0	1961-09-01
[1961, 1962]	г титов	Q152298	Герман Степанович Титов	P166	полученные награды	орден Звезды Социалистической Республики Румыния	0.0	0	0	0	1961-10-14
[1961, 1962]	г титов	Q152298	Герман Степанович Титов	P166	полученные награды	медаль «Золотая Звезда»	0.0	0	0	0	1961-08-09
[1961, 1962]	г титов	Q152298	Герман Степанович Титов	P166	полученные награды	орден Сухэ-Батора	0.0	0	0	0	1961-12-10
[1994, 1999]	г титов	Q152298	Герман Степанович Титов	P166	полученные награды	Почётный знак отличия Президента Украины	0.0	0	0	0	1995-04-11
[1961, 1962]	г титов	Q152298	Герман Степанович Титов	P166	полученные награды	Герой Монгольской Народной Республики	0.0	0	0	0	1961-12-10
