Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1980, 1999]	г уэллс	Q42511	Герберт Уэллс	P166	полученные награды	Science Fiction and Fantasy Hall of Fame	0	0	0	0	1997-01-01
[2001, 2007]	гуантанамо в	Q357	тюрьма в Гуантанамо	P571	дата основания/создания/возникновения	0	0	2002-01-01	0	0	0
[2007, 2008]	губайдулина с	Q165668	Губайдулина, София Асгатовна	P166	полученные награды	Гамбургская премия имени Баха	0	0	0	0	2007-01-01
[2005, 2008]	губанов иван	Q18720613	Иван Алексеевич Губанов	P570	дата смерти	0	0	2005-02-12	0	0	0
[1978, 1980]	губарев а	Q465748	Алексей Александрович Губарев	P166	полученные награды	медаль «Золотая Звезда»	0	0	0	0	1978-03-16
[1978, 1980]	губарев а	Q465748	Алексей Александрович Губарев	P166	полученные награды	орден Клемента Готвальда	0	0	0	0	1978-03-16
[1955, 1960]	губарев а	Q465748	Алексей Александрович Губарев	P166	полученные награды	медаль «Китайско-советская дружба»	0	0	0	0	1955-01-01
[1978, 1980]	губарев а	Q465748	Алексей Александрович Губарев	P166	полученные награды	Герой Советского Союза	0	0	0	0	1978-03-16
[1978, 1980]	губарев а	Q465748	Алексей Александрович Губарев	P166	полученные награды	Герой ЧССР	0	0	0	0	1978-03-16
[1975, 1981]	губарев алексей	Q465748	Алексей Александрович Губарев	P166	полученные награды	медаль «Золотая Звезда»	0	0	0	0	1978-03-16
[1975, 1981]	губарев алексей	Q465748	Алексей Александрович Губарев	P166	полученные награды	Герой ЧССР	0	0	0	0	1978-03-16
[1975, 1981]	губарев алексей	Q465748	Алексей Александрович Губарев	P166	полученные награды	Герой Советского Союза	0	0	0	0	1975-02-12
[1975, 1981]	губарев алексей	Q465748	Алексей Александрович Губарев	P166	полученные награды	орден Ленина	0	0	0	0	1975-02-12
[1975, 1981]	губарев алексей	Q465748	Алексей Александрович Губарев	P166	полученные награды	медаль «Золотая Звезда»	0	0	0	0	1975-02-12
[1975, 1981]	губарев алексей	Q465748	Алексей Александрович Губарев	P166	полученные награды	Герой Советского Союза	0	0	0	0	1978-03-16
[1975, 1981]	губарев алексей	Q465748	Алексей Александрович Губарев	P166	полученные награды	орден Клемента Готвальда	0	0	0	0	1978-03-16
[1953, 1957]	губарь и	Q4151299	Губарь, Олег Иосифович	P569	дата рождения	0	0	1953-11-16	0	0	0
[1967, 1969]	губельман моисей	Q16640473	Губельман, Моисей Израилевич	P570	дата смерти	0	0	1968-01-12	0	0	0
[1946, 1950]	губернатор александр	Q4067092	Александр Николаевич  Антипов	P569	дата рождения	0	0	1949-03-10	0	0	0
[1997, 2001]	губернатор гонконг	Q1159846	губернатор Гонконга	P576	дата прекращения существования	0	0	1997-06-30	0	0	0
[1967, 1969]	губернатор джорджия	Q880198	Список губернаторов Джорджии	P263	официальная резиденция	Georgia Governor's Mansion	0	0	1968-01-01	0	0
[1991, 2006]	губернатор край	Q24933296	губернатор Красноярского края	P571	дата основания/создания/возникновения	0	0	1991-12-29	0	0	0
[1991, 2006]	губернатор край	Q5589671	глава администрации Краснодарского края	P571	дата основания/создания/возникновения	0	0	1991-01-01	0	0	0
[1991, 2001]	губернатор нижегородский	Q4151336	губернатор Нижегородской области	P571	дата основания/создания/возникновения	0	0	1991-11-30	0	0	0
[1991, 2002]	губернатор область	Q15141324	Одесская областная государственная администрация	P571	дата основания/создания/возникновения	0	0	1995-07-07	0	0	0
[1991, 2002]	губернатор область	Q4151336	губернатор Нижегородской области	P571	дата основания/создания/возникновения	0	0	1991-11-30	0	0	0
[1991, 2002]	губернатор область	Q4139100	Глава администрации Липецкой области	P571	дата основания/создания/возникновения	0	0	1991-01-01	0	0	0
[1946, 1951]	губернатор провинция	Q3695540	губернатор провинции Пенджаб	P571	дата основания/создания/возникновения	0	0	1947-08-15	0	0	0
[2002, 2003]	губернатор штат	Q18727717	губернатор Гоа	P1308	должность занимает	Kidar Nath Sahani	0	0	2002-10-26	2004-02-07	0
[1982, 1984]	губернатор штат	Q18727576	губернатор Махараштры	P1308	должность занимает	Om Prakash Mehra	0	0	1980-11-03	1982-03-05	0
