Year or Period	Bigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1943, 1945]	гвардейский армия	Q4031636	5-я гвардейская армия	P571	дата основания/создания/возникновения	0	0	1943-01-01	0	0	0
[1943, 1945]	гвардейский армия	Q4031230	4-я гвардейская армия	P571	дата основания/создания/возникновения	0	0	1943-04-16	0	0	0
1961	гвинейский республика	Q1006	Гвинея	P463	участник организации или клуба	Геркон	0	0	1959-03-09	0	0
[1956, 1964]	гвинейский республика	Q1006	Гвинея	P463	участник организации или клуба	Международный банк реконструкции и развития	0	0	1963-09-28	0	0
[1999, 2001]	гвинейский республика	Q1006	Гвинея	P463	участник организации или клуба	AFRISTAT	0	0	2000-01-01	0	0
1961	гвинейский республика	Q1006	Гвинея	P463	участник организации или клуба	ЮНЕСКО	0	0	1960-02-02	0	0
[1956, 1964]	гвинейский республика	Q1006	Гвинея	P463	участник организации или клуба	Организация Объединённых Наций	0	0	1958-12-12	0	0
[1956, 1964]	гвинейский республика	Q1006	Гвинея	P463	участник организации или клуба	Африканский союз	0	0	1963-01-01	0	0
[1956, 1964]	гвинейский республика	Q1006	Гвинея	P571	дата основания/создания/возникновения	0	0	1958-01-01	0	0	0
1992	г владивосток	Q959	Владивосток	P17	государство	Россия	0	0	1991-12-25	0	0
1992	г владивосток	Q959	Владивосток	P17	государство	СССР	0	0	1922-12-30	1991-12-25	0
[1979, 1996]	г владивосток	Q959	Владивосток	P166	полученные награды	орден Ленина	0	0	0	0	1985-01-01
1993	г владивосток	Q959	Владивосток	P6	глава правительства	Виктор Иванович Черепков	0	0	1993-06-26	1994-03-16	0
1944	гвоздев а	Q4134530	Гвоздев, Алексей Владимирович	P569	дата рождения	0	0	1943-11-14	0	0	0
[1943, 1944]	гвоздев в	Q4134530	Гвоздев, Алексей Владимирович	P569	дата рождения	0	0	1943-11-14	0	0	0
[2001, 2002]	гвидо де	Q167724	Гвидо де Марко	P166	полученные награды	honorary doctor of the China Foreign Affairs University	0	0	0	0	2001-01-01
1940	гвидо де	Q1553514	Де Россо, Гвидо	P569	дата рождения	0	0	1940-09-28	0	0	0
[2001, 2002]	гвидо де	Q167724	Гвидо де Марко	P166	полученные награды	Большой крест в специальном исполнении ордена «За заслуги перед Федеративной Республикой Германия»	0	0	0	0	2001-01-01
[2004, 2005]	гвидо де	Q167724	Гвидо де Марко	P39	занимаемая должность	президент Мальты	0	0	1999-04-04	2004-04-04	0
1940	гвидо де	Q3779253	Джорджио, Гвидо Де	P569	дата рождения	0	0	1890-10-03	0	0	0
[1988, 1991]	гвидо де	Q167724	Гвидо де Марко	P39	занимаемая должность	председатель Генеральной Ассамблеи ООН	0	0	1990-01-01	1991-01-01	0
1980	гвишиани д	Q4134515	Гвишиани, Дмитрий Борисович	P569	дата рождения	0	0	1978-11-05	0	0	0
1944	гвардейский знак	Q15902840	знак «Гвардия»	P571	дата основания/создания/возникновения	0	0	1942-05-21	0	0	0
[1999, 2000]	гвиана французский	Q3769	Французская Гвиана	P38	денежная единица	евро	0	0	1999-01-01	0	0
1961	гвинейский франк	Q213311	Гвинейский франк	P580	дата начала	0	0	1959-01-01	0	0	0
1941	гвардия советский	Q2305012	Советская гвардия	P571	дата основания/создания/возникновения	0	0	1941-09-18	0	0	0
1924	гвардейский школа	Q3577830	Николаевское кавалерийское училище	P571	дата основания/создания/возникновения	0	0	1824-01-01	0	0	0
1999	г васильев	Q4104594	Георгий Николаевич Васильев	P569	дата рождения	0	0	1899-11-25	0	0	0
1999	г васильев	Q4104589	Васильев, Геннадий Андреевич	P39	занимаемая должность	народный депутат Украины	0	0	1998-05-12	2002-05-14	0
1996	г васильев	Q4104594	Георгий Николаевич Васильев	P570	дата смерти	0	0	1946-06-18	0	0	0
1996	г васильев	Q4104589	Васильев, Геннадий Андреевич	P39	занимаемая должность	народный депутат Украины	0	0	1994-07-24	1998-05-12	0
1957	гвидо шмидт	Q86772	Гвидо Шмидт	P570	дата смерти	0	0	1957-12-05	0	0	0
1955	гвидо шмидт	Q1553664	Гвидо Шмидт	P39	занимаемая должность	assistant judge	German Supreme Court Panel I	0	1951-01-01	1953-01-01	0
[1971, 1972]	гвидо шмидт	Q1553664	Гвидо Шмидт	P570	дата смерти	0	0	1971-02-28	0	0	0
1944	гвоздев алексей	Q4134530	Гвоздев, Алексей Владимирович	P569	дата рождения	0	0	1943-11-14	0	0	0
1940	гвардия великий	Q1465719	Албанская фашистская партия	P571	дата основания/создания/возникновения	0	0	1939-06-02	0	0	0
1997	г волчек	Q4124226	Галина Борисовна Волчек	P166	полученные награды	орден «За заслуги перед Отечеством» III степени	0	0	0	0	1996-01-01
[1988, 2000]	г волчек	Q4124226	Галина Борисовна Волчек	P166	полученные награды	орден Дружбы народов	0	0	0	0	1993-01-01
[1988, 2000]	г волчек	Q4124226	Галина Борисовна Волчек	P166	полученные награды	народный артист СССР	0	0	0	0	1989-01-01
