Year or Period	Unigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
1944	армия	Q11658655	Армия	P577	дата публикации	0	0	1944-01-01	0	0	0
[1998, 2003]	академия	Q4206611	кабаре-дуэт «Академия»	P576	дата прекращения существования	0	0	2000-01-01	0	0	0
1992	академия	Q2630880	Академия	P571	дата основания/создания/возникновения	0	0	1991-01-01	0	0	0
[2006, 2007]	академия	Q893149	Академия УТМ	P571	дата основания/создания/возникновения	0	0	2006-01-01	0	0	0
[1998, 2003]	академия	Q4671329	Академия	P571	дата основания/создания/возникновения	0	0	2000-01-01	0	0	0
[1998, 2003]	академия	Q21660439	Академия	P571	дата основания/создания/возникновения	0	0	1998-01-01	0	0	0
[2000, 2009]	январь	Q108	январь	P138	названо в честь	Сапармурат Атаевич Ниязов	0	0	2002-08-10	2008-07-01	0
[1941, 1942]	август	Q464763	Августов	P17	государство	СССР	0	0	1939-10-01	1941-06-01	0
[1991, 1998]	август	Q3313837	Август	P577	дата публикации	0	0	1996-01-01	0	0	0
[2001, 2005]	август	Q122	август	P138	названо в честь	Алп-Арслан	0	0	2002-08-10	2008-07-01	0
[1941, 1942]	август	Q464763	Августов	P131	административно-территориальная единица	Белорусская Советская Социалистическая Республика	0	0	1939-01-01	1941-01-01	0
[2000, 2006]	апрель	Q4068222	Апрель	P577	дата публикации	0	0	2001-01-01	0	0	0
[2001, 2005]	александр	Q162277	Александр	P577	дата публикации	0	0	2004-11-24	0	0	0
[2001, 2005]	александр	Q162277	Александр	P577	дата публикации	0	0	2004-11-26	0	0	0
[2001, 2005]	александр	Q162277	Александр	P577	дата публикации	0	0	2004-12-23	0	0	0
[1941, 1945]	александр	Q17494989	Александр	P570	дата смерти	0	0	1942-08-01	0	0	0
[1980, 1998]	александр	Q1997113	Александр	P570	дата смерти	0	0	1983-05-26	0	0	0
[2001, 2005]	александр	Q162277	Александр	P577	дата публикации	0	0	2004-11-16	0	0	0
1993	александр	Q4307033	Александр	P570	дата смерти	0	0	1943-05-31	0	0	0
[1980, 1998]	александр	Q1997113	Александр	P570	дата смерти	0	0	1983-05-06	0	0	0
[1960, 1964]	америка	Q30	США	P6	глава правительства	Линдон Джонсон	0	0	1963-11-22	1969-01-20	0
[1981, 1985]	америка	Q30	США	P6	глава правительства	Рональд Рейган	0	0	1981-01-20	1989-01-20	0
[1999, 2003]	америка	Q30	США	P6	глава правительства	Джордж Уокер Буш	0	0	2001-01-20	2009-01-20	0
[1960, 1964]	америка	Q30	США	P6	глава правительства	Джон Фицджеральд Кеннеди	0	0	1961-01-20	1963-11-22	0
[1999, 2003]	америка	Q30	США	P6	глава правительства	Билл Клинтон	0	0	1993-01-20	2001-01-20	0
[1993, 1997]	америка	Q30	США	P6	глава правительства	Джордж Герберт Уокер Буш	0	0	1989-01-20	1993-01-20	0
