Year or Period	Unigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
[1993, 2004]	дело	Q1805106	Дело	P571	дата основания/создания/возникновения	0	0	1995-07-28	0	0	0
1997	друг	Q79784	Друзья	P166	полученные награды	Primetime Emmy Award for Outstanding Directing for a Comedy Series	0	0	0	0	1996-01-01
1997	друг	Q79784	Друзья	P166	полученные награды	Премия Гильдии киноактёров США за лучший актёрский состав в комедийном сериале	0	0	0	0	1996-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	TCA Award for Outstanding Achievement in Comedy	0	0	0	0	1995-01-01
[1979, 1997]	друг	Q79784	Друзья	P580	дата начала	0	0	1994-09-22	0	0	0
1997	друг	Q79784	Друзья	P1411	номинирован на	Directors Guild of America Award for Outstanding Directing – Comedy Series	0	0	0	0	1995-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Премия «Эмми» за лучшую мужскую роль второго плана в комедийном телесериале	0	0	0	0	1995-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Премия «Эмми» в категории «Лучшая приглашённая актриса в комедийном телесериале»	0	0	0	0	1995-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	премия «Эмми» за лучшую женскую роль второго плана в комедийном телесериале	0	0	0	0	1995-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Primetime Emmy Award for Outstanding Main Title Theme Music	0	0	0	0	1995-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Primetime Emmy Award for Outstanding Writing for a Comedy Series	0	0	0	0	1995-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Primetime Emmy Award for Outstanding Directing for a Comedy Series	0	0	0	0	1995-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Премия «Эмми» за лучший комедийный сериал	0	0	0	0	1995-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	премия «Эмми» за лучшую женскую роль второго плана в комедийном телесериале	0	0	0	0	1997-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Golden Raspberry Award for Worst New Star	0	0	0	0	1996-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Премия «Золотой глобус» за лучший телевизионный сериал — комедия или мюзикл	0	0	0	0	1995-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Премия Гильдии киноактёров США за лучшую женскую роль в комедийном сериале	0	0	0	0	1996-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Primetime Emmy Award for Outstanding Directing for a Comedy Series	0	0	0	0	1996-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Премия «Золотой глобус» за лучший телевизионный сериал — комедия или мюзикл	0	0	0	0	1996-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Премия Гильдии киноактёров США за лучший актёрский состав в комедийном сериале	0	0	0	0	1996-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Премия «Эмми» в категории «Лучшая приглашённая актриса в комедийном телесериале»	0	0	0	0	1996-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Премия «Золотой глобус» за лучший телевизионный сериал — комедия или мюзикл	0	0	0	0	1997-01-01
1997	друг	Q79784	Друзья	P1411	номинирован на	Kids' Choice Award for Favorite TV Actress	0	0	0	0	1997-01-01
