Year or Period	Unigram	#Q	Subject	#P	Predicate	Object	Organization	Just Date	Start Time	End Time	Time Point
1997	гааг	Q36600	Гаага	P6	глава правительства	Виллем Виссер	0	0	1947-01-01	1949-01-01	0
[1940, 1942]	гааг	Q36600	Гаага	P6	глава правительства	Salomon Jean René de Monchy	0	0	1934-01-01	1940-01-01	0
1997	гааг	Q36600	Гаага	P6	глава правительства	Ad Havermans	0	0	1985-01-01	1996-01-01	0
[1940, 1942]	гааг	Q36600	Гаага	P6	глава правительства	Cornelis Lodewijk van der Bilt	0	0	1940-01-01	1942-01-01	0
1997	гааг	Q36600	Гаага	P6	глава правительства	Wim Deetman	0	0	1996-12-01	2008-01-01	0
[1956, 1958]	гааг	Q36600	Гаага	P6	глава правительства	Frans Schokking	0	0	1949-01-01	1957-01-01	0
[1956, 1958]	гааг	Q36600	Гаага	P6	глава правительства	Hans Kolfschoten	0	0	1957-01-01	1968-01-01	0
[1981, 1982]	габайдулин	Q4130845	Габайдулин, Геннадий Габайдулович	P570	дата смерти	0	0	1981-05-14	0	0	0
1964	габайдулин	Q4130845	Габайдулин, Геннадий Габайдулович	P569	дата рождения	0	0	1914-06-15	0	0	0
[1960, 1962]	габба	Q4130855	Габбе, Тамара Григорьевна	P570	дата смерти	0	0	1960-03-02	0	0	0
1953	габба	Q4130855	Габбе, Тамара Григорьевна	P569	дата рождения	0	0	1903-03-16	0	0	0
[1987, 1991]	габбер	Q724755	Габбер	P571	дата основания/создания/возникновения	0	0	1990-01-01	0	0	0
2006	габи	Q358688	Габи	P54	член спортивной команды	молодёжная сборная Испании по футболу	0	0	2005-01-01	2005-01-01	0
2006	габи	Q358688	Габи	P54	член спортивной команды	Атлетико Мадрид	0	0	2004-01-01	2007-01-01	0
[1929, 1932]	габи	Q142077	(1665) Габи	P575	дата открытия	0	0	1930-02-27	0	0	0
2006	габи	Q5515392	Габи	P569	дата рождения	0	0	2005-12-10	0	0	0
2006	габи	Q358688	Габи	P54	член спортивной команды	Атлетико Мадрид Б	0	0	2002-01-01	2004-01-01	0
2006	габи	Q358688	Габи	P54	член спортивной команды	Хетафе	0	0	2004-01-01	2005-01-01	0
2006	габи	Q358688	Габи	P54	член спортивной команды	молодёжная сборная Испании по футболу	0	0	2004-01-01	2005-01-01	0
1987	габидулин	Q4130888	Габидулин, Эрнст Мухамедович	P569	дата рождения	0	0	1937-06-04	0	0	0
[1958, 1960]	габить	Q555750	Габима	P166	полученные награды	Премия Израиля	0	0	0	0	1958-01-01
[2001, 2002]	габлица	Q665086	Габлиц	P463	участник организации или клуба	Climate Alliance	0	0	2001-01-01	0	0
1962	габон	Q1000	Габон	P463	участник организации или клуба	ЮНЕСКО	0	0	1960-11-16	0	0
1962	габон	Q1000	Габон	P463	участник организации или клуба	Организация Объединённых Наций	0	0	1960-09-20	0	0
1962	габон	Q1000	Габон	P530	дипломатические отношения	Германия	0	0	1960-01-01	0	0
1963	габон	Q1000	Габон	P463	участник организации или клуба	Международный банк реконструкции и развития	0	0	1963-09-10	0	0
[2003, 2005]	габон	Q1000	Габон	P463	участник организации или клуба	Многостороннее агентство по гарантиям инвестиций	0	0	2003-03-26	0	0
1963	габон	Q1000	Габон	P463	участник организации или клуба	Международная ассоциация развития	0	0	1963-11-04	0	0
1962	габон	Q1000	Габон	P463	участник организации или клуба	Международный союз электросвязи	0	0	1960-12-28	0	0
1962	габон	Q1000	Габон	P35	глава государства	Мба, Леон	0	0	1961-02-12	1967-11-27	0
1962	габон	Q1000	Габон	P571	дата основания/создания/возникновения	0	0	1960-01-01	0	0	0
1976	габрово	Q147529	(2206) Габрова	P575	дата открытия	0	0	1976-04-01	0	0	0
1943	гавайи	Q156418	Королевство Гавайи	P576	дата прекращения существования	0	0	1893-01-01	0	0	0
[2003, 2006]	гавань	Q94284	Гавань	P577	дата публикации	0	0	2004-01-01	0	0	0
[1948, 1951]	гавриил	Q38640	Гавриил	P569	дата рождения	0	0	1950-07-16	0	0	0
[1988, 1997]	гавриил	Q12275925	Гавриил	P570	дата смерти	0	0	1996-03-04	0	0	0
1995	гавриил	Q3651004	Гавриил	P570	дата смерти	0	0	1995-11-02	0	0	0
[2004, 2005]	гаврилково	Q4131136	Гаврилково	P131	административно-территориальная единица	Пигулинское сельское поселение	0	0	2004-12-02	0	0
1929	гаврилов	Q13667490	Гаврилово	P131	административно-территориальная единица	Лотошинская волость	0	0	1919-01-01	1929-01-01	0
[2002, 2007]	гавриловка	Q4131233	Гавриловка	P131	административно-территориальная единица	Савеевское сельское поселение	0	0	2004-12-02	0	0
[1927, 1930]	гавриловка	Q4131240	Гавриловка	P571	дата основания/создания/возникновения	0	0	1929-01-01	0	0	0
1977	гаврюшов	Q4131353	Гаврюшов, Андрей Валерьевич	P569	дата рождения	0	0	1977-09-24	0	0	0
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	Лётчик-космонавт СССР	0	0	0	0	1961-06-27
1962	гагарин	Q7327	Юрий Алексеевич Гагарин	P410	воинское звание	подполковник	0	0	1962-06-12	1963-11-06	0
[1961, 1965]	гагарин	Q7327	Юрий Алексеевич Гагарин	P410	воинское звание	полковник	0	0	1963-11-06	0	0
[1993, 1998]	гагарин	Q731593	Гагарин	P577	дата публикации	0	0	1994-01-01	0	0	0
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	орден «Георгий Димитров»	0	0	0	0	1961-05-24
1962	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	орден Нила	0	0	0	0	1962-01-31
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P69	учебное заведение	Военно-воздушная инженерная академия имени Н. Е. Жуковского	0	0	1961-09-01	1968-03-02	0
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P793	ключевое событие	космический полёт	0	0	0	0	1961-04-12
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	орден Южного Креста	0	0	0	0	1961-01-01
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	медаль «За освоение целинных земель»	0	0	0	0	1961-04-12
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	орден «Звезда Республики Индонезии»	0	0	0	0	1961-06-10
1961	гагарин	Q7327	Юрий Алексеевич Гагарин	P166	полученные награды	медаль «Золотая Звезда»	0	0	0	0	1961-04-14
